Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
03-Feb-2023 04:00 PM,13-Feb-2023 11:30 AM,03-Feb-2023 04:00 PM,13-Feb-2023 11:00 AM,NA ,NA ,03-Feb-2023 04:00 PM,13-Feb-2023 11:00 AM,20-Feb-2023 11:30 AM,"2,000",Nil,Nil,No,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,PWD,EE Salooni Letter No. 13186-13235 dated 27.01.2023,2023_PWD_67985_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Periodical Maintenance on Salooni Ghal road (PMGSY) under AMP for the year 2023-2024 K.M. 0/0 to 1/0, 1/0 to 2/0, 2/0 to 3/0 and 7/0 to 7/500","Providing and laying 30mm thick bituminous concrete, profile correction and Paver block",Please refer Tender documents. ,NA ,"79,99,465",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,"1,60,000",No,fixed,,Nil,Nil,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,15-Feb-2023 06:41 PM,20-Feb-2023 11:30 AM,techsummary_102412.pdf (953.94 KB),PWD,2023_PWD_67985_2,EE Salooni Letter No. 13186-13235 dated 27.01.2023,"Periodical Maintenance on Salooni Ghal road (PMGSY) under AMP for the year 2023-2024 K.M. 0/0 to 1/0, 1/0 to 2/0, 2/0 to 3/0 and 7/0 to 7/500",31-Mar-2023,"INR 7,999,485",90.0,Deepak Mahajan,10-Oct-2023 06:23 PM,AL.pdf (851.00 KB),Award letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,23-Mar-2023 07:26 PM,finsummary_102412.pdf (18.28 KB),1.0,321511.0,Kamal Thakur,13-Feb-2023 10:01 AM,Rejected-Finance,Other Than Lowest,23-Mar-2023,Technical,Bid Opening summary,Deepak Mahajan,15-Feb-2023 06:04 PM,technical_102412.pdf,1.0,320001.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,INR,"7,979,486",Finance,Bid Opening Summary,Deepak Mahajan,23-Mar-2023 07:23 PM,finance_102412.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320001.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,13-Feb-2023 09:46 AM,Accepted-AOC,Work Completed,10-Oct-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,"Form No. 7/8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,One similar work of forty percent of the estimated value of work (without L.D.) in last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
