Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,"85,400",No,fixed,,Nil,Nil,09-Mar-2023 10:00 AM,18-Mar-2023 11:00 AM,09-Mar-2023 10:00 AM,18-Mar-2023 10:00 AM,NA ,NA ,09-Mar-2023 10:00 AM,18-Mar-2023 10:00 AM,20-Mar-2023 05:20 PM,"2,000",Nil,Nil,No,1.0,ICICI BANK,PWD,NAHAN 13615-644,2023_PWD_70441_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/O to Various Roads under Nahan Sub-Division,"Repair of Pot Holes on Various Roads under HPPWD Sub-Division, Nahan",As per Bidding Documents ,NA ,"52,82,672",Civil Works - Roads,NA ,Tender,75.0,90.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,1.0,333269.0,Pratap Singh,INR,"5,042,454",Finance,Financial Bids were opened on 20.03.2023,Vijay Kumar Aggarwal,21-Mar-2023 11:07 AM,,BOQ Comparative Chart,1.0,335948.0,mohdjaseem,18-Mar-2023 09:22 AM,Rejected-Technical,Bidder withdraws his Bid,20-Mar-2023,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,20-Mar-2023 05:14 PM,technical_106153.pdf,PWD,2023_PWD_70441_1,NAHAN 13615-644,A/R and M/O to Various Roads under Nahan Sub-Division,V. K. Aggarwal,Internal,Suptd. DM,Vijay Kumar Aggarwal,20-Mar-2023 05:17 PM,20-Mar-2023 05:20 PM,techsummary_106153.pdf (1433.86 KB),V. K. Aggarwal,Internal,SUPTD. DM DAO,Vijay Kumar Aggarwal,21-Mar-2023 11:10 AM,finsummary_106153.pdf (761.32 KB),22-Mar-2023,"INR 5,282,672",90.0,Vijay Kumar Aggarwal,18-May-2023 02:40 PM,AOC_70441_1.pdf (425.00 KB),Awarded to Sh. Pratap Singh
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,335626.0,M/S SARVJEET SINGH,16-Mar-2023 05:17 PM,Rejected-Technical,Bidder withdraws his Bid,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,333269.0,Pratap Singh,16-Mar-2023 01:56 PM,Accepted-AOC,L1,18-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work Done Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,335581.0,PREM SINGH,17-Mar-2023 05:14 PM,Rejected-Finance,L2,21-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of Work(s)-in-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Profit and Loss Statements and Annual Turnover Report from Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List a/w Documentary Proof or Affidavit of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
