Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,16-Feb-2023 09:00 AM,23-Feb-2023 11:30 AM,16-Feb-2023 09:00 AM,23-Feb-2023 11:00 AM,NA ,NA ,16-Feb-2023 09:00 AM,23-Feb-2023 11:00 AM,25-Feb-2023 09:00 AM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"18,514",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Providing FHTC of LWSS Panjahal under JJM in GP Panjahal Tehsil Nahan Distt. Sirmour HP,"C/o sumpwell 75000 ltrs cap. 1 No, S/S/Tank 20000 ltrs cap. 2 Nos and 25000 ltrs cap. 1 No) under JJM",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 18134-194 dt 14/02/2023,2023_HPIPH_68920_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,AOC,ER Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,24-Feb-2023 06:25 PM,25-Feb-2023 09:00 AM,techsummary_103945.pdf (316.00 KB),1.0,326155.0,Dalip Singh,21-Feb-2023 12:03 PM,Rejected-Finance,Reject,06-Mar-2023 03:58 PM,Finance,Financial Bid Opening Summary,Ashish Rana,25-Feb-2023 10:22 AM,finance_103945.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,24-Feb-2023 06:19 PM,technical_103945.pdf,18-Mar-2023,"INR 925,677",90.0,Ashish Rana,20-Mar-2023 07:11 PM,AOC.pdf (708.00 KB),Award to contractor,ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,06-Mar-2023 03:58 PM,finsummary_103945.pdf (342.79 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_68920_2,NHN-SMROO-722- 18134-194 dt 14/02/2023,Providing FHTC of LWSS Panjahal under JJM in GP Panjahal Tehsil Nahan Distt. Sirmour HP,1.0,326456.0,Jawant Singh,INR,"873,784",AOC
,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2.0,326456.0,Jawant Singh,21-Feb-2023 07:45 PM,Accepted-AOC,AOC,20-Mar-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,An affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
