S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,SBD,Other,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode) and Earnest Money (Online mode),Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,PWD,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,2023_PWD_68133_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,06-Feb-2023 10:00 AM,17-Feb-2023 11:00 AM,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,NA ,NA ,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,01-Mar-2023 11:00 AM,"66,500",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,Periodical Maintenance on Lathiani Kodra Road VR Code HP1201VR000251101 SH PL 30mm thick Bituminious Concrete including profile correction in Km 0000 to 1000 and 3000 to 5000 Under PMGSY,Periodical Maintenance on Lathiani Kodra Road VR Code HP1201VR000251101 SH PL 30mm thick Bituminious Concrete including profile correction in Km 0000 to 1000 and 3000 to 5000 Under PMGSY,Please refer Tender documents. ,NA ,"39,31,271",Civil Works - Roads,NA ,Tender,90.0,90.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,PWD,2023_PWD_68133_1,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,Periodical Maintenance on Lathiani Kodra Road VR Code HP1201VR000251101 SH PL 30mm thick Bituminious Concrete including profile correction in Km 0000 to 1000 and 3000 to 5000 Under PMGSY,Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,23-Feb-2023 04:21 PM,01-Mar-2023 11:00 AM,techsummary_102602.pdf (398.04 KB),Er. Baldev Singh EE,Internal,DAOHDMSUPDT,Dev Raj,14-Mar-2023 02:23 PM,finsummary_102602.pdf (425.28 KB),31-Mar-2023,"INR 3,841,245",90.0,Dev Raj,24-May-2023 06:12 PM,68133.pdf (477.00 KB),Award,1.0,324061.0,Karan Raj Singh,15-Feb-2023 07:35 PM,Accepted-AOC,L1,24-May-2023,Technical,techbidopening,Dev Raj,23-Feb-2023 04:19 PM,technical_102602.pdf,1.0,324061.0,Karan Raj Singh,INR,"3,841,245",Finance,finlbidopening,Dev Raj,14-Mar-2023 02:19 PM,finance_102602.pdf,BOQ Comparative Chart
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,324103.0,Rajinder Kumar,15-Feb-2023 08:27 PM,Rejected-Finance,L2,14-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,An affidavit that the plant should have installed within radius of 30km from the site of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
