Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,SD-III-T-29473-93dt.28-2-23,2023_PWD_70151_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",04-Mar-2023 09:00 AM,10-Mar-2023 11:00 AM,04-Mar-2023 09:00 AM,09-Mar-2023 06:00 PM,NA ,NA ,04-Mar-2023 09:00 AM,09-Mar-2023 06:00 PM,14-Mar-2023 04:20 PM,350.0,Nil,Nil,No,S/R to various residential buildings under division no III Shimla (SH-Repair of Toilets/bathroom and other miscellaneous repair work in set No 15 Type IV at Richmond Shimla.),S/R to various residential buildings under division no III Shimla (SH-Repair of Toilets/bathroom and other miscellaneous repair work in set No 15 Type IV at Richmond Shimla.),As per SBD ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,30.0,RichMound,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),"5,890",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,1.0,331565.0,DASU RAM,06-Mar-2023 06:17 PM,Rejected-Finance,L2,16-Mar-2023 04:38 PM,Technical,BOS,Parveen Kumar Verma,14-Mar-2023 02:32 PM,technical_105733.pdf,1.0,331561.0,Gopal Singh,INR,"294,518",Finance,Bid Opening Summary,Bhupender Singh,14-Mar-2023 07:55 PM,finance_105733.pdf,BOQ Comparative Chart,ParveenKumar E.E.,Internal,SanjeevChauhanSupdtPadamSharmaHDMDeepakSharmaSrDAO,Bhupender Singh,14-Mar-2023 04:12 PM,14-Mar-2023 04:20 PM,techsummary_105733.pdf (1112.03 KB),PWD,2023_PWD_70151_4,SD-III-T-29473-93dt.28-2-23,S/R to various residential buildings under division no III Shimla (SH-Repair of Toilets/bathroom and other miscellaneous repair work in set No 15 Type IV at Richmond Shimla.),18-Mar-2023,"INR 294,518",30.0,Parveen Kumar Verma,29-Mar-2023 07:25 PM,AOC294518.pdf (429.00 KB),AOC,ParveenKumar E.E.,Internal,SanjeevChauhanSupdt.PadamSharmaHDMDeepakSharmaSr.DAO,Parveen Kumar Verma,16-Mar-2023 04:38 PM,finsummary_105733.pdf (651.90 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2.0,331561.0,Gopal Singh,06-Mar-2023 05:46 PM,Accepted-AOC,L1,29-Mar-2023 07:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact detail with Mobile Number,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
