Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Technical,Tender summary,Sushant Singh Negi,04-Feb-2023 11:54 AM,None,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,04-Feb-2023 11:57 AM,04-Feb-2023 02:00 PM,techsummary_101062.pdf (478.22 KB),1.0,315908.0,PREM SINGH,12-Jan-2023 04:18 PM,Rejected-Finance,Second lowest bidder,07-Feb-2023 11:27 AM,Finance,Financial summary,Sushant Singh Negi,07-Feb-2023 11:24 AM,finance_101062.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,07-Feb-2023 11:27 AM,finsummary_101062.pdf (31.41 KB),HP SIDC Limited,2023_SIDC_67037_1,Job No. 5,"Construction of road from Kala-Amb Trilokpur road at Ruchira Paper Ltd. upto Mainthapal NearKali Mandir at Kala Amb Distt. Sirmour (HP). (SH- C/o road, road side RCC drain and RCC pipe and Culvert).",07-Mar-2023,"INR 19,894,732",270.0,Sushant Singh Negi,15-Mar-2023 12:57 PM,sureshkumar.pdf (5009.00 KB),Award letter,1.0,316251.0,Suresh Kumar,INR,"19,894,732",AOC,HP SIDC Limited,Job No. 5,2023_SIDC_67037_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of road from Kala-Amb Trilokpur road at Ruchira Paper Ltd. upto Mainthapal NearKali Mandir at Kala Amb Distt. Sirmour (HP). (SH- C/o road, road side RCC drain and RCC pipe and Culvert).","(SH- C/o road, road side RCC drain and RCC pipe and Culvert).",Please refer Tender documents. ,NA ,"2,48,47,221",Civil Works - Roads,NA ,Tender,120.0,270.0,Kala Amb,173030.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,ICICI BANK,1.0,Corrigendum,Date,,"5,900",Nil,Nil,No,"4,97,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),05-Jan-2023 11:00 AM,20-Jan-2023 11:00 AM,05-Jan-2023 11:00 AM,19-Jan-2023 05:00 PM,NA ,NA ,05-Jan-2023 11:00 AM,19-Jan-2023 05:00 PM,04-Feb-2023 02:00 PM,Executive Engineer,HPSIDC Shimla,AOC
,,,,,,,,,,,,2.0,316302.0,SUCHA SINGH,19-Jan-2023 02:48 PM,Rejected-Finance,Third lowest bidder,07-Feb-2023 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,316251.0,Suresh Kumar,18-Jan-2023 08:53 PM,Accepted-AOC,AOC,15-Mar-2023 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
