Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68824_1,184619/2022-23-8389-94 Dated 09-02-2023,"Tender for replacement of 29 Nos rotten wooden poles from existing 63 KVA 22/0.4 KVA Jhungi , Jachh-2nd , Dhamasan and 25 KVA s/stn Obra , Khumba and Sadiyar under ESD HPSEBL Pangna.",1.0,327303.0,JAGDISH KUMAR,INR,"419,751.75","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,09-Mar-2023 12:12 PM,finsummary_103801.pdf (464.52 KB),1.0,327303.0,JAGDISH KUMAR,22-Feb-2023 07:54 PM,Accepted-AOC,"Awarded to M/S Jagdish Kumar , Village Barthuna, P.O. and Sub Tehsil Pangna, Distt. Mandi (H.P.) (L-1) Which found lowest",09-Mar-2023 12:22 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,25-Feb-2023 03:17 PM,25-Feb-2023 03:20 PM,techsummary_103801.pdf (404.50 KB),Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,25-Feb-2023 03:09 PM,technical_103801.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,09-Mar-2023 11:50 AM,finance_103801.pdf,BOQ Comparative Chart,09-Mar-2023,"INR 559,669",30.0,Sushil Kumar,09-Mar-2023 12:21 PM,award142Jhungi.pdf (1691.00 KB),"Awarded to M/S Jagdish Kumar , Village Barthuna, P.O. and Sub Tehsil Pangna, Distt. Mandi (H.P.) (L-1) Which found lowest",AOC,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",14-Feb-2023 05:00 PM,23-Feb-2023 12:30 PM,14-Feb-2023 05:00 PM,23-Feb-2023 10:30 AM,NA ,NA ,14-Feb-2023 05:00 PM,23-Feb-2023 10:30 AM,25-Feb-2023 03:20 PM,590.0,Nil,Nil,No,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8389-94 Dated 09-02-2023,2023_HPSEB_68824_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Date Corrigendum,Date,,"Tender for replacement of 29 Nos rotten wooden poles from existing 63 KVA 22/0.4 KVA Jhungi , Jachh-2nd , Dhamasan and 25 KVA s/stn Obra , Khumba and Sadiyar under ESD HPSEBL Pangna.","Tender for replacement of 29 Nos rotten wooden poles from existing 63 KVA 22/0.4 KVA Jhungi , Jachh-2nd , Dhamasan and 25 KVA s/stn Obra , Khumba and Sadiyar under ESD HPSEBL Pangna.",Please refer tender document  ,N/A ,"5,59,669",Supply and Erection,NA ,Tender,180.0,30.0,Pangna,175046.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"13,992",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC
,,,,,,,,,,,,,,,2.0,325490.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,19-Feb-2023 07:46 PM,Rejected-Finance,L2,09-Mar-2023 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC
,,,,,,,,,,,,,,,3.0,325038.0,VISHAL ELECTRICAL GOVT CONT,18-Feb-2023 01:13 PM,Rejected-Finance,L3,09-Mar-2023 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
