Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director,Internal,,Chandan Jyoti Saikia,02-Mar-2023 12:33 PM,finsummary_45783.pdf (2608.14 KB),1.0,173028.0,DHIRAJ GOGOI,INR,4104000.0,Finance,Finance Cover is Opened,Gautam Kalita,04-Feb-2023 11:54 AM,,BOQ Comparative Chart,02-Mar-2023,INR 4104000.0,60.0,Chandan Jyoti Saikia,02-Mar-2023 12:34 PM,dhiraj_gogoi.pdf (823.00 KB),Director,Internal,,Gautam Kalita,04-Feb-2023 11:47 AM,04-Feb-2023 11:50 AM,techsummary_45783.pdf (803.35 KB),Soil Conservation Department||Director - SCD,2022_SCD_28568_5,Tender/NIT/2022-23/4339,Nature Conservation Work with Boundary Wall at Odalbakra S.C. Centre Under SOPD-G during 2022-23.,1,173343,A.B. Construction,17-Jan-2023 12:09 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,Technical,Technical bid has been opened,Gautam Kalita,17-Jan-2023 03:48 PM,,AOC,"86,400",Yes,percentage,2.0%,Nil,Nil,Soil Conservation Department||Director - SCD,Tender/NIT/2022-23/4339,2022_SCD_28568_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,900.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Document,31-Dec-2022 03:00 PM,17-Jan-2023 03:00 PM,31-Dec-2022 03:00 PM,17-Jan-2023 02:00 PM,NA ,NA ,03-Jan-2023 03:00 PM,17-Jan-2023 02:00 PM,04-Feb-2023 11:50 AM,1.0,SBI Bank,Director,"OFFICE OF THE DIRECTOR OF SOIL CONSERVATION, ASSAM BHUMI SHANGRAKHAN BHAWAN, R.G.B. ROAD, GUWAHATI-781005",Nature Conservation Work with Boundary Wall at Odalbakra S.C. Centre Under SOPD-G during 2022-23.,Nature Conservation Work with Boundary Wall at Odalbakra S.C. Centre Under SOPD-G during 2022-23.,Please refer Tender documents. ,NA ,"43,20,000",Civil Works,NA ,Tender,180.0,60.0,Kahilipara,781019.0,NA ,NA ,NA ,"O/O The Director of Soil Conservation,Assam,Ghy-05",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,173668,ABDUL HASIM,17-Jan-2023 08:41 AM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned and signed copy of the Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,173226,Baharuddin Ahmed,16-Jan-2023 02:33 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,173028,DHIRAJ GOGOI,13-Jan-2023 07:09 PM,Accepted-AOC,Awarded,02-Mar-2023 12:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,172317,HEMANTA KR MAHANTA,13-Jan-2023 11:55 AM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,172753,MD. FAIZUDDIN AHMED,10-Jan-2023 07:16 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,173592,M/S B.S. ENTERPRISE,17-Jan-2023 12:37 PM,Rejected-AOC,Not Awarded,02-Mar-2023 12:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,172297,M.S. J.M.Enterprise,13-Jan-2023 07:02 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,172881,Ms. K.A. Enterprise,17-Jan-2023 12:46 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,173555,Nayanjyoti Talukdar,16-Jan-2023 09:28 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,173304,NOBAB CHAN AHMED,13-Jan-2023 05:38 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,173453,RANJAN DAS,17-Jan-2023 09:19 AM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,173847,SRI NAVAJYOTI KALITA,17-Jan-2023 01:14 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,173319,Tech.Point Engineers,13-Jan-2023 06:34 PM,Rejected-Technical,Technically Not Qualified,04-Feb-2023 11:47 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
