Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Finance,financialbidopeningsummary,Dev Raj,16-Mar-2023 05:57 PM,finance_105252.pdf,BOQ Comparative Chart,1.0,332461.0,SS CONSTRUCTION COMPANY,INR,"119,059,788",Technical,bidopeningsummary,Dev Raj,09-Mar-2023 11:59 AM,technical_105252.pdf,1.0,332516.0,ganesh,08-Mar-2023 10:41 AM,Rejected-Finance,L2,16-Mar-2023,Er.G.S. Rana SE,Internal,All circle level committee members,Dev Raj,16-Mar-2023 06:10 PM,finsummary_105252.pdf (766.29 KB),31-Mar-2023,"INR 119,059,788",540.0,Dev Raj,12-Apr-2023 01:23 PM,Award.pdf (1559.00 KB),Award,PWD,2023_PWD_69791_1,M.T on link road Saily to Handola via Kamoon Patti,"M.T on link road Saily to Handola via Kamoon Pattian and construction of link road Saily to Mahadev Mandir via GPS Laubowal from Km 0.000 to Km 14.640 under NABARD RIDF XXVII SH. Formation cutting, C/o Retaining Wall, wire crate, CD Work, CC Pavemen",Er.G.S. Rana SE,Internal,"EE, AED, Supdt. Gr-1, DAO, Supdt works, CHD",Dev Raj,14-Mar-2023 03:33 PM,16-Mar-2023 11:30 AM,techsummary_105252.pdf (394.80 KB),"23,23,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,PWD,M.T on link road Saily to Handola via Kamoon Patti,2023_PWD_69791_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,28-Feb-2023 10:00 AM,09-Mar-2023 11:00 AM,28-Feb-2023 10:30 AM,09-Mar-2023 09:00 AM,NA ,NA ,28-Feb-2023 10:30 AM,09-Mar-2023 09:00 AM,16-Mar-2023 11:30 AM,Superintending Engineer 15th Circle HPPWD Una,Superintending Engineer 15th Circle HPPWD Una,"M.T on link road Saily to Handola via Kamoon Pattian and construction of link road Saily to Mahadev Mandir via GPS Laubowal from Km 0.000 to Km 14.640 under NABARD RIDF XXVII SH. Formation cutting, C/o Retaining Wall, wire crate, CD Work, CC Pavemen","M.T on link road Saily to Handola via Kamoon Pattian and construction of link road Saily to Mahadev Mandir via GPS Laubowal from Km 0.000 to Km 14.640 under NABARD RIDF XXVII SH. Formation cutting, C/o Retaining Wall, wire crate, CD Work, CC Pavemen",Please refer to Bidding Documents ,NA ,"11,61,35,767",Civil Works - Roads,NA ,Tender,75.0,540.0,Bangana,174307.0,NA ,NA ,NA ,Superintending Engineer 15th Circle HPPWD Una,No ,No
,,,,,,,,,,,,,,,,2.0,332029.0,S.S.Chauhans Construction Private Limted,07-Mar-2023 08:26 PM,Rejected-Technical,Non responsive,14-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,332461.0,SS CONSTRUCTION COMPANY,08-Mar-2023 01:39 PM,Accepted-AOC,L1,12-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Clause 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience in works of a similar nature and size for each of the last five years, and details of wor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of ownership of major items of construction equipment named in Clause 4.4B (b) (i) of ITB o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of the technical personnel proposed to be employed for the Contract having the qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
