Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,EE Salooni letter No. 9578-9627 dated 24-09-2022,2022_PWD_66114_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Oct-2022 10:00 AM,14-Oct-2022 11:30 AM,07-Oct-2022 10:00 AM,14-Oct-2022 11:00 AM,NA ,NA ,07-Oct-2022 10:00 AM,14-Oct-2022 11:00 AM,01-Mar-2023 11:30 AM,350.0,Nil,Nil,No,"10,400",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,1.0,ICICI BANK,Construction of link road to village Mallah K.M. 0/01 to 0/830,Formation cutting at R.D. 0/405 to 0/830 and Construction of Breast wall at R.D. 0/735 to 0/750,Please refer Tender documents. ,NA ,"5,16,685",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,1.0,308455.0,NAZAKAT ALI GOVT. CONTRACTOR,INR,"397,640",Finance,Bid opening Summary,Deepak Mahajan,22-Mar-2023 05:49 PM,finance_99505.pdf,BOQ Comparative Chart,1.0,308178.0,Akhtar Hussaun,13-Oct-2022 05:09 PM,Rejected-Finance,Other Than Lowest,22-Mar-2023,Technical,Bid Opening Summary,Deepak Mahajan,25-Feb-2023 03:37 PM,technical_99505.pdf,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,25-Feb-2023 03:45 PM,01-Mar-2023 11:30 AM,techsummary_99505.pdf (768.18 KB),PWD,2022_PWD_66114_4,EE Salooni letter No. 9578-9627 dated 24-09-2022,Construction of link road to village Mallah K.M. 0/01 to 0/830,31-Mar-2023,"INR 516,685",90.0,Kumud Kumar Upadhyay,30-Mar-2024 12:20 PM,AL.pdf (990.00 KB),Award letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,22-Mar-2023 05:52 PM,finsummary_99505.pdf (18.15 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,308439.0,Mohd. Ashraf,14-Oct-2022 09:58 AM,Rejected-Finance,Other Than Lowest,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,308455.0,NAZAKAT ALI GOVT. CONTRACTOR,14-Oct-2022 10:49 AM,Accepted-AOC,Work Completed,30-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. and copy of GSTR-3B of last preceding month or quarter as the case may be attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/Undertaking regarding not having two works in hand at the time of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
