Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Parveen Kumar verma E.E.,Internal,"Padam Sharma DHDM, Ram Swaroop Thakur Supdt. P.K. Verma E.E.",Sudhir Kumar Gupta,23-May-2022 11:59 AM,finsummary_91180.pdf (307.43 KB),14-Sep-2022,"INR 28,560,977",365.0,Parveen Kumar Verma,28-Mar-2023 03:10 PM,AOCVikasEnterprises.pdf (512.00 KB),AWARD OF CONTRACT,PWD,2022_PWD_60338_1,SD-III-CB-Tender-2424-44 dt. 30-04-2022,"Construction of Rest House Building near Raj Bhawan, Shimla-2. (SH- Civil work, W.S. and S.I. and rain water harvesting tank complete)",Praveen Kumar Verma E..E.,Internal,"Padam Sharma, DHDM, R.K. Thakur Supdt., Deepak Sharma Sr. DAO, Praveen Kumar Verma E.E.",Parveen Kumar Verma,21-May-2022 05:40 PM,21-May-2022 05:45 PM,techsummary_91180.pdf (562.19 KB),Technical,Bid Opening Summary,Parveen Kumar Verma,13-May-2022 06:08 PM,technical_91180.pdf,1.0,281830.0,A.G.CONSTRUCTIONS,11-May-2022 11:33 PM,Rejected-Finance,L3,23-May-2022 11:59 AM,Finance,Bid Opening Summary,Sudhir Kumar Gupta,23-May-2022 11:51 AM,finance_91180.pdf,BOQ Comparative Chart,1.0,281583.0,Vikas Enterprises,INR,"26,144,648.01",AOC,"5,71,220",No,fixed,,Nil,Nil,PWD,SD-III-CB-Tender-2424-44 dt. 30-04-2022,2022_PWD_60338_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"5,000",Nil,Nil,No,05-May-2022 06:00 PM,13-May-2022 11:00 AM,05-May-2022 06:00 PM,12-May-2022 06:00 PM,NA ,NA ,05-May-2022 06:00 PM,12-May-2022 06:00 PM,21-May-2022 05:45 PM,"Construction of Rest House Building near Raj Bhawan, Shimla-2. (SH- Civil work, W.S. and S.I. and rain water harvesting tank complete)","Construction of Rest House Building near Raj Bhawan, Shimla-2. (SH- Civil work, W.S. and S.I. and rain water harvesting tank complete)",As per SBD ,NA ,"2,85,60,977",Civil Works - Buildings,NA ,Tender,75.0,365.0,Chotta Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,281843.0,AJAY KUTHIALA,12-May-2022 01:48 PM,Rejected-Finance,L4,23-May-2022 11:59 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,281341.0,KALYAN SINGH CHAUHAN,11-May-2022 04:17 PM,Rejected-Finance,L2,23-May-2022 11:59 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,281906.0,Shiv Kumar Kuthiala,12-May-2022 05:11 PM,Rejected-Finance,L5,23-May-2022 11:59 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,281583.0,Vikas Enterprises,11-May-2022 11:48 AM,Accepted-AOC,L1,28-Mar-2023 03:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of MachineryTools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in handcertificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
