S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Date Corrigendum.,Date,,Tender for replacement of 30 Nos rotten wooden poles from existing 63 KVA 22/0.4 KV s/stn Shopa-2nd and100 KVA Kao-2nd under ESD HPSEBL Karsog.,"Tender for replacement of 30 Nos rotten wooden poles from existing 63 KVA 22/0.4 KV s/stn Shopa-2nd ,and 100 KVA Kao-2nd under ESD HPSEBL Karsog.",Please refer tender document  ,N/A ,"4,45,485",Supply and Erection,Electrical work ,Tender,180.0,30.0,Karsog,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,14-Feb-2023 05:00 PM,23-Feb-2023 12:30 PM,14-Feb-2023 05:00 PM,23-Feb-2023 10:30 AM,NA ,NA ,14-Feb-2023 05:00 PM,23-Feb-2023 10:30 AM,27-Feb-2023 04:20 PM,590.0,Nil,Nil,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"11,137",No,fixed,,Nil,Nil,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8389-94 Dated 09-02-2023,2023_HPSEB_68815_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,09-Mar-2023,"INR 445,485",30.0,Sushil Kumar,09-Mar-2023 12:19 PM,award146Sopa.pdf (1774.00 KB),"Awarded to M/S Satpal, VPO Karsog, Tehsil Karsog Distt. Mandi (H.P.) because the price-bid was lowest and found to be valid i.e. as per the terms and conditions mentioned in the tender document",Finance,Financial bid opened by tender committee.,Sushil Kumar,09-Mar-2023 11:45 AM,finance_103791.pdf,BOQ Comparative Chart,Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,27-Feb-2023 04:11 PM,technical_103791.pdf,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,27-Feb-2023 04:17 PM,27-Feb-2023 04:20 PM,techsummary_103791.pdf (525.46 KB),1.0,325444.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,19-Feb-2023 05:47 PM,Rejected-Finance,L2,09-Mar-2023 12:15 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,09-Mar-2023 12:15 PM,finsummary_103791.pdf (397.39 KB),1.0,325461.0,SATPAL,INR,"334,113.75",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68815_1,184619/2022-23-8389-94 Dated 09-02-2023,Tender for replacement of 30 Nos rotten wooden poles from existing 63 KVA 22/0.4 KV s/stn Shopa-2nd and100 KVA Kao-2nd under ESD HPSEBL Karsog.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,327100.0,PANKAJ SHARMA,22-Feb-2023 07:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Feb-2023 04:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,325461.0,SATPAL,19-Feb-2023 06:58 PM,Accepted-AOC,"Awarded to M/S Satpal, VPO Karsog, Tehsil Karsog Distt. Mandi (H.P.) because the price-bid was lowest and found to be valid i.e. as per the terms and conditions mentioned in the tender document",09-Mar-2023 12:19 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
