Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,08-Mar-2023 06:00 PM,finsummary_97116.pdf (22.36 KB),08-Mar-2023,"INR 1,120,692",30.0,Dalip singh Patial,08-Mar-2023 06:04 PM,500BeddedRep.pdf (789.00 KB),9090-95 dt 03.02.2023,PWD,2022_PWD_64526_1,Elect. Division HPPWD Palampur,Replacement of old and damaged portable fire extinguishers installed in 500 bedded hospital Dr. RPGMC Kangra at Tanda (H.P),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Dinesh Kumar Supdt. Sh. Sanajy Awasthi DAO Sh. Atul Nag JDM,Dalip singh Patial,09-Oct-2022 01:44 PM,15-Oct-2022 11:30 AM,techsummary_97116.pdf (458.83 KB),Technical,as per uploaded document,Dalip singh Patial,09-Oct-2022 01:29 PM,technical_97116.pdf,1.0,300125.0,Daksh Enterprises,12-Sep-2022 10:37 PM,Rejected-Technical,Technically Not Qualified,09-Oct-2022 01:44 PM,Finance,as per uploaded document,Dalip singh Patial,08-Mar-2023 05:58 PM,finance_97116.pdf,BOQ Comparative Chart,1.0,300127.0,Sudha Kumari,INR,"1,111,500",AOC,1.0,ICICI BANK,500.0,Nil,Nil,No,06-Sep-2022 05:00 PM,14-Sep-2022 11:30 AM,06-Sep-2022 05:00 PM,14-Sep-2022 10:00 AM,NA ,NA ,06-Sep-2022 05:00 PM,14-Sep-2022 10:00 AM,15-Oct-2022 11:30 AM,Executive Engineer,Electrical Division HPPWD Palampur,Replacement of old and damaged portable fire extinguishers installed in 500 bedded hospital Dr. RPGMC Kangra at Tanda (H.P),Replacement of old and damaged portable fire extinguishers installed in 500 bedded hospital Dr. RPGMC Kangra at Tanda (H.P),Please refer Tender documents. ,NA ,"11,20,692",Electrical Works,NA ,Tender,120.0,30.0,Kangra at Tanda in Distt. Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,"22,500",No,fixed,,Nil,Nil,PWD,Elect. Division HPPWD Palampur,2022_PWD_64526_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,301029.0,Koushal General Traders,13-Sep-2022 10:27 PM,Rejected-Technical,Technically Not Qualified,09-Oct-2022 01:44 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,301013.0,Soni Supplier OPC Private Limited,13-Sep-2022 09:10 PM,Rejected-Technical,Technically Not Qualified,09-Oct-2022 01:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,300127.0,Sudha Kumari,12-Sep-2022 10:15 PM,Accepted-AOC,L1,08-Mar-2023 06:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,301032.0,TARUN FIRE SYSTEM,13-Sep-2022 10:26 PM,Rejected-Finance,L2,08-Mar-2023 06:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor,AOC
