S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,ICICI BANK,PWD,Nagrota AMP 14,2023_PWD_68823_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Periodic maintenance of Malan to Kawari road Km 0/000 to 6/600 (HP0408VR0045) under PMGSY Financial Incentive for the year 2023- 24 in Distt. Kangra (H.P.) (SH-Providing and laying 30mm thick bituminous concrete pavement in Km 2/000 to 3/000),Periodic maintenance of Malan to Kawari road Km 0/000 to 6/600 (HP0408VR0045) under PMGSY Financial Incentive for the year 2023- 24 in Distt. Kangra (H.P.) (SH-Providing and laying 30mm thick bituminous concrete pavement in Km 2/000 to 3/000),Please refer Tender documents. ,NA ,"28,02,845",Civil Works - Roads,NA ,Tender,120.0,30.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/oEE HP PWD Division Tanda at Nagrota,No ,No,"56,100",No,fixed,,Nil,Nil,14-Feb-2023 02:00 PM,21-Feb-2023 11:30 AM,14-Feb-2023 02:00 PM,21-Feb-2023 09:00 AM,NA ,NA ,14-Feb-2023 02:00 PM,21-Feb-2023 09:00 AM,22-Feb-2023 12:30 PM,Executive Engineer,O/oEE HP PWD Division Tanda at Nagrota,1.0,325630.0,Navneet Thakur,20-Feb-2023 06:26 PM,Rejected-Finance,Lowest 3,04-Mar-2023,Technical,sum,Ankit Kumar,22-Feb-2023 12:12 PM,technical_103802.pdf,Finance,sum,Suresh Kumar Walia,04-Mar-2023 12:53 PM,finance_103802.pdf,BOQ Comparative Chart,1.0,325288.0,Rohit,INR,"2,912,112",Executive Engineer,Internal,"AE, DAO, Supdt, HDM",Ankit Kumar,22-Feb-2023 12:13 PM,22-Feb-2023 12:30 PM,techsummary_103802.pdf (819.07 KB),PWD,2023_PWD_68823_2,Nagrota AMP 14,Periodic maintenance of Malan to Kawari road Km 0/000 to 6/600 (HP0408VR0045) under PMGSY Financial Incentive for the year 2023- 24 in Distt. Kangra (H.P.) (SH-Providing and laying 30mm thick bituminous concrete pavement in Km 2/000 to 3/000),31-Mar-2023,"INR 1,313,834",30.0,Suresh Kumar Walia,25-Apr-2023 02:40 PM,Award.pdf (380.00 KB),Award,Executive Engineer,Internal,"AE, DAO, Supdt, HDM",Suresh Kumar Walia,04-Mar-2023 12:55 PM,finsummary_103802.pdf (192.96 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325288.0,Rohit,19-Feb-2023 11:15 AM,Accepted-AOC,Award,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,324947.0,Ujjawal Singh,20-Feb-2023 06:59 PM,Rejected-Finance,Lowest 2,04-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
