Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Sr. Executive Engineer Civil,Internal,Assistant Engineer,Suraj Pandey,14-Sep-2022 05:38 PM,15-Sep-2022 11:30 AM,techsummary_96183.pdf (388.11 KB),1.0,297400.0,AMAR PROMOTERS PRIVATE LIMITED,29-Aug-2022 02:50 PM,Rejected-Technical,Due to non submission of documents i.r.o. QR of NIT,14-Sep-2022 05:38 PM,Finance,Price bid opening summary,Suraj Pandey,15-Sep-2022 12:13 PM,finance_96183.pdf,BOQ Comparative Chart,Technical,Technical Bid opening summary T E 16 2022 G I,Ashok Dhiman,31-Aug-2022 12:23 PM,technical_96183.pdf,02-Mar-2023,"INR 36,341,581",180.0,Suraj Pandey,02-Mar-2023 04:20 PM,ASGI.pdf (318.00 KB),"Purchase order issued to M/s Shark steels, Kanagra (H.P.) vide P.O. No. 11841-833 dated 09.01.2023 amounting to Rs. 36341581.00/-",1.0,297648.0,Shark steels,INR,"36,341,581",HPSEBL,2022_HPSEB_63830_1,CE(MM)-16/2022,Procurement of GI wire of assorted sizes,Sr. Executive Engineer II,Internal,"Assistant Engineer III, Account officer and under secretary",Suraj Pandey,02-Mar-2023 04:16 PM,finsummary_96183.pdf (317.54 KB),AOC,20-Aug-2022 09:00 AM,31-Aug-2022 11:30 AM,20-Aug-2022 10:00 AM,30-Aug-2022 12:00 PM,NA ,NA ,20-Aug-2022 10:00 AM,30-Aug-2022 12:00 PM,15-Sep-2022 11:30 AM,"4,06,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"1,180",Nil,Nil,No,Procurement of GI wire of assorted sizes,Procurement of GI wire of assorted sizes,As per NIT ,EMD for HP Local Unit registered with hpsebl is Rs 156000.00 and for other bidder is Rs 406000.00 ,"4,06,00,000",Electrical Work/ Equipment,NA ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,HPSEBL,CE(MM)-16/2022,2022_HPSEB_63830_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,Chief Engineer MM,"Office of Chief Engineer MM, HPSEBL, Shimla",1.0,Fee,.pdf,Proof of tender fee,AOC
,,,,,,,2.0,297371.0,GEEKAY WIRES LIMITED,28-Aug-2022 01:28 PM,Rejected-AOC,not quoted L-1 price,02-Mar-2023 04:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,AOC
,,,,,,,3.0,297227.0,NIRMAL WIRES PVT LTD,26-Aug-2022 04:42 PM,Rejected-AOC,not quoted L-1 price,02-Mar-2023 04:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Renewed BIS Certificate and ISO certificateAffidavit of Arbi Court cases and Blacklisting Debarring,AOC
,,,,,,,4.0,297907.0,PRAGATI WIRES PRIVATE LIMITED,27-Aug-2022 06:11 PM,Rejected-AOC,not quoted L-1 price,02-Mar-2023 04:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",AOC
,,,,,,,5.0,297648.0,Shark steels,29-Aug-2022 04:09 PM,Accepted-AOC,Quoted L-1 Price,02-Mar-2023 04:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate,",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant and Machinery Testing Equipments used for routine test to be carried out,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST registration certificate, PAN Card copy, ITR and GST clearance certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney/Board of resolution to sign the bid doc acceptance of terms and condition,AOC
