Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,Construction of link road to village Nalwin km 0/0 to 0/900,Construction of retaining walls laying paver blocks Metalling/Tarring and drain in various RDs,Please refer Tender documents. ,NA ,"20,78,856",Civil Works - Roads,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,25-May-2022 11:20 AM,01-Jun-2022 11:00 AM,25-May-2022 11:20 AM,01-Jun-2022 10:30 AM,NA ,NA ,25-May-2022 11:20 AM,01-Jun-2022 10:30 AM,09-Jun-2022 11:30 AM,EE Hamirpur,Executive Engineer HPPWD Hamirpur,500.0,Nil,Nil,No,"37,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,Construction of link road to village Nalwin,2022_PWD_61045_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,08-Jun-2022 04:23 PM,09-Jun-2022 11:30 AM,techsummary_92144.pdf (863.24 KB),PWD,2022_PWD_61045_1,Construction of link road to village Nalwin,Construction of link road to village Nalwin km 0/0 to 0/900,09-Mar-2023,"INR 1,870,666",60.0,Sanjay Katoch,09-Mar-2023 01:16 PM,NalwinAward.pdf (1401.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSRDAOAEtoEE,Sanjay Katoch,21-Jun-2022 06:10 PM,finsummary_92144.pdf (527.95 KB),1.0,284764.0,Ashok Kumar,31-May-2022 11:46 PM,Rejected-Finance,l2,21-Jun-2022 06:10 PM,Technical,Attached,Sanjay Katoch,08-Jun-2022 04:08 PM,technical_92144.pdf,1.0,284775.0,Mukesh,INR,"2,100,805.01",Finance,Attached,Sanjay Katoch,21-Jun-2022 06:07 PM,finance_92144.pdf,BOQ Comparative Chart,AOC
,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,284775.0,Mukesh,01-Jun-2022 10:22 AM,Accepted-AOC,l1,09-Mar-2023 01:17 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
