Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name
Technical,As per attached document,Jagtar Singh Thakur,14-Mar-2023 07:00 PM,technical_105630.pdf,1.0,333868.0,Kapil Sharma,11-Mar-2023 11:40 AM,Rejected-Finance,HIGHER BIDDER,25-Mar-2023,1.0,332125.0,pranav thakur,INR,"520,700",Finance,ATTACHED,Anil Nagpal,17-Mar-2023 01:21 PM,,BOQ Comparative Chart,Er. J.S. Thakur,Internal,"Sr. DAO, Supdt.Gr-II, HDM, Tender Assisatant",Jagtar Singh Thakur,25-Mar-2023 07:01 PM,finsummary_105630.pdf (576.38 KB),31-Mar-2023,"INR 520,700",90.0,Jagtar Singh Thakur,28-Jun-2023 07:18 PM,700755Pranav.pdf (347.00 KB),Shri Pranav Thakur,PWD,2023_PWD_70075_5,dshala 15518-50,"Annual Repair and Maintenance of Dharamshala Yol Dadh Palampur road Km. 0/0 to 15/250 in Tehsil Dharamshala, Distt. Kangra H.P.",Er. J.S. Thakur,Internal,"TA,HDM,Supdt., DAO",Jagtar Singh Thakur,16-Mar-2023 04:39 PM,17-Mar-2023 10:15 AM,techsummary_105630.pdf (529.12 KB),Executive Engineer,Executive Engineer HP PWD Division Dharamshala,"10,200",No,fixed,,Nil,Nil,03-Mar-2023 12:00 PM,13-Mar-2023 11:00 AM,03-Mar-2023 12:00 PM,12-Mar-2023 05:00 PM,NA ,NA ,03-Mar-2023 12:00 PM,12-Mar-2023 05:00 PM,17-Mar-2023 10:15 AM,"Annual Repair and Maintenance of Dharamshala Yol Dadh Palampur road Km. 0/0 to 15/250 in Tehsil Dharamshala, Distt. Kangra H.P.",SH - Providing and laying Hot Thermoplastic Centre line Compound 2.5mm thick at RD 3/425 to 5/960) (Balance work),Please refer Tender documents. ,NA ,"5,08,000",Civil Works,NA ,Tender,30.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,350.0,Nil,Nil,No,PWD,dshala 15518-50,2023_PWD_70075_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK
,,,,,2.0,332125.0,pranav thakur,07-Mar-2023 01:16 PM,Accepted-AOC,L1,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,
