Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
350.0,Nil,Nil,No,1.0,ICICI BANK,PWD,EE Plp NIT No. 20032-20081 dt 1.3.2023,2023_PWD_70038_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,"Dr. S.K.Walia, EE",Palampur Division HPPWD Palampur,"17,600",No,fixed,,Nil,Nil,C/o Som Kunj Circuit House Building at Palampur Distt Kangra (HP) (SW - Providing laying soling and Wearing in link road NH-154 to Circuit House Km 0/00 to 0/480),C/o Som Kunj Circuit House Building at Palampur Distt Kangra (HP) (SW - Providing laying soling and Wearing in link road NH-154 to Circuit House Km 0/00 to 0/480),Please refer Tender documents. ,NA ,"8,78,905",Civil Works - Roads,NA ,Tender,75.0,90.0,Palampur,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,03-Mar-2023 10:00 AM,10-Mar-2023 11:30 AM,03-Mar-2023 10:00 AM,10-Mar-2023 11:00 AM,NA ,NA ,03-Mar-2023 10:00 AM,10-Mar-2023 11:00 AM,14-Mar-2023 12:00 PM,AOC,"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,13-Mar-2023 05:32 PM,14-Mar-2023 12:00 PM,techsummary_105569.pdf (156.18 KB),PWD,2023_PWD_70038_1,EE Plp NIT No. 20032-20081 dt 1.3.2023,C/o Som Kunj Circuit House Building at Palampur Distt Kangra (HP) (SW - Providing laying soling and Wearing in link road NH-154 to Circuit House Km 0/00 to 0/480),21-Mar-2023,"INR 878,905",90.0,Manoj Sood,29-Mar-2023 11:49 AM,70038.pdf (235.00 KB),AOC,"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,15-Mar-2023 04:19 PM,finsummary_105569.pdf (163.92 KB),Finance,Financial bid opening summary,Manoj Sood,15-Mar-2023 04:15 PM,finance_105569.pdf,BOQ Comparative Chart,1.0,331462.0,Rohit Sharma,INR,"651,544.52",1.0,332399.0,RAJEEV KUMAR ANAND,08-Mar-2023 12:02 PM,Rejected-Finance,Bidder is found L3,15-Mar-2023 04:19 PM,Technical,Technical bid opening summary,Manoj Sood,13-Mar-2023 05:30 PM,technical_105569.pdf,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,331462.0,Rohit Sharma,04-Mar-2023 08:32 PM,Accepted-AOC,AOC,29-Mar-2023 11:49 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,333539.0,SURESH KUMAR,10-Mar-2023 10:18 AM,Rejected-Finance,Bidder is found L2,15-Mar-2023 04:19 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
