Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Technical,BOS,Chaman Singh,16-Feb-2023 04:22 PM,technical_102360.pdf,1.0,322595.0,ATUL CHANDEL GOVT CONTRACTOR,14-Feb-2023 01:49 AM,Accepted-AOC,AOC issued to L-1,08-Mar-2023 01:21 PM,1.0,322595.0,ATUL CHANDEL GOVT CONTRACTOR,INR,"2,127,694",Finance,FBOS,Chaman Singh,22-Feb-2023 12:28 PM,finance_102360.pdf,BOQ Comparative Chart,"Er. D R Chauhan, Executive Engineer",Internal,Er. Hitesh Sharma AE Dehar Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Lalit Sharma Supdt. Gr-II,Devi Ram Chauhan,08-Mar-2023 01:20 PM,finsummary_102360.pdf (450.06 KB),08-Mar-2023,"INR 2,127,694",60.0,Devi Ram Chauhan,08-Mar-2023 01:21 PM,AOC67951.pdf (450.00 KB),AOC issued to L-1,PWD,2023_PWD_67951_1,PW-SNR-CB-E-Ten/Giriraj- 19416-26 dt.28.1.23,Improvement of black spot on Pungh Ghanghnoo road KM 0/0 to 19/00,"Er. D R Chauhan, Executive Engineer",Internal,Er. Hitesh Sharma AE Dehar Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Lalit Sharma Supdt.,Chaman Singh,17-Feb-2023 03:48 PM,20-Feb-2023 12:30 PM,techsummary_102360.pdf (661.67 KB),AOC,03-Feb-2023 10:00 AM,14-Feb-2023 11:30 AM,03-Feb-2023 10:00 AM,14-Feb-2023 10:00 AM,NA ,NA ,03-Feb-2023 10:00 AM,14-Feb-2023 10:00 AM,20-Feb-2023 12:30 PM,"61,000",Yes,fixed,,EE Sundernagar,Sundernagar,1.0,ICICI BANK,PWD,PW-SNR-CB-E-Ten/Giriraj- 19416-26 dt.28.1.23,2023_PWD_67951_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,Improvement of black spot on Pungh Ghanghnoo road KM 0/0 to 19/00,SH Providing and fixing W metal beam crash barrier at RD 12/195.20 to 12/600 and 17/291 to 17/428,As per bid document ,NA ,"30,39,563",Civil Works,NA ,Tender,90.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,"1,500",EE Sundernagar,Sundernagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,Executive Engineer,Executive Engineer HPPWD Division Sunder Nagar,AOC
,,,,,2.0,321752.0,Mast Ram,13-Feb-2023 02:34 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,AOC
,,,,,3.0,322022.0,NAROTAM RAM,12-Feb-2023 10:05 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,AOC
,,,,,4.0,322511.0,Pankaj Govt. Contractor,13-Feb-2023 08:28 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,AOC
,,,,,5.0,322494.0,Pawan Kumar,13-Feb-2023 07:30 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand as per general rules No. 16 and 26.,,,AOC
,,,,,6.0,322602.0,Rnjeet Singh,14-Feb-2023 08:45 AM,Rejected-Finance,Not found lowest,08-Mar-2023 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,AOC
,,,,,7.0,322343.0,WALIA CONSTRUCTIONS,13-Feb-2023 05:34 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,AOC
