S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage
1.0,305341.0,RAJANI GOSAIN,INR,"901,690",Finance,BOS,Jeet Singh Thakur,22-Oct-2022 03:57 PM,finance_98506.pdf,BOQ Comparative Chart,Technical,BOS,Jeet Singh Thakur,07-Oct-2022 06:35 PM,technical_98506.pdf,1.0,304469.0,Ashok Kumar,27-Sep-2022 10:07 PM,Rejected-Finance,Being a single lowest,22-Oct-2022 04:01 PM,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,22-Oct-2022 04:01 PM,finsummary_98506.pdf (129.64 KB),09-Mar-2023,"INR 888,391",60.0,Jeet Singh Thakur,09-Mar-2023 04:09 PM,13065.pdf (573.00 KB),"A/R and M/O various bridges under Chamba Sub Division No. II, (SH P/L 25 MM thick mastice asphalt wearing course painting of railing of 75 mtr.span double lane Baloo Bridge and Obri Bridge",PWD,2022_PWD_65431_2,No.PWC-B/ 10076-10175 dated 16.9.22,"A/R and M/O various bridges under Chamba Sub Division No. II, (SH P/L 25 MM thick mastice asphalt wearing course painting of railing of 75 mtr.span double lane Baloo Bridge and Obri Bridge",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Oct-2022 06:38 PM,10-Oct-2022 11:30 AM,techsummary_98506.pdf (229.91 KB),AOC,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"18,000",No,fixed,,Nil,Nil,23-Sep-2022 01:00 PM,03-Oct-2022 11:30 AM,23-Sep-2022 01:00 PM,01-Oct-2022 05:00 PM,NA ,NA ,23-Sep-2022 01:00 PM,01-Oct-2022 05:00 PM,10-Oct-2022 11:30 AM,"A/R and M/O various bridges under Chamba Sub Division No. II, (SH P/L 25 MM thick mastice asphalt wearing course painting of railing of 75 mtr.span double lane Baloo Bridge and Obri Bridge","A/R and M/O various bridges under Chamba Sub Division No. II, (SH P/L 25 MM thick mastice asphalt wearing course painting of railing of 75 mtr.span double lane Baloo Bridge and Obri Bridge",Please refer Tender documents. ,NA ,"8,88,391",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,PWD,No.PWC-B/ 10076-10175 dated 16.9.22,2022_PWD_65431_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Due Date Extended (30-Sep-2022),Admin Corrigendum Date Extend,,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,305341.0,RAJANI GOSAIN,30-Sep-2022 04:43 PM,Accepted-AOC,Work completed,09-Mar-2023 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of ongoing work/Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Detail of machinery, documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,HP.PWD form -7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit /undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,The tender will be accepted of those Contractor who have successfully completed similar nature work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
