Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
"Er. Rajesh kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,16-Jul-2022 08:06 PM,finsummary_93732.pdf (471.64 KB),08-Aug-2022,"INR 80,274",30.0,Arvind Chaudhary,24-Mar-2023 05:17 PM,Awardletter.pdf (824.00 KB),Awardletter,PWD,2022_PWD_62153_1,Job 2 Construction of Link road Amrali to Beetan,"Job 2 Construction of Link road Amrali to Beetan to Gahua km. 0-0 to 1-0 Sub Head Providing and Laying WMM, Prime coat ,BC at km. 0-400 to 0-750 Under OTMNP","Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,09-Jul-2022 11:30 AM,13-Jul-2022 10:00 AM,techsummary_93732.pdf (261.04 KB),Technical,TechnicalBidOpeningSummary,Rajesh Kumar,05-Jul-2022 09:38 AM,technical_93732.pdf,1.0,289730.0,B T Construction Company,03-Jul-2022 11:43 AM,Accepted-AOC,ok,24-Mar-2023 05:18 PM,Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,16-Jul-2022 07:06 PM,finance_93732.pdf,BOQ Comparative Chart,1.0,289730.0,B T Construction Company,INR,"723,975",AOC,1.0,ICICI BANK,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","16,100",No,fixed,,Nil,Nil,"Job 2 Construction of Link road Amrali to Beetan to Gahua km. 0-0 to 1-0 Sub Head Providing and Laying WMM, Prime coat ,BC at km. 0-400 to 0-750 Under OTMNP","Job 2 Construction of Link road Amrali to Beetan to Gahua km. 0-0 to 1-0 Sub Head Providing and Laying WMM, Prime coat ,BC at km. 0-400 to 0-750 Under OTMNP",Please refer to Bidding Documents ,NA ,"8,02,743",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,28-Jun-2022 10:00 AM,04-Jul-2022 11:00 AM,28-Jun-2022 10:30 AM,04-Jul-2022 09:00 AM,NA ,NA ,28-Jun-2022 10:30 AM,04-Jul-2022 09:00 AM,13-Jul-2022 10:00 AM,500.0,Nil,Nil,No,PWD,Job 2 Construction of Link road Amrali to Beetan,2022_PWD_62153_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,289767.0,Kuldeep Kumar,03-Jul-2022 10:23 PM,Rejected-Finance,Not L-1,16-Jul-2022 08:06 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,289766.0,PRABHJOT SINGH GOVT CONTRACTOR,03-Jul-2022 10:06 PM,Rejected-Finance,Not L-1,16-Jul-2022 08:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,289216.0,Shivalik Construction Company,02-Jul-2022 03:45 PM,Rejected-Finance,Not L-1,16-Jul-2022 08:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,289724.0,TC Construction,03-Jul-2022 10:15 PM,Rejected-Finance,Not L-1,16-Jul-2022 08:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,289863.0,unique engg. solutions,04-Jul-2022 08:54 AM,Rejected-Finance,Not L-1,16-Jul-2022 08:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,AOC
