Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Technical,Bid Opening Summary,Parveen Kumar Verma,14-Mar-2023 02:30 PM,technical_105727.pdf,1.0,332174.0,M Pandit,06-Mar-2023 02:28 PM,Rejected-Finance,L2,16-Mar-2023,1.0,331854.0,SABIR SHAH,INR,"299,941",Finance,BOS,Parveen Kumar Verma,15-Mar-2023 04:12 PM,finance_105727.pdf,BOQ Comparative Chart,18-Mar-2023,"INR 299,941",30.0,Bhupender Singh,21-Apr-2023 04:23 PM,ShabirAOC2.pdf (410.00 KB),AOC,Parveen Kumar Verma E.E.,Internal,SanjeevChauhanSupdt.PadamSharmaHDMDeepakSharmaSr.DAO,Bhupender Singh,16-Mar-2023 12:40 PM,finsummary_105727.pdf (526.40 KB),ParveenKumar E.E.,Internal,SanjeevChauhanSupdtPadamSharmaHDMDeepakSharmaSrDAO,Bhupender Singh,14-Mar-2023 04:07 PM,14-Mar-2023 04:20 PM,techsummary_105727.pdf (1071.00 KB),PWD,2023_PWD_70151_2,SD-III-T-29473-93dt.28-2-23,"A/R and M/O various residential buildings under division no III Shimla. (SH - Repair of flooring, cupboard, painting and distempering in block no.III set no 44 (Type-IV) at U.S Club Shimla)","A/R and M/O various residential buildings under division no III Shimla. (SH - Repair of flooring, cupboard, painting and distempering in block no.III set no 44 (Type-IV) at U.S Club Shimla)","A/R and M/O various residential buildings under division no III Shimla. (SH - Repair of flooring, cupboard, painting and distempering in block no.III set no 44 (Type-IV) at U.S Club Shimla)",As per SBD ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,30.0,U.S.Club,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,PWD,SD-III-T-29473-93dt.28-2-23,2023_PWD_70151_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),350.0,Nil,Nil,No,04-Mar-2023 09:00 AM,10-Mar-2023 11:00 AM,04-Mar-2023 09:00 AM,09-Mar-2023 06:00 PM,NA ,NA ,04-Mar-2023 09:00 AM,09-Mar-2023 06:00 PM,14-Mar-2023 04:20 PM,"5,910",No,fixed,,Nil,Nil
,,,,,2.0,331854.0,SABIR SHAH,06-Mar-2023 07:31 PM,Accepted-AOC,L1,21-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact detail with Mobile Number,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,
