Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,28-Apr-2020 01:22 PM,technical_25582.pdf,19-May-2020,INR 3538722.59,60.0,Shamim Akhtar Laskar,19-May-2020 01:07 PM,Untitled.pdf (111.00 KB),Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 19th Km. to 24th Km. (Kandulimari to Chataikur) area in the form of formation of back berm under SDRF for 2019-20 (P,Department of Water Resources||Chief Engineer - DoWR,2020_DoWR_16814_1,MAJU/SDRF/KNDL/2019-20/1,Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 19th Km. to 24th Km. (Kandulimari to Chataikur) area in the form of formation of back berm under SDRF for 2019-20 (Package 3),Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,28-Apr-2020 01:32 PM,,BOQ Comparative Chart,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Additional Chief Engineer, UAZ, W.R. Department, Dibrugarh, Director, Design and Planning, Deputy Director, Design and Planning, Assistant Executive Engineer (TC), O/o the ACE, UAZ, WRD",Joy Sekhar Chakraborty,28-Apr-2020 01:23 PM,28-Apr-2020 01:25 PM,techsummary_25582.pdf (754.58 KB),1.0,77817.0,NABAJIT BORAH,INR,2749612.0,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"ACE,UAZ/DIRECTOR/DY.DIRECTOR/EE/AEE,CONCERNED/A.O./TECH.ASSISTANT WITH DSC",Shamim Akhtar Laskar,19-May-2020 01:00 PM,finsummary_25582.pdf (110.93 KB),1,77459,DEBA KANTA KALITA,06-Mar-2020 08:15 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,26-Feb-2020 06:00 PM,10-Mar-2020 02:00 PM,26-Feb-2020 06:00 PM,07-Mar-2020 02:00 PM,NA ,NA ,02-Mar-2020 10:00 AM,07-Mar-2020 02:00 PM,28-Apr-2020 01:25 PM,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","70,774",Yes,percentage,2.0%,"The Executive Engineer,Majuli W.R. Division","Garamur,Majuli",1.0,Fee,.pdf,Cost of Tender and EMD,700.0,"The Executive Engineer,Majuli W.R.Division","Garamur,Majuli",No,Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 19th Km. to 24th Km. (Kandulimari to Chataikur) area in the form of formation of back berm under SDRF for 2019-20 (Package 3),Immediate Measures to recoup flood damaged of country side slope of B/Dyke from Ch. 19th Km. to 24th Km. (Kandulimari to Chataikur) area in the form of formation of back berm under SDRF for 2019-20 (Package 3),Please refer Tender documents. ,NA ,"35,38,722",Civil Works,NA ,Tender,180.0,60.0,Majuli,785104.0,NA ,NA ,NA ,Dibrugarh,No ,No,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,MAJU/SDRF/KNDL/2019-20/1,2020_DoWR_16814_1,Yes,Open Tender,Works,Works,3.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,77659,DEBA PRASAD DAS,06-Mar-2020 04:27 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,28-Apr-2020 01:22 PM,AOC,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77167,DIPAK DUTTA,06-Mar-2020 09:28 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,77549,KHAGEN DAS,06-Mar-2020 07:53 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,77486,MOHAN KULI,07-Mar-2020 12:46 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,77817,NABAJIT BORAH,07-Mar-2020 10:28 AM,Accepted-AOC,PROPER,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,77620,N K Construction and Suppliers,07-Mar-2020 12:17 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,77626,PRADIP HAZARIKA,07-Mar-2020 01:03 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,77291,pulin borgohain,07-Mar-2020 08:15 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,77117,SARBESWAR SAIKIA,07-Mar-2020 12:38 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,19-May-2020 01:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
