Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Annual Maintenance of Rajera Dhulara road Km. 5/0 to 7/0 Providing and Laying Bitumenous Concrete,Annual Maintenance of Rajera Dhulara road Km. 5/0 to 7/0 Providing and Laying Bitumenous Concrete,Please refer Tender documents. ,NA ,"17,76,125",Civil Works,NA ,Tender,90.0,60.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer,Chamba Division HPPWD.,Chamba",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,13-Jan-2020 10:00 AM,28-Jan-2020 11:30 AM,13-Jan-2020 10:00 AM,27-Jan-2020 05:00 PM,NA ,NA ,13-Jan-2020 10:00 AM,27-Jan-2020 05:00 PM,03-Feb-2020 11:30 AM,1.0,DD - Demand Draft,"Executive Engineer,Chamba Division HPPWD.,Chamba","Executive Engineer,Chamba Division HPPWD.,Chamba",500.0,"Executive Engineer,Chamba Division HPPWD.,Chamba","Executive Engineer,Chamba Division HPPWD.,Chamba",No,PWD,No.PWC-WA-Contt.14635-734 dated 8.1.2020,2020_PWD_33995_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"34,150",No,fixed,,"Executive Engineer,Chamba Division HPPWD.,Chamba","Executive Engineer,Chamba Division HPPWD.,Chamba",AOC,Finance,Bid opening Summary,Jeet Singh Thakur,25-May-2020 01:45 PM,finance_49240.pdf,BOQ Comparative Chart,Technical,Bid opening Summary,Jeet Singh Thakur,30-Jan-2020 06:52 PM,technical_49240.pdf,EE,Internal,Senior Assistant Superintendent and Assistant,Jeet Singh Thakur,30-Jan-2020 07:29 PM,03-Feb-2020 11:30 AM,techsummary_49240.pdf (222.55 KB),1.0,146757.0,Des Raj and Co.,27-Jan-2020 01:44 PM,Accepted-AOC,L1,25-May-2020 01:57 PM,25-May-2020,"INR 1,776,125",60.0,Jeet Singh Thakur,25-May-2020 01:57 PM,14.AOC18178.pdf (544.00 KB),Annual Maintenance of Rajera Dhulara road Km. 5/0 to 7/0 Providing and Laying Bitumenous Concrete,1.0,146757.0,Des Raj and Co.,INR,"2,287,705",EE,Internal,Annual Maintenance of Rajera Dhulara road Km. 5/0 to 7/0 Providing and Laying Bitumenous Concrete,Jeet Singh Thakur,25-May-2020 01:55 PM,finsummary_49240.pdf (184.33 KB),PWD,2020_PWD_33995_10,No.PWC-WA-Contt.14635-734 dated 8.1.2020,Annual Maintenance of Rajera Dhulara road Km. 5/0 to 7/0 Providing and Laying Bitumenous Concrete,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,146562.0,sahab singh thakur,24-Jan-2020 09:41 PM,Rejected-AOC,L2,25-May-2020 01:57 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Own Hot Mix Plant, Paver Finisher and road Roller documentary proof .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
