S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,150526.0,bhupinder chandel,INR,"341,499",Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,2020_BBNDA_35059_1,BBNDA-06-ONLINE-2019-20 958-68 DATE 11.02.2020,R/R Damages of Link road to from Sidhartha Factory NH Khera to village Khokhra.(SH-C/o Retaining wall at RD 0/00),Addl. CEO,Internal,EE,Satpal Singh,20-Mar-2020 04:45 PM,finsummary_51412.pdf (287.45 KB),21-May-2020,"INR 414,000",60.0,Satpal Singh,21-May-2020 02:36 PM,Bhupinder.pdf (385.00 KB),AOC,Technical,Bid Opening Summary,Satpal Singh,16-Mar-2020 03:15 PM,technical_51412.pdf,Finance,Financial Summary,Satpal Singh,20-Mar-2020 04:42 PM,finance_51412.pdf,BOQ Comparative Chart,1,152467,AJAY CHAUHAN,04-Mar-2020 02:11 PM,Rejected-Finance,Reject,20-Mar-2020 04:45 PM,Addl. CEO,Internal,"EE, JC, AE I, AE II, JDM, Clerk",Satpal Singh,16-Mar-2020 04:14 PM,20-Mar-2020 11:00 AM,techsummary_51412.pdf (293.32 KB),AOC,"8,300",No,fixed,,EE BBNDA BADDDI,BBNDA BADDDI,R/R Damages of Link road to from Sidhartha Factory NH Khera to village Khokhra.(SH-C/o Retaining wall at RD 0/00),R/R Damages of Link road to from Sidhartha Factory NH Khera to village Khokhra.(SH-C/o Retaining wall at RD 0/00),Please refer Tender documents. ,NA ,"4,14,000",Civil Works - Others,RETAINING WALL ,Tender,90.0,60.0,NALAGARH,174101.0,NA ,NA ,NA ,BBNDA BADDDI,No ,No,15-Feb-2020 11:00 AM,06-Mar-2020 10:30 AM,15-Feb-2020 11:00 AM,04-Mar-2020 05:00 PM,15-Feb-2020 11:00 AM ,04-Mar-2020 04:00 PM ,15-Feb-2020 11:00 AM,04-Mar-2020 05:00 PM,20-Mar-2020 11:00 AM,350.0,EE BBNDA BADDDI,BBNDA BADDDI,No,EE BBNDA BADDDI,BBNDA BADDDI,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,FDR - Fixed Deposit,Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,BBNDA-06-ONLINE-2019-20 958-68 DATE 11.02.2020,2020_BBNDA_35059_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,150526,bhupinder chandel,25-Feb-2020 08:43 PM,Accepted-AOC,Accept,21-May-2020 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,152473,DILWAR GOVT CONTRACTOR,04-Mar-2020 01:41 PM,Rejected-Finance,Reject,20-Mar-2020 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,151990,gobind sahib enterprises,02-Mar-2020 01:34 PM,Rejected-Finance,Reject,20-Mar-2020 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,152277,IQBAL MOHAMAD,03-Mar-2020 04:11 PM,Rejected-Finance,Reject,20-Mar-2020 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,152361,JRC CONTRACTOR,04-Mar-2020 12:54 PM,Rejected-AOC,Reject,21-May-2020 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,152496,karamveer govt. contractor,04-Mar-2020 02:39 PM,Rejected-Finance,Reject,20-Mar-2020 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,152036,mustak,02-Mar-2020 05:01 PM,Rejected-Finance,Reject,20-Mar-2020 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,152311,NARESH KUMAR GOVT. CONTRACTOR,03-Mar-2020 06:26 PM,Rejected-Finance,Reject,20-Mar-2020 04:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,151938,Raj kumari Govt. Contractor,02-Mar-2020 12:53 AM,Rejected-AOC,Reject,21-May-2020 02:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
