Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant , Prem Chand, Sr. Assistant",Ravi Dutt Sharma,14-Mar-2020 05:57 PM,finsummary_52004.pdf (706.07 KB),13-May-2020,"INR 2,009,163",60.0,Ravi Dutt Sharma,13-May-2020 04:40 PM,Awardletter.PDF (1670.00 KB),Awardletter,PWD,2020_PWD_35395_1,Job 7 Periodical maintenance on link road to villa,"Job 7 Periodical maintenance on link road to village Ispur km. 1-00 to 3-660 Sub Head Patch work , 30 mm thick BC and zebra crossing VR047 under State Head",Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant , Prem Chand, Sr. Assistant",Bhupinder Singh,11-Mar-2020 04:21 PM,12-Mar-2020 02:00 PM,techsummary_52004.pdf (786.64 KB),Technical,TechnicalBidOpeningSummary,Bhupinder Singh,11-Mar-2020 03:42 PM,technical_52004.pdf,1.0,151673.0,DCC BUILDCON PVT. LTD.,29-Feb-2020 09:54 AM,Rejected-Technical,As per Technical Bid Evaluation Proceeding,11-Mar-2020 04:21 PM,1.0,151742.0,M/s Satish Kumar Sharma,INR,"2,460,348",Finance,Proceedingregardingopeningoffinancialbids,Ravi Dutt Sharma,14-Mar-2020 05:26 PM,finance_52004.pdf,BOQ Comparative Chart,AOC,"Job 7 Periodical maintenance on link road to village Ispur km. 1-00 to 3-660 Sub Head Patch work , 30 mm thick BC and zebra crossing VR047 under State Head","Job 7 Periodical maintenance on link road to village Ispur km. 1-00 to 3-660 Sub Head Patch work , 30 mm thick BC and zebra crossing VR047 under State Head",Please refer to Bidding Documents ,NA ,"20,09,163",Civil Works - Roads,NA ,Tender,120.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,PWD,Job 7 Periodical maintenance on link road to villa,2020_PWD_35395_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,24-Feb-2020 10:00 AM,29-Feb-2020 03:00 PM,24-Feb-2020 10:30 AM,29-Feb-2020 12:00 PM,NA ,NA ,24-Feb-2020 10:30 AM,29-Feb-2020 12:00 PM,12-Mar-2020 02:00 PM,1.0,FDR - Fixed Deposit,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"37,700",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151742.0,M/s Satish Kumar Sharma,28-Feb-2020 04:45 PM,Accepted-AOC,ok,13-May-2020 04:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,AOC
