S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,155766.0,DESH RAJ,INR,"1,452,487",Finance,SUMMARY,Rattan Kumar Sharma,23-Apr-2020 04:26 PM,finance_52781.pdf,BOQ Comparative Chart,Technical,SUMMARY,Rattan Kumar Sharma,20-Mar-2020 02:57 PM,technical_52781.pdf,1.0,155766.0,DESH RAJ,19-Mar-2020 12:33 PM,Accepted-AOC,AOC,13-May-2020 03:44 PM,13-May-2020,"INR 1,025,644",90.0,Rattan Kumar Sharma,13-May-2020 03:44 PM,01.pdf (1395.00 KB),AOC,Executive Engineer,Internal,Tender Assistant Superintendent G-II DAO DHD,Rattan Kumar Sharma,13-May-2020 03:42 PM,finsummary_52781.pdf (282.26 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,22-Apr-2020 11:47 AM,22-Apr-2020 12:15 PM,techsummary_52781.pdf (582.35 KB),PWD,2020_PWD_35902_2,11217 DATED 03.03.2020,Periodical Maintenance release of financial incentive under PMGSY Package No. HP-10-07 for the year 2019-20 for Kharkoli to Rajana km 0/0 to 4/0,AOC,"20,600",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,PWD,11217 DATED 03.03.2020,2020_PWD_35902_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical Maintenance release of financial incentive under PMGSY Package No. HP-10-07 for the year 2019-20 for Kharkoli to Rajana km 0/0 to 4/0,"Providing and laying 25mm thick Bitumen Concrete including 90 m road side drain in km 0/0 to 0/915, C/O PCC Retaining wall in km 0/805 to 0/822 and Breast wall in km 0/795 to 0/810)",Please refer Tender documents. ,NA ,"10,25,644",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,500.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,1.0,DD - Demand Draft,05-Mar-2020 02:00 PM,20-Mar-2020 11:30 AM,05-Mar-2020 02:00 PM,19-Mar-2020 05:00 PM,NA ,NA ,05-Mar-2020 02:00 PM,19-Mar-2020 05:00 PM,22-Apr-2020 12:15 PM,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,AOC
,,,,,,,,,,,,,,,,2.0,155759.0,M/S SARVJEET SINGH,19-Mar-2020 12:11 PM,Rejected-Finance,NOT THE LOWEST BIDDER,13-May-2020 03:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,EARNEST MONEY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FULL COPY OF LATEST CONTRACTORS REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,AOC
