Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Executive Engineer,Internal,"Accounts Officer, Suptd., HDM, Dealing Assistant",Mohd. Arshad Rehman,06-Apr-2020 01:05 PM,06-Apr-2020 03:00 PM,techsummary_52554.pdf (111.89 KB),1.0,156010.0,BHARAT BHUSHAN,20-Mar-2020 04:24 PM,Rejected-Finance,Rejected,12-May-2020 04:12 PM,Finance,Financial BID Summary,Mohd. Arshad Rehman,06-Apr-2020 04:59 PM,finance_52554.pdf,BOQ Comparative Chart,Technical,Bid Summary,Mohd. Arshad Rehman,06-Apr-2020 12:46 PM,technical_52554.pdf,12-May-2020,"INR 2,955,022",180.0,Mohd. Arshad Rehman,12-May-2020 04:17 PM,Award.pdf (340.00 KB),Work Awarded,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2020_HPIPH_35779_1,11927-12026,Providing LWSS Charna and group of villages in GP Charna Tehsil Sangrah Distt. Sirmour UNDER JJM,1.0,155748.0,Joginder Singh Pundeer,INR,"2,955,022",Executive Engineer,Internal,Suptd. AO HDM DA,Mohd. Arshad Rehman,12-May-2020 04:12 PM,finsummary_52554.pdf (268.74 KB),AOC,1.0,Regrding Conditons,Technical Bid,,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",11927-12026,2020_HPIPH_35779_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,EE Nohradhar,Nohradhar,No,"40,600",Yes,fixed,,EE Nohradhar,Nohradhar,1.0,ICICI BANK,Providing LWSS Charna and group of villages in GP Charna Tehsil Sangrah Distt. Sirmour UNDER JJM,SH C/O filter bed,Please refer Tender documents. ,NA ,"22,06,328",Civil Works,NA ,Tender,120.0,180.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Sec. payment duly pledged to EE Nohradhar,29-Feb-2020 05:00 PM,21-Mar-2020 11:30 AM,29-Feb-2020 05:00 PM,21-Mar-2020 11:00 AM,NA ,NA ,29-Feb-2020 05:00 PM,21-Mar-2020 11:00 AM,06-Apr-2020 03:00 PM,Executive Engineer,Jal Shakti Division NOhradhar,AOC
,,,,,,,2.0,156161.0,Gian Singh,21-Mar-2020 10:28 AM,Rejected-Finance,Rejected,12-May-2020 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form,,,,,,,,,,,,AOC
,,,,,,,3.0,156101.0,Jai Parkash,20-Mar-2020 06:23 PM,Rejected-Finance,Rejected,12-May-2020 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,AOC
,,,,,,,4.0,155748.0,Joginder Singh Pundeer,19-Mar-2020 12:04 PM,Accepted-AOC,Accepted,12-May-2020 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST registration,,,,,,,,,,,,AOC
,,,,,,,5.0,156140.0,ROHIT KUMAR,20-Mar-2020 10:01 PM,Not Admitted-Finance,Not qualified for AOC,06-Apr-2020 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF,,,,,,,,,,,,AOC
,,,,,,,6.0,156134.0,SUNIL KUMAR,20-Mar-2020 09:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Apr-2020 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Financial turn over,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,joint venture not allow,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of under taking,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Regulation of abolition HP rule 1974,,,,,,,,,,,,AOC
