Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Annual Maintenance plan on Barsar Dhaneta road,P/L bituminous concrete 30mm thick in km. 12/0 to 14/0)(DRRP NO. HP-03-05VR070) (With paver finisher,Please refer Tender documents. ,NA ,"16,26,425",Civil Works - Roads,NA ,Tender,120.0,30.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,"31,900",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,DD - Demand Draft,PWD,Annual Maintenance plan on Barsar Dhaneta road,2020_PWD_34358_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,31-Jan-2020 10:30 AM,12-Feb-2020 11:00 AM,31-Jan-2020 10:30 AM,12-Feb-2020 10:30 AM,NA ,NA ,31-Jan-2020 10:30 AM,12-Feb-2020 10:30 AM,14-Feb-2020 11:00 AM,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,AOC,1.0,149068.0,anil thakur,11-Feb-2020 07:10 PM,Rejected-Finance,L 2,14-Feb-2020 03:41 PM,Technical,tech bid opening summary,Pramod Kashyap,12-Feb-2020 02:25 PM,technical_50072.pdf,Finance,fin bid,Pramod Kashyap,14-Feb-2020 03:39 PM,finance_50072.pdf,BOQ Comparative Chart,1.0,149101.0,vijay kumar,INR,"1,945,840",PWD,2020_PWD_34358_1,Annual Maintenance plan on Barsar Dhaneta road,Annual Maintenance plan on Barsar Dhaneta road,EE,Internal,AE Supdt HDM DAO,Pramod Kashyap,13-Feb-2020 06:41 PM,14-Feb-2020 11:00 AM,techsummary_50072.pdf (507.89 KB),EE,Internal,AE Supdt HDM DAO,Pramod Kashyap,14-Feb-2020 03:41 PM,finsummary_50072.pdf (158.97 KB),15-May-2020,"INR 1,626,425",30.0,Pramod Kashyap,15-May-2020 02:49 PM,awardbarsardhaneta.pdf (1082.00 KB),Annual Maintenance plan on Barsar Dhaneta road,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,149101.0,vijay kumar,11-Feb-2020 10:28 PM,Accepted-AOC,L 1,15-May-2020 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary (Plant and p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
