Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
30-May-2020,"INR 427,426",60.0,Kishan Lal Chaudhary,30-May-2020 01:28 PM,AOC.71.pdf (524.00 KB),WORK AWARDED TO SH. TAPENDER Thakur,Er. Narender Kumar EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Kishan Singh Supdt.G-II., Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,30-May-2020 01:24 PM,finsummary_48366.pdf (599.66 KB),Er. N.K VERMA EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Sh. Krishan Singh Supdt. G-II, Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,06-Jan-2020 11:51 AM,06-Jan-2020 11:55 AM,techsummary_48366.pdf (1009.38 KB),PWD,2019_PWD_33556_1,LINK ROAD TO SHAKOL TO BAGULA ROAD,Construction of link road from village Shakol to Bagula km 0/0 to 1/240 (SH C/O balance formation cutting in Km. 0/0 to 1/240 left out quantity).,Technical,SUMMARY,Kishan Lal Chaudhary,06-Jan-2020 11:31 AM,technical_48366.pdf,1.0,143321.0,AASHISH BHARDWAJ,01-Jan-2020 07:40 AM,Rejected-AOC,L3,30-May-2020 01:28 PM,1.0,142257.0,Tapender Thakur,INR,"226,418",Finance,SUMMARY,Kishan Lal Chaudhary,21-Jan-2020 12:34 PM,finance_48366.pdf,BOQ Comparative Chart,AOC,"9,000",No,fixed,,EE RAJGARH,RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,PWD,LINK ROAD TO SHAKOL TO BAGULA ROAD,2019_PWD_33556_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE RAJGARH,RAJGARH,No,1.0,DD - Demand Draft,Construction of link road from village Shakol to Bagula km 0/0 to 1/240 (SH C/O balance formation cutting in Km. 0/0 to 1/240 left out quantity).,Construction of link road from village Shakol to Bagula km 0/0 to 1/240 (SH C/O balance formation cutting in Km. 0/0 to 1/240 left out quantity).,Please refer Tender documents. ,NA ,"4,27,426",Civil Works - Roads,NA ,Tender,90.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,21-Dec-2019 02:00 PM,02-Jan-2020 11:00 AM,21-Dec-2019 02:00 PM,01-Jan-2020 05:00 PM,NA ,NA ,21-Dec-2019 02:00 PM,01-Jan-2020 05:00 PM,06-Jan-2020 11:55 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,143424.0,Babu Ram,01-Jan-2020 04:20 PM,Rejected-AOC,L5,30-May-2020 01:28 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,142961.0,Jagmohan Singh,29-Dec-2019 09:26 PM,Rejected-AOC,L7,30-May-2020 01:28 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,142984.0,Keshav Kumar,30-Dec-2019 11:58 AM,Rejected-AOC,L2,30-May-2020 01:28 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,143294.0,SAHDEV SINGH,01-Jan-2020 07:19 AM,Rejected-AOC,L6,30-May-2020 01:28 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,142787.0,sukhpal,01-Jan-2020 03:59 PM,Rejected-AOC,L4,30-May-2020 01:28 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,142257.0,Tapender Thakur,01-Jan-2020 02:06 PM,Accepted-AOC,L1,30-May-2020 01:28 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor to submit the incomplete works on proforma mentioned S. No. 19 as per General Rules 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
