Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
04-May-2020,"INR 3,152,918",30.0,Pramod Kashyap,04-May-2020 12:03 PM,Awardnaghukamalh.pdf (936.00 KB),Annual Maintenance plan on Naghu to Kamlah ro,EE,Internal,AE Supdt HDM DAO,Pramod Kashyap,03-Feb-2020 12:31 PM,finsummary_49572.pdf (163.14 KB),EE,Internal,AE Supdt HDM DAO,Pramod Kashyap,01-Feb-2020 05:01 PM,03-Feb-2020 10:30 AM,techsummary_49572.pdf (511.07 KB),PWD,2020_PWD_34133_1,Annual Maintenance plan on Naghu to Kamlah road,Annual Maintenance plan on Naghu to Kamlah ro,Technical,tech bid openingsummary,Pramod Kashyap,31-Jan-2020 11:10 AM,technical_49572.pdf,1.0,147091.0,DEEPAK JOSHI,28-Jan-2020 04:07 PM,Accepted-AOC,L 1,04-May-2020 12:03 PM,Finance,fin bid,Pramod Kashyap,03-Feb-2020 12:27 PM,finance_49572.pdf,BOQ Comparative Chart,1.0,147091.0,DEEPAK JOSHI,INR,"3,800,873",AOC,Annual Maintenance plan on Naghu to Kamlah ro,P/L bituminous concrete 30mm thick in km. 0/0 to 3/930)(DRRP NO. HP-03-05VR0088) (With paver finisher),Please refer Tender documents. ,NA ,"31,52,918",Civil Works - Roads,NA ,Tender,120.0,30.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,17-Jan-2020 10:30 AM,29-Jan-2020 11:00 AM,17-Jan-2020 10:30 AM,29-Jan-2020 10:30 AM,NA ,NA ,17-Jan-2020 10:30 AM,29-Jan-2020 10:30 AM,03-Feb-2020 10:30 AM,PWD,Annual Maintenance plan on Naghu to Kamlah road,2020_PWD_34133_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,"1,500",Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,"54,800",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,147036.0,S.S.Chauhans Construction Private Limted,28-Jan-2020 07:20 PM,Rejected-AOC,L 2,04-May-2020 12:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary (Plant and p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
