S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,150492.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,22-Feb-2020 05:58 PM,Rejected-Finance,Rejected,12-May-2020 03:59 PM,Executive Enginner,Internal,"Suptd. D.A.O, HDM, Dealing Assistant,",Mohd. Arshad Rehman,25-Feb-2020 06:14 PM,26-Feb-2020 11:30 AM,techsummary_50930.pdf (112.93 KB),Technical,Bid Opening Summery,Mohd. Arshad Rehman,25-Feb-2020 06:01 PM,technical_50930.pdf,Finance,Financial bid,Mohd. Arshad Rehman,26-Feb-2020 03:00 PM,finance_50930.pdf,BOQ Comparative Chart,12-May-2020,"INR 5,945,255",180.0,Mohd. Arshad Rehman,12-May-2020 04:04 PM,Award.pdf (354.00 KB),Work Awarded,1.0,150523.0,HYDRAULIC ENGINEERING COMPANY,INR,"5,945,255","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2020_HPIPH_34744_2,9978-10077 dated 3-02-2020,Providing LWSS Charna and Group of villages in GP Charna Tehsil Sangrah Distt. Sirmour under Jal Jeevan Mission,Superintending Engineer IPH Circle Nahan,Internal,EE Nohra CHD AE(D) EE(D),Mohd. Arshad Rehman,12-May-2020 03:59 PM,finsummary_50930.pdf (1520.62 KB),AOC,"61,350",Yes,fixed,,EE Nohradhar,Nohradhar,Providing LWSS Charna and Group of villages in GP Charna Tehsil Sangrah Distt. Sirmour under Jal Jeevan Mission,SH Providing and Laying of MSERW pipe line and laying Jointing of GMS pipe line in Rising Main feeder line and Supplying and errection of pumping machinery with allied accessories and automation.,Please refer Tender documents. ,NA ,"35,89,806",Pipe Laying Works,along with Rising main ,Tender,120.0,180.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,Executive Engineer,IPH Division Nohradhar,1.0,Fee/PreQual/Technical,.pdf,Bid security duly pledged EE Nohradhar,400.0,EE Nohradhar,Nohradhar,No,10-Feb-2020 05:00 PM,24-Feb-2020 11:30 AM,10-Feb-2020 05:00 PM,24-Feb-2020 11:00 AM,NA ,NA ,10-Feb-2020 05:00 PM,24-Feb-2020 11:00 AM,26-Feb-2020 11:30 AM,1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",9978-10077 dated 3-02-2020,2020_HPIPH_34744_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
2.0,150523.0,HYDRAULIC ENGINEERING COMPANY,22-Feb-2020 06:42 PM,Accepted-AOC,Accepted,12-May-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of form,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
3.0,150555.0,Sai Aqua Machines and Builders,23-Feb-2020 05:01 PM,Rejected-Finance,Rejected,12-May-2020 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,150529.0,shiv iron general engineers,24-Feb-2020 09:32 AM,Rejected-Finance,Rejected,12-May-2020 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial turn over last three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint venture not allow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,scanned copy of under taking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Regulation of abolition HP rule 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
