Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"ACE,UAZ/DIRECTOR/DY.DIRECTOR/EE/AEE,CONCERNED/A.O./TECH. STAFF WITH DSC",Shamim Akhtar Laskar,29-May-2020 10:38 AM,finsummary_25548.pdf (2845.62 KB),"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Additional Chief Engineer, UAZ, W.R. Department, Dibrugarh, Director, Design and Planning, Deputy Director, Design and Planning, Accounts Officer, Dibrugarh Water Resources Division, Dibrugarh",Joy Sekhar Chakraborty,16-Mar-2020 12:47 PM,16-Mar-2020 12:50 PM,techsummary_25548.pdf (754.58 KB),29-May-2020,INR 13870190.02,60.0,Shamim Akhtar Laskar,29-May-2020 10:48 AM,mili.pdf (2846.00 KB),Immediate measures for restoration of Moridhal dyke from Sorukacharigaon to Sissikalghar (In between ch.10th Km and 14th Km) under S.D.R.F for 2019-20(Package 1),1.0,76913.0,NAGENDRA BAGIRI,INR,11773059.11,1,77518,BABUL GOHAIN,05-Mar-2020 10:49 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,29-May-2020 10:48 AM,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,16-Mar-2020 01:12 PM,,BOQ Comparative Chart,Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,16-Mar-2020 12:46 PM,technical_25548.pdf,Department of Water Resources||Chief Engineer - DoWR,2020_DoWR_16781_1,DHEM/SDRF/MORIDHAL/2019-20/1,Immediate measures for restoration of Moridhal dyke from Sorukacharigaon to Sissikalghar (In between ch.10th Km and 14th Km) under S.D.R.F for 2019-20(Package 1),AOC,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh",1.0,Fee,.pdf,Cost of tender and EMD,Immediate measures for restoration of Moridhal dyke from Sorukacharigaon to Sissikalghar (In between ch.10th Km and 14th Km) under S.D.R.F for 2019-20(Package 1),Immediate measures for restoration of Moridhal dyke from Sorukacharigaon to Sissikalghar (In between ch.10th Km and 14th Km) under S.D.R.F for 2019-20(Package 1),Please refer Tender documents. ,NA ,"1,38,70,190",Civil Works,NA ,Tender,180.0,60.0,Dhemaji,787057.0,NA ,NA ,NA ,Dibrugarh,No ,No,"3,000","The Executive Engineer, Dhemaji W. R. Division",Dhemaji,No,"2,77,404",Yes,percentage,2.0%,"The Executive Engineer, Dhemaji W. R. Division",Dhemaji,25-Feb-2020 06:00 PM,06-Mar-2020 02:00 PM,25-Feb-2020 06:00 PM,05-Mar-2020 02:00 PM,NA ,NA ,29-Feb-2020 10:00 AM,05-Mar-2020 02:00 PM,16-Mar-2020 12:50 PM,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,DHEM/SDRF/MORIDHAL/2019-20/1,2020_DoWR_16781_1,Yes,Open Tender,Works,Works,3.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,77504,BALIN KRISHNA GOSWAMI-PRAFULLA HAZARIKA JV,05-Mar-2020 01:56 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,16-Mar-2020 12:46 PM,,,,,,,,,,,,,,,,AOC,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3,77009,Khagen Mili,05-Mar-2020 10:29 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,29-May-2020 10:48 AM,,,,,,,,,,,,,,,,AOC,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4,77143,LAKHI DIHINGIA,04-Mar-2020 06:38 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,29-May-2020 10:48 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5,77513,Mr. Ranjit Gogoi,05-Mar-2020 11:27 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,16-Mar-2020 12:46 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,6,76913,NAGENDRA BAGIRI,01-Mar-2020 05:42 PM,Accepted-AOC,PROPER,29-May-2020 10:48 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,7,77115,PROVARKAR DAS,04-Mar-2020 10:58 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,16-Mar-2020 12:46 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,8,77288,pulin borgohain,05-Mar-2020 01:30 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,16-Mar-2020 12:46 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,9,77260,PURNANANDA GOHAIN,05-Mar-2020 10:10 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,29-May-2020 10:48 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,10,76986,S.A. ENTERPRISE,01-Mar-2020 09:05 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,29-May-2020 10:48 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
