Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Dr Suresh Kumar Walia,Internal,Er Ravi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,10-Oct-2019 12:15 PM,finsummary_44876.pdf (180.92 KB),30-Mar-2020,"INR 51,184,921",730.0,Suresh Kumar Walia,12-May-2020 12:07 PM,Award.pdf (996.00 KB),Award,PWD,2019_PWD_31174_1,PWD CIVIL-7321-40-TANDA,"C/O of new 120 Nos Girls Hostel at Dr RPGMC Tanda (HP) (SH C/O Civil work including water supply and sanitary Installation ,Rain water Harvesting System, Septic tank and protection work etc.).",Dr Suresh Kumar Walia,Internal,Er Ravi Bhushan AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,05-Oct-2019 12:37 PM,05-Oct-2019 12:40 PM,techsummary_44876.pdf (1000.74 KB),1.0,132320.0,M/s Surindera Traders,INR,"51,465,337",Finance,Sum,Suresh Kumar Walia,10-Oct-2019 12:12 PM,finance_44876.pdf,BOQ Comparative Chart,Technical,SUM,Suresh Kumar Walia,05-Oct-2019 12:34 PM,technical_44876.pdf,1.0,132489.0,Ashwani Sood,27-Sep-2019 07:54 AM,Rejected-AOC,Lowest 4,12-May-2020 12:07 PM,AOC,"5,000",EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,No,06-Sep-2019 05:00 PM,28-Sep-2019 11:30 AM,06-Sep-2019 05:00 PM,27-Sep-2019 05:00 PM,NA ,NA ,06-Sep-2019 05:00 PM,27-Sep-2019 05:00 PM,05-Oct-2019 12:40 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,"5,00,000",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,PWD,PWD CIVIL-7321-40-TANDA,2019_PWD_31174_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"C/O of new 120 Nos Girls Hostel at Dr RPGMC Tanda (HP) (SH C/O Civil work including water supply and sanitary Installation ,Rain water Harvesting System, Septic tank and protection work etc.).","C/O of new 120 Nos Girls Hostel at Dr RPGMC Tanda (HP) (SH C/O Civil work including water supply and sanitary Installation ,Rain water Harvesting System, Septic tank and protection work etc.).",Please refer Tender documents. ,NA ,"5,11,84,921",Civil Works - Buildings,NA ,Tender,120.0,730.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,132561.0,Kumar,27-Sep-2019 12:40 PM,Rejected-AOC,Lowest 2,12-May-2020 12:07 PM,AOC,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,132320.0,M/s Surindera Traders,27-Sep-2019 03:20 PM,Accepted-AOC,Lowest 1,12-May-2020 12:07 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,132617.0,PARAS SOOD,27-Sep-2019 04:55 PM,Rejected-AOC,Lowest 5,12-May-2020 12:07 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,132355.0,Ravi Kumar,25-Sep-2019 08:21 PM,Rejected-AOC,Lowest 3,12-May-2020 12:07 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,132421.0,Ujjawal Singh,26-Sep-2019 04:20 PM,Rejected-Technical,Original document not submitted,05-Oct-2019 12:37 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Undertaking that contractor has not more than 2 works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative orking in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
