Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
24-Feb-2020 03:00 PM,06-Mar-2020 11:30 AM,24-Feb-2020 03:00 PM,05-Mar-2020 05:00 PM,NA ,NA ,24-Feb-2020 03:00 PM,05-Mar-2020 05:00 PM,21-Mar-2020 03:00 PM,Periodic maintenance of Daulatpur Sunhi Sarotari Kandi road Km 0/000 to 33/100 under Annual Maintenance Plan for the year 2020-21 (HP0408VR0004) in Distt. Kangra(H.P.),"Providing and laying 30mm thick bitumen concrete with paver finisher complete in Km 23/000 to 24/000, 27/000 to 28/000 and 32/000 to 33/000",Please refer Tender documents. ,NA ,"25,55,481",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,DD - Demand Draft,"17,100",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,PWD,PWD Civil Work -7521-40-Tanda,2020_PWD_35412_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,"1,500",Executive Engineer HP PWD Tanda,Kangra,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,AOC,1.0,152153.0,Navneet Thakur,03-Mar-2020 10:19 AM,Rejected-AOC,Lowest 3,19-May-2020 03:36 PM,Technical,Sum,Suresh Kumar Walia,17-Mar-2020 05:28 PM,technical_52043.pdf,Finance,Sum,Suresh Kumar Walia,19-May-2020 02:33 PM,finance_52043.pdf,BOQ Comparative Chart,1.0,152668.0,VP SHARMA,INR,"2,912,679",PWD,2020_PWD_35412_6,PWD Civil Work -7521-40-Tanda,Periodic maintenance of Daulatpur Sunhi Sarotari Kandi road Km 0/000 to 33/100 under Annual Maintenance Plan for the year 2020-21 (HP0408VR0004) in Distt. Kangra(H.P.),Dr Suresh Kumar walia,Internal,Er Ankit AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,17-Mar-2020 05:31 PM,21-Mar-2020 03:00 PM,techsummary_52043.pdf (569.79 KB),Dr Suresh Kumar walia,Internal,ErAnkit AE Ajit Kumar Supdt Gr II Suraj Parkash DAO,Suresh Kumar Walia,19-May-2020 02:35 PM,finsummary_52043.pdf (195.95 KB),19-May-2020,"INR 2,555,481",90.0,Suresh Kumar Walia,19-May-2020 03:36 PM,Award.pdf (476.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,AOC,2.0,152813.0,pritam singh thkur,05-Mar-2020 01:47 PM,Rejected-AOC,Lowest 2,19-May-2020 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,AOC,3.0,152868.0,Rohit,05-Mar-2020 03:48 PM,Rejected-Technical,Not Fulfill criteria,17-Mar-2020 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,4.0,152668.0,VP SHARMA,04-Mar-2020 09:51 PM,Accepted-AOC,Lowest 1,19-May-2020 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
