Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Sum,Suresh Kumar Walia,17-Mar-2020 04:33 PM,technical_52029.pdf,1.0,152137.0,Navneet Thakur,03-Mar-2020 09:03 AM,Accepted-AOC,Lowest 1,27-May-2020 12:56 PM,1.0,152137.0,Navneet Thakur,INR,"2,059,512",Finance,Sum,Suresh Kumar Walia,19-May-2020 02:15 PM,finance_52029.pdf,BOQ Comparative Chart,Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO,Suresh Kumar Walia,19-May-2020 02:19 PM,finsummary_52029.pdf (193.79 KB),26-May-2020,"INR 1,899,833",90.0,Suresh Kumar Walia,27-May-2020 12:56 PM,Award.pdf (366.00 KB),Award,PWD,2020_PWD_35412_1,PWD Civil Work -7521-40-Tanda,Periodic maintenance of Baldhar to Jassor road Km 0/000 to 4/000 under Annual Maintenance Plan for the year 2020-21 PMGSY (HP0408VR055) in Distt. Kangra(H.P.),Dr Suresh Kumar walia,Internal,Er JN Sharma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,17-Mar-2020 04:34 PM,21-Mar-2020 03:00 PM,techsummary_52029.pdf (812.45 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,1.0,DD - Demand Draft,Periodic maintenance of Baldhar to Jassor road Km 0/000 to 4/000 under Annual Maintenance Plan for the year 2020-21 PMGSY (HP0408VR055) in Distt. Kangra(H.P.),Providing and laying 30mm thick bitumen concrete with paver finisher complete in Km 0/000 to 2/000,Please refer Tender documents. ,NA ,"18,99,833",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,500.0,Executive Engineer HP PWD Tanda,Kangra,No,24-Feb-2020 03:00 PM,06-Mar-2020 11:30 AM,24-Feb-2020 03:00 PM,05-Mar-2020 05:00 PM,NA ,NA ,24-Feb-2020 03:00 PM,05-Mar-2020 05:00 PM,21-Mar-2020 03:00 PM,"36,000",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,PWD,PWD Civil Work -7521-40-Tanda,2020_PWD_35412_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,2.0,152732.0,pritam singh thkur,05-Mar-2020 11:27 AM,Rejected-AOC,Lowest 3,27-May-2020 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money in shape of FDR as per SBD,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,152808.0,Rohit,05-Mar-2020 01:49 PM,Rejected-Technical,Not Fulfill criteria,17-Mar-2020 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,152904.0,Ujjawal Singh,05-Mar-2020 03:51 PM,Rejected-Technical,Not Fulfill criteria,17-Mar-2020 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,152650.0,VP SHARMA,04-Mar-2020 09:04 PM,Rejected-AOC,Lowest 2,27-May-2020 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
