Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
20-Mar-2020,"INR 751,872",90.0,Vijay Kumar Aggarwal,02-May-2020 11:59 AM,AOC_35265_8.pdf (496.00 KB),Awarded to Sh. Pushpender Singh,VIJAY KUMAR AGGARWAL,Internal,SUTD DAO HDM,Vijay Kumar Aggarwal,03-Mar-2020 11:26 AM,finsummary_51727.pdf (606.72 KB),VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,02-Mar-2020 12:06 PM,02-Mar-2020 02:30 PM,techsummary_51727.pdf (947.76 KB),PWD,2020_PWD_35265_8,NAHAN-11834-60,Strengthening of Trilokpur Kala-Amb Road Km 0/0 to 22/0,Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,03-Mar-2020 10:56 AM,finance_51727.pdf,BOQ Comparative Chart,1.0,151100.0,pushpender,INR,"919,655",Technical,TECHNICAL SUMMARY,Niteesh Sharma,26-Feb-2020 01:26 PM,technical_51727.pdf,1,151014,ANIL KUMAR,26-Feb-2020 09:42 AM,Rejected-Technical,does not meet the qualification criteria,02-Mar-2020 12:06 PM,AOC,Strengthening of Trilokpur Kala-Amb Road Km 0/0 to 22/0,"P/L 100mm Thick M-50 Grade CC Interlocking Paver at Main Gate of Mata Bala Sundri Temple, Trilokpur, RD 0/670 to 0/740",As Per Bidding Document ,NA ,"7,51,872",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,1.0,BOQ CORRIGENDUM,Other,,"15,500",No,fixed,,EE Nahan,Nahan,Executive Engineer,"Executive Engineer, HPPWD Division Nahan",350.0,EE Nahan,Nahan,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER (INDICATED IN SCHEDULE F),19-Feb-2020 05:00 PM,26-Feb-2020 11:00 AM,19-Feb-2020 05:00 PM,26-Feb-2020 10:00 AM,NA ,NA ,19-Feb-2020 05:00 PM,26-Feb-2020 10:00 AM,02-Mar-2020 02:30 PM,PWD,NAHAN-11834-60,2020_PWD_35265_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,151094,Ashwani kumar,26-Feb-2020 07:39 AM,Rejected-Technical,did not submit the documents physically,02-Mar-2020 12:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EARNEST MONEY (INDICATED IN SCHEDULE F),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,150768,BALBIR SINGH,26-Feb-2020 06:46 AM,Rejected-AOC,L2,02-May-2020 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION (GENERAL RULES NO. 23),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,150700,Bhupender Chauhan,26-Feb-2020 06:56 AM,Rejected-AOC,L10,02-May-2020 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION (GENERAL RULE NO. 21),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,151043,DINESH KUMAR GUPTA,26-Feb-2020 08:47 AM,Rejected-AOC,L4,02-May-2020 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATE AND WORK IN HAND CERTIFICATE (IF APPLICABLE AS PER PAGE No. 2 OF SBD),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,151041,ISHAN AGGARWAL,25-Feb-2020 10:59 PM,Rejected-Technical,does not meet the qualification criteria,02-Mar-2020 12:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY (GENERAL RULE NO. 26.6),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,150894,kuldeep singh,25-Feb-2020 01:55 PM,Rejected-AOC,L9,02-May-2020 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING OR BIDDING CAPACITY/C.A. ANNUAL REPORT (WHICHEVER IS APPLICABLE AS PER PAGE No. 2 OF SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,150857,Mahipat Solanki,25-Feb-2020 04:07 PM,Rejected-AOC,L8,02-May-2020 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY OTHER INFORMATION AS PER GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,151078,Naveen Chauhan,26-Feb-2020 05:33 AM,Rejected-Technical,did not submit the documents physically,02-Mar-2020 12:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,150918,Pratap Singh,25-Feb-2020 03:06 PM,Rejected-AOC,L7,02-May-2020 11:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
