Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Engineer,IPH DIVISION CHAUNTRA,"2,500",EE Chauntra,Chauntra,No,1.0,Fee,.pdf,Tender Form Cost,"21,82,300",No,fixed,,EE Chauntra,Chauntra,21-Aug-2019 06:55 PM,01-Oct-2019 11:30 AM,22-Aug-2019 10:00 AM,30-Sep-2019 05:00 PM,NA ,NA ,22-Aug-2019 10:00 AM,30-Sep-2019 05:00 PM,07-Nov-2019 11:00 AM,1.0,ICICI BANK,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP",3268-3318 dt. 21.08.2019,2019_HPIPH_31010_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Both(Online/Offline),No,No,No,"Providing Lift Water Supply Scheme to Habitations of GP Main Bharola, Balh, Chalarag, Kathaun, Bag, Ropari,Daled, Pihr Bhedlu etc of Drang Chauntra Block in Tehsil Joginder NagarDistt Mandi H.P. with house hold connection.SH Co 1 No. water treatme","Providing Lift Water Supply Scheme to Habitations of GP Main Bharola, Balh, Chalarag, Kathaun, Bag, Ropari,Daled, Pihr Bhedlu etc of Drang Chauntra Block in Tehsil Joginder NagarDistt Mandi H.P. with house hold connection.SH Co 1 No. water treatme",Please refer Tender documents. ,NA ,"21,49,75,615",Civil Works,NA ,Tender,60.0,180.0,IPH DIVISION Chauntra,175032.0,MANDI ,O/o Chief Engineer (MZ) IPH Department Mandi ,31-Aug-2019 12:30 PM ,IPH Division Chauntra,No ,No,1.0,Extension of Time,Date,,AOC,Finance,Two No. bidder BOQ and comparative chart downloaded successfully.,Rajesh Mongra,11-Dec-2019 03:54 PM,finance_44660.pdf,BOQ Comparative Chart,Technical,Both the bidder are eligible to open the financial bid,Rajesh Mongra,06-Nov-2019 10:42 AM,technical_44660.pdf,28-May-2020,"INR 214,975,615",180.0,Rajesh Mongra,28-May-2020 01:05 PM,Award.pdf (808.00 KB),Estimated value of Tender,Er Naveen Puru ENC,Internal,Er. R.K. Verma CE Er. R.K Mahjan CE Er. Upender Vaidya SE Er. Anil Mehta Sh. K.R. Negi FA Er. Basant Rathour Er. Rajesh Mongra EE,Rajesh Mongra,06-Nov-2019 10:47 AM,07-Nov-2019 11:00 AM,techsummary_44660.pdf (2261.03 KB),1.0,129604.0,HARJEET SINGH,26-Sep-2019 08:24 PM,Accepted-AOC,Lowest Bidder,28-May-2020 01:05 PM,Er. Naveen Puri ENC,Internal,Er. R.K Mahajan CE MZ Er. R.K. Verma CE DM Er. Upender Vaidya SE Er. Anil Mehta SE Sh. K.R. Negi Joint Controller Er. Basant Rathour EED Er. Rajesh Mongra EE,Rajesh Mongra,28-May-2020 01:02 PM,finsummary_44660.pdf (1003.17 KB),1.0,129604.0,HARJEET SINGH,INR,"288,810,284","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP",2019_HPIPH_31010_1,3268-3318 dt. 21.08.2019,"Providing Lift Water Supply Scheme to Habitations of GP Main Bharola, Balh, Chalarag, Kathaun, Bag, Ropari,Daled, Pihr Bhedlu etc of Drang Chauntra Block in Tehsil Joginder NagarDistt Mandi H.P. with house hold connection.SH Co 1 No. water treatme",AOC
,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Site plan,Other,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130242.0,Unipro Techno Infrastructure Pvt Ltd,30-Sep-2019 11:03 AM,Rejected-Finance,Other then Lowest,28-May-2020 01:02 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Copy of Registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"Copy of EPF, GST and PAN No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Annual Financial Turn over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,work done certificate as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,DSC authorization letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Undertaking as per Chapter IV of form-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Bid Capacity as per form6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,PreQual/Technical,.pdf,Scan copy of Technical Bid as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
