Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Tender Stage
ER.A.K.SONI,Internal,Sh.R.S.Thakur.Sh.Kamlesh Mehta.Sh.Naresh Kumar,Ajay Kumar Soni,13-May-2020 03:27 PM,finsummary_53413.pdf (213.95 KB),26-May-2020,"INR 4,257,300",30.0,Ajay Kumar Soni,27-May-2020 01:34 PM,36226-1.pdf (513.00 KB),AOC,PWD,2020_PWD_36226_1,SD-III-CB-TENDER/2019-20-30997 dated 09-03-2020,Upgradation of O.T. No. 3 and 4 to Modular operation theater with HVAC by providing Puff paneling etc. in IGMC Shimla. (SH- Balance Work of providing and fixing hermitically sealed sliding door in all O.Ts in IGMC Shimla.),ER.A.K.SONI,Internal,Sh.R.S.Thakur.Sh.Kamlesh Mehta.Sh.NareshKumar,Ajay Kumar Soni,13-May-2020 12:42 PM,13-May-2020 01:00 PM,techsummary_53413.pdf (247.86 KB),Technical,Bid opening summary,Ajay Kumar Soni,04-May-2020 04:26 PM,technical_53413.pdf,1.0,156333.0,Kamal Gangta Contractor,23-Mar-2020 03:47 PM,Accepted-AOC,L1,27-May-2020 01:34 PM,Finance,Bid opening summary,Ajay Kumar Soni,13-May-2020 03:26 PM,finance_53413.pdf,BOQ Comparative Chart,1.0,156333.0,Kamal Gangta Contractor,INR,"5,667,000",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3),"2,000","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,"71,400",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,Upgradation of O.T. No. 3 and 4 to Modular operation theater with HVAC by providing Puff paneling etc. in IGMC Shimla. (SH- Balance Work of providing and fixing hermitically sealed sliding door in all O.Ts in IGMC Shimla.),Upgradation of O.T. No. 3 and 4 to Modular operation theater with HVAC by providing Puff paneling etc. in IGMC Shimla. (SH- Balance Work of providing and fixing hermitically sealed sliding door in all O.Ts in IGMC Shimla.),As per bidding documents ,NA ,"42,57,300",Civil Works,NA ,Tender,120.0,30.0,IGMC Shimla,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,PWD,SD-III-CB-TENDER/2019-20-30997 dated 09-03-2020,2020_PWD_36226_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,19-Mar-2020 05:00 PM,03-Apr-2020 11:00 AM,19-Mar-2020 05:00 PM,01-Apr-2020 05:00 PM,NA ,NA ,19-Mar-2020 05:00 PM,01-Apr-2020 05:00 PM,13-May-2020 01:00 PM,1.0,DD - Demand Draft,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156352.0,Om Parkash Sharma,23-Mar-2020 04:03 PM,Rejected-AOC,L2,27-May-2020 01:34 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money as per schedule F (6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration as per General Rule No 21. Copy of GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Sales tax registration as per General Rule No 21 (in H.P.) Copy of Tin No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
