Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Periodic maintenance of Lilly Mangwal road under Annual Maintenance Plan for the year 2020-21 (HP0408NC010114201) in Distt. Kangra(H.P.),Providing and laying 30mm thick bitumen concrete with paver finisher complete in Km 0/000 to1/000,Please refer Tender documents. ,NA ,"8,64,773",Civil Works - Roads,NA ,Tender,120.0,90.0,TANDA,176002.0,NA ,NA ,NA ,HP PWD DivisionTanda at Nagrota bagwan,No ,No,1.0,DD - Demand Draft,350.0,EE HPWD Tanda at Nagrota Bagwan,Kangra,No,PWD,NIT 84-100,2020_PWD_36703_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,22-Apr-2020 06:35 PM,06-May-2020 11:00 AM,22-Apr-2020 06:35 PM,05-May-2020 05:00 PM,NA ,NA ,22-Apr-2020 06:35 PM,05-May-2020 05:00 PM,15-May-2020 12:30 PM,Executive Engineer,HP PWD DivisionTanda at Nagrota bagwan,"17,300",No,fixed,,EE HPWD Tanda at Nagrota Bagwan,Nagrota bagwan,AOC,1.0,157531.0,pritam singh thkur,04-May-2020 04:00 PM,Accepted-AOC,lowest 1,22-May-2020 11:50 AM,Technical,Sum,Suresh Kumar Walia,15-May-2020 12:04 PM,technical_54202.pdf,Finance,Sum,Suresh Kumar Walia,15-May-2020 01:18 PM,finance_54202.pdf,BOQ Comparative Chart,1.0,157531.0,pritam singh thkur,INR,"884,022",Dr Suresh Kumar walia,Internal,Ankit AE Suraj Parkash Sr DAO Ajit Kumar Supdt,Suresh Kumar Walia,15-May-2020 12:21 PM,15-May-2020 12:30 PM,techsummary_54202.pdf (698.97 KB),PWD,2020_PWD_36703_2,NIT 84-100,Periodic maintenance of Lilly Mangwal road under Annual Maintenance Plan for the year 2020-21 (HP0408NC010114201) in Distt. Kangra(H.P.),21-May-2020,"INR 864,773",90.0,Suresh Kumar Walia,22-May-2020 11:50 AM,Award.pdf (697.00 KB),Award,Dr Suresh Kumar walia,Internal,Er Ankit AE Ajit Kumar Supdt Gr II Suraj Parkash DAO,Suresh Kumar Walia,20-May-2020 01:04 PM,finsummary_54202.pdf (192.24 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,AOC,2.0,157666.0,VP SHARMA,05-May-2020 01:59 PM,Rejected-AOC,lowest 2,22-May-2020 11:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
