Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
VIJAY KUMAR AGGARWAL,Internal,SUTD HDM DAO,Vijay Kumar Aggarwal,16-Mar-2020 03:10 PM,finsummary_52761.pdf (290.75 KB),14-May-2020,"INR 1,825,519",180.0,Vijay Kumar Aggarwal,15-May-2020 12:31 PM,AOC_35893_2.pdf (478.00 KB),Awarded to Sh. Gurmeet Singh,PWD,2020_PWD_35893_2,NAHAN 12823-50,"C/o 1 No. Type-III Quarter of Horticulture Department at Nahan, District Sirmaur (HP)",VIJAY KUMAR AGGARWAL,Internal,SUTD DAO HDM,Vijay Kumar Aggarwal,16-Mar-2020 12:44 PM,16-Mar-2020 01:00 PM,techsummary_52761.pdf (1878.03 KB),1.0,153677.0,Gurmeet Singh,INR,"2,219,953",Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,16-Mar-2020 02:49 PM,finance_52761.pdf,BOQ Comparative Chart,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,11-Mar-2020 12:17 PM,technical_52761.pdf,1,153962,Amit Kumar,10-Mar-2020 05:29 PM,Rejected-AOC,L2,15-May-2020 12:31 PM,AOC,500.0,EE Nahan,Nahan,No,PWD,NAHAN 12823-50,2020_PWD_35893_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"35,000",No,fixed,,EE Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER (INDICATED IN SCHEDULE F),04-Mar-2020 05:00 PM,11-Mar-2020 11:00 AM,04-Mar-2020 05:00 PM,11-Mar-2020 10:00 AM,NA ,NA ,04-Mar-2020 05:00 PM,11-Mar-2020 10:00 AM,16-Mar-2020 01:00 PM,"C/o 1 No. Type-III Quarter of Horticulture Department at Nahan, District Sirmaur (HP)","C/o Building Portion, Providing Water Supply and Sanitary Installation, C/o Septic Tank with Soak Pit and Rain Water Harvesting Tank",As Per Bidding Document ,NA ,"18,25,519",Civil Works - Buildings,NA ,Tender,120.0,180.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,Executive Engineer,Executive Engineer HPPWD Division Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,153520,Amit Kumar Contractor,08-Mar-2020 12:52 PM,Rejected-Technical,does not meet the qualification criteria,16-Mar-2020 12:44 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,EARNEST MONEY (INDICATED IN SCHEDULE F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,153902,BALDEV SINGH CHAUHAN,10-Mar-2020 12:51 PM,Rejected-Technical,does not meet the qualification criteria,16-Mar-2020 12:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION (GENERAL RULES NO. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,153764,Dhanvir Singh,09-Mar-2020 06:38 PM,Rejected-AOC,L8,15-May-2020 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION (GENERAL RULE NO. 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,153747,Gian Singh Chauhan,10-Mar-2020 11:24 AM,Rejected-Technical,does not meet the qualification criteria,16-Mar-2020 12:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY (GENERAL RULE NO. 26.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,153677,Gurmeet Singh,09-Mar-2020 02:40 PM,Accepted-AOC,L1,15-May-2020 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING (GENERAL RULE NO. 28.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,153928,KAPIL CHAUHAN,10-Mar-2020 03:16 PM,Rejected-AOC,L9,15-May-2020 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,153888,kuldeep singh,11-Mar-2020 09:43 AM,Rejected-Technical,did not submit the documents physically,16-Mar-2020 12:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,153785,MANISH CHAUHAN,09-Mar-2020 07:41 PM,Rejected-Technical,did not submit the documents physically,16-Mar-2020 12:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,153701,Pratap Singh,10-Mar-2020 11:39 AM,Rejected-AOC,L5,15-May-2020 12:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
