Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Technical,Sum,Suresh Kumar Walia,15-May-2020 11:45 AM,technical_54204.pdf,1.0,157534.0,pritam singh thkur,04-May-2020 04:21 PM,Accepted-AOC,l1,19-May-2020 03:32 PM,Finance,Sum,Suresh Kumar Walia,15-May-2020 02:15 PM,finance_54204.pdf,BOQ Comparative Chart,1.0,157534.0,pritam singh thkur,INR,"1,325,779.6",19-May-2020,"INR 1,297,158",90.0,Suresh Kumar Walia,19-May-2020 03:32 PM,Award.pdf (588.00 KB),Award,Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO,Suresh Kumar Walia,15-May-2020 02:27 PM,finsummary_54204.pdf (192.91 KB),Dr Suresh Kumar walia,Internal,JN Sharma AE Suraj Parkash Sr DAO Ajit Kumar Supdt,Suresh Kumar Walia,15-May-2020 11:47 AM,15-May-2020 12:10 PM,techsummary_54204.pdf (710.52 KB),PWD,2020_PWD_36703_4,NIT 84-100,Periodic maintenance of Kufri Patialkar Khas Thana Chhinwar Rounkhar road Km 0/000 to 4/800 under Annual Maintenance Plan for the year 2020-21 in Distt. Kangra(H.P.),AOC,500.0,EE HPWD Tanda at Nagrota Bagwan,Kangra,No,Periodic maintenance of Kufri Patialkar Khas Thana Chhinwar Rounkhar road Km 0/000 to 4/800 under Annual Maintenance Plan for the year 2020-21 in Distt. Kangra(H.P.),Providing and laying 30mm thick bitumen concrete with paver finisher complete in Km 2/000 to 3/500,Please refer Tender documents. ,NA ,"12,97,158",Civil Works - Roads,NA ,Tender,120.0,90.0,TANDA,176056.0,NA ,NA ,NA ,HP PWD DivisionTanda at Nagrota bagwan,No ,No,22-Apr-2020 06:55 PM,06-May-2020 11:00 AM,22-Apr-2020 06:55 PM,05-May-2020 05:00 PM,NA ,NA ,22-Apr-2020 06:55 PM,05-May-2020 05:00 PM,15-May-2020 12:10 PM,1.0,DD - Demand Draft,PWD,NIT 84-100,2020_PWD_36703_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"26,000",Yes,fixed,,EE HPWD Tanda at Nagrota Bagwan,Nagrota bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,Executive Engineer,HP PWD DivisionTanda at Nagrota bagwan,AOC
,,,,,2.0,157673.0,VP SHARMA,05-May-2020 02:24 PM,Rejected-AOC,L2,19-May-2020 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
