S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,PWD,No.PWC-WA-Contt.14635-734 dated 8.1.2020,2020_PWD_33995_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,Annual Maintenance of Luddu Gharmani road Km. 4/500 to 5/0 and 5/0 to 6/0 Providing and Laying Bitumenous Concrete,Annual Maintenance of Luddu Gharmani road Km. 4/500 to 5/0 and 5/0 to 6/0 Providing and Laying Bitumenous Concrete,Please refer Tender documents. ,NA ,"14,33,932",Civil Works,NA ,Tender,90.0,60.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer,Chamba Division HPPWD.,Chamba",No ,No,"28,700",No,fixed,,"Executive Engineer,Chamba Division HPPWD.,Chamba","Executive Engineer,Chamba Division HPPWD.,Chamba",13-Jan-2020 10:00 AM,28-Jan-2020 11:30 AM,13-Jan-2020 10:00 AM,27-Jan-2020 05:00 PM,NA ,NA ,13-Jan-2020 10:00 AM,27-Jan-2020 05:00 PM,03-Feb-2020 11:30 AM,"Executive Engineer,Chamba Division HPPWD.,Chamba","Executive Engineer,Chamba Division HPPWD.,Chamba",500.0,"Executive Engineer,Chamba Division HPPWD.,Chamba","Executive Engineer,Chamba Division HPPWD.,Chamba",No,AOC,Finance,Bid opening Summary,Jeet Singh Thakur,25-May-2020 11:05 AM,finance_49239.pdf,BOQ Comparative Chart,1.0,146760.0,Des Raj and Co.,INR,"1,844,853",1.0,146760.0,Des Raj and Co.,27-Jan-2020 02:00 PM,Accepted-AOC,L1,25-May-2020 11:11 AM,Technical,Bid opening Summary,Jeet Singh Thakur,30-Jan-2020 06:51 PM,technical_49239.pdf,PWD,2020_PWD_33995_9,No.PWC-WA-Contt.14635-734 dated 8.1.2020,Annual Maintenance of Luddu Gharmani road Km. 4/500 to 5/0 and 5/0 to 6/0 Providing and Laying Bitumenous Concrete,EE,Internal,Senior Assistant Superintendent and Assistant,Jeet Singh Thakur,30-Jan-2020 07:26 PM,03-Feb-2020 11:30 AM,techsummary_49239.pdf (211.73 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,25-May-2020 11:08 AM,finsummary_49239.pdf (205.68 KB),25-May-2020,"INR 1,433,932",60.0,Jeet Singh Thakur,25-May-2020 11:11 AM,1.18186AOC.pdf (854.00 KB),Annual Maintenance of Luddu Gharmani road Km. 4/500 to 5/0 and 5/0 to 6/0 Providing and Laying Bitumenous Concrete,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,146563.0,sahab singh thakur,24-Jan-2020 09:54 PM,Rejected-AOC,L2,25-May-2020 11:11 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,"Own Hot Mix Plant, Paver Finisher and road Roller documentary proof .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
