,infrastructure damaged - road,District,Number,Details,Date
0,,Bajali,12,"Bajali - HuduKhata Naosali | Pachim Rihabari | This Rood Has Breached. Length 12 m. & Dep. 4m. This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Bamakhata Kenduguri Road, | Bamakhata Kenduguri Road, | Length 1km, This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Pathsala Station Road, | Pathsala | Length 50m, This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Birbira To Bamakhata Road | Bamakhata | Shoulders Damaged 500m. This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Dumuria Village Road | Dumuria | Shoulders damaged 150m , This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Patacharkuchi Achali Road | Patacharkuchi to Anchali | Length 3.89km, This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Nityananda Panbari Road | NItyananda panbari | Length 3.150Km , This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  NItyananda to Pathsala Road | Nityananda To Pathsala | Length 1.60km, This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Anandapur Ghelengpara Road | Anandapur | Length 1.25Km, This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Chaibari To rihabari Road | Rihabari | Length 1.1 Km, This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Uparnai To Uluwa Road | Uluwa | Length 3.75Km, This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000),  Tihu to Bangaon Road | Bangaon | Length 1800m. This Report is Received from AEE,PWD,Patacharkuchi TR Sub-Divission,Pathsala on 22/06/2022 | (Long - 0.000000, Lat - 0.000000)",23-06-2022
1,,Barpeta,2,"Barpeta - Madhulijar Purabharal Road | Madhulijar | Side berm eroded & Culvert Damage 10.00 m PWRD Barpeta DOO 17.06.2022 | (Long - 90.950277, Lat - 26.411631),  Howly Joypur Road | Howly | Side berm eroded & Culvert Damage 10.00 m PWRD Barpeta DOO 17.06.2022 | (Long - 90.004030, Lat - 26.453685)",23-06-2022
2,,Darrang,24,"Mangaldoi - Naharbari Road under PWRD | under Mangaldai Revenue Circle | as reported by Naharbari Road under PWRD is submerged under flood water and the length of submergence is 100 mtr. approx. Dated 22-6-2022 | (Long - 91.950000, Lat - 26.490000),  Outola Road under PWRD | under Mangaldai Revenue Circle | as reported by Outola Road under PWRD is submerged under flood water and the length of submergence is 300 mtr. approx. Dated 22-6-2022 | (Long - 91.960000, Lat - 26.480000),  Outola Naharbari Road under PWRD | under Mangaldai Revenue Circle | as reported by Outola Naharbari Road under PWRD is submerged under flood water and the length of submergence is 100 mtr. approx. Dated 22-6-2022 | (Long - 91.960000, Lat - 26.500000),  Outola Naharbari Road under PWRD | under Mangaldai Revenue Circle | as reported by Outola Naharbari Road is submerged under flood water and the length of submergence is 30 mtr. approx. Dated 22-6-2022 | (Long - 91.960000, Lat - 26.500000),  Outola Road to Motonga Ahaka Road under PWRD | under Mangaldai Revenue Circle | as reported by Outola Road to Motonga Ahaka Road is submerged under flood water and the length of submergence is 300 mtr. approx. Dated 22-6-2022 | (Long - 91.960000, Lat - 26.490000),  Naharbari Road under PWRD | under Mangaldai Revenue Circle | as reported by Naharbari Road to Motonga Ahaka Road is submerged under flood water and the length of submergence is 200 mtr. approx. Dated 22-6-2022 | (Long - 91.960000, Lat - 26.480000),  Culvert Damage at M.B Road Ch: 10.00 km under PWRD | under Mangaldai Revenue Circle | as reported by Culvert Damage at M.B Road Ch: 10.00 km is submerged under flood water and the length of submergence is 20 mtr. approx. Dated 22-6-2022 | (Long - 91.000000, Lat - 26.000000),  AS-16-72 NH-15 to Monitary PMGSY Road under PWRD | under Mangaldai Revenue Circle | as reported by Culvert Damage at M.B Road Ch: 10.00 km is submerged under flood water and the length of submergence is 300 mtr. approx. Dated 22-6-2022 | (Long - 91.000000, Lat - 26.000000),  AS-16-147 Choto Athiyabari to Bordolguri Borochuba PMGSY Road under PWRD | under Mangaldai Revenue Circle | as reported by AS-16-147 Choto Athiyabari to Bordolguri Borochuba PMGSY Road is submerged under flood water and the length of submergence is 400 mtr. approx. Dated 22-6-2022 | (Long - 91.920000, Lat - 26.410000),  AS-16-191 Harinkhuja to RK Road PMGSY Road under PWRD | under Mangaldai Revenue Circle | as reported by AS-16-191 Harinkhuja to RK Road PMGSY Road is submerged under flood water and the length of submergence is 700 mtr. approx. Dated 22-6-2022 | (Long - 91.000000, Lat - 26.000000),  AS-16-99 Mangalbesa Road PMGSY Road under PWRD | under Mangaldai Revenue Circle | as reported by AS-16-99 Mangalbesa Road PMGSY Road is submerged under flood water and the length of submergence is 600 mtr. approx. Dated 22-6-2022 | (Long - 91.000000, Lat - 26.000000),  Dalgaon - 1. Dharanipur to Shyampur No.4 PMGSY road | Dharanipur to Shyampur No.4 PMGSY road has been submerged and damaged at CH. 2850 M to 2980 M on 20/06/2022 | | (Long - 26.532307, Lat - 92.163290),  2. No.-3 Galandikash to Morabega road | No.-3 Galandikash to Morabega road Br. No-1/1 on the river Angsha has been washed away as on 20/06/2022 | | (Long - 26.574323, Lat - 92.106079),  3. Dalgaon –Kuwaripukhuri Road | Dalgaon –Kuwaripukhuri Road has been breached occurred at CH. 6330 M to 6345 M as on 20/06/2022 | | (Long - 26.562847, Lat - 92.137220),  4. Madhupur to Borghulee road | Madhupur to Borghulee road has been rain cut at CH. 0 to 15 M as on 20/06/2022 | | (Long - 26.653686, Lat - 92.175881),  5. Rangagorapathar to Ghiladhari road | Rangagorapathar to Ghiladhari road has been submerged at CH.772 M SHPC No.1/1 fully eroded at CH. 6500 breached as on 18-06-2022 | | (Long - 0.000000, Lat - 0.000000),  6. Nagajan to Bhutpukhuri road | Nagajan to Bhutpukhuri road has been breached at approaches of the slab culvert at CH. 1020 as on 18-06-2022 | | (Long - 0.000000, Lat - 0.000000),  7. Borkur to Shyampur road | Borkur to Shyampur road has been submerged about height of 0.45m as on 18-06-2022 | | (Long - 0.000000, Lat - 0.000000),  Dalgaon to Dhupguri Road | Improvement and up gradation of road from Dalgaon to Dhupguri via Dev pukhuri under Asom Mala has been eroded at CH. 700 km as on 18-06-2022 | | (Long - 0.000000, Lat - 0.000000),  9. Kachomari Char to Badlichar road | Kachomari Char to Badlichar road submerged about height 0.4 m as on 18-06-2022 | | (Long - 0.000000, Lat - 0.000000),  10. Kachomari Chapori habi to NH 52 road | Kachomari Chapori habi to NH 52 road has been submerged as on 18-06-2022 | | (Long - 0.000000, Lat - 0.000000),  11. Rowmari Chapori to Kachomari Chapori PMGSY road | Rowmari Chapori to Kachomari Chapori PMGSY road has been submerged about height of .45m as on 18-06-2022 | | (Long - 0.000000, Lat - 0.000000),  Patharighat - Roinakuchi LP school to Athkuria LP school road PWD road | Roinakuchi LP school to Athkuria LP school road | Breach 20 mt length on Roinakuchi LP school to Athkuria LP school as reported by JE on 23.6.2022 | (Long - 91.899235, Lat - 26.444089),  MPK road | Tujukpara | Breach and CD damaged 20 mt length on MPK road to Tujukpara as reported by JE on 23.6.2022 | (Long - 91.895586, Lat - 26.446523)",23-06-2022
3,,Dhemaji,1,"Sissiborgaon - PWD road Jonai link road to NH52 via Kalyankendra Road, | At Ch 450.00 M to Ch 490.00 M | Damaged the road embankment partially, damaged side shoulder, hard crust along with BT surface, Around length 40 mts on 22-06-2022 | (Long - 94.731321, Lat - 27.585447)",23-06-2022
4,,Dhubri,40,"Bilasipara - SALKOCHA BHELUPARA ROAD (.)PMGSY PACKAGE NO. AS-05-114 DAMAGE APPROACHES OF HPC NO. 1/1 & SIDE BERM DUE TO HIGH RISE FLOOD WATER OF RIVER GAURANG | SALKOCHA BHELUPARA ROAD | ROADS HAVE BEEN AFFECTED BY THE FLOOD WATER W.E.F. 13/06/2022 TO 18/06/2022 | (Long - 90.332578, Lat - 26.228025),  NH-31 TO BAGULAURA ROAD(.) FORMATION DAMAGES IN STRECHES & EXISTING CULVERT DAMAGED DUE TO HIGH FLOOD WATER OF RIVER GAURANG | NH-31 TO BAGULAURA ROAD | ROADS HAVE BEEN AFFECTED BY THE FLOOD WATER W.E.F. 13/06/2022 TO 18/06/2022 | (Long - 90.293722, Lat - 26.216275),  BILASIPARA HAKAMA ROAD TO BARUARJHAR VILLAGE ROAD(,) SIDE BERM ERRODED DUE TO HIGH RISE FLOOD WATER OF RIVER GAURANG | BILASIPARA HAKAMA ROAD TO BARUARJHAR VILLAGE ROAD | ROADS HAVE BEEN AFFECTED BY THE FLOOD WATER W.E.F. 13/06/2022 TO 18/06/2022 | (Long - 90.263126, Lat - 26.243861),  NH-31 AT SURJYAKHATA TO HAUDERTARY ROAD(,) (PMGSY PACKAGE NO. AS-05-55) SIDE BERM DAMAGES DUE TO HIGH RISE FLOOD WATER OF DIPO RIVER | NH-31 AT SURJYAKHATA TO HAUDERTARY ROAD | ROADS HAVE BEEN AFFECTED BY THE FLOOD WATER W.E.F. 13/06/2022 TO 18/06/2022 | (Long - 90.223965, Lat - 26.259173),  EXTENSION OF KAJAIKATA HIGH SCHOOL TO ASKARIGHATROAD(,) APPROACHES OF",23-06-2022
5,,,,"BOXCELL NO. ½ DAMAGES & SIDE BERM ERRODED DUE TO HIGH RISE FLOOD WATER OF RIVER GAURANG | EXTENSION OF KAJAIKATA HIGH SCHOOL TO ASKARIGHATROAD | ROADS HAVE BEEN AFFECTED BY THE FLOOD WATER W.E.F. 13/06/2022 TO 18/06/2022 | (Long - 90.198980, Lat - 26.183278),  UDMARI SALKOCHA ROAD (.)PMGSY PACKAGE NO. AS-05-209 DAMAGE APPROACHES OF RCC NO. 2/1 DUE TO HIGH RISE FLOOD WATER OF RIVER BRAHMAPUTRA | UDMARI SALKOCHA ROAD | ROADS HAVE BEEN AFFECTED BY THE FLOOD WATER W.E.F. 13/06/2022 TO 18/06/2022 | (Long - 90.337631, Lat - 26.238244),  MAYERCHAR PT-I (GHUNIMARI) VILLAGE ROAD (.)WASHED AWAY AT CH. 70.00 M, 200.00 M & 290.00 M DUE TO HIGH RISE FLOOD WATER OF RIVER BRAHMAPUTRA | MAYERCHAR PT-I (GHUNIMARI) VILLAGE ROAD | ROADS HAVE BEEN AFFECTED BY THE FLOOD WATER W.E.F. 13/06/2022 TO 18/06/2022 | (Long - 90.226997, Lat - 26.148657),  Dhubri - SIDE BERM AND SID SLOPES DAMAGED AT 1ST KM, 2ND KM & 3RD KM IN STRETCHES ON KACHUARKHASH PT-II (DB ROAD NEA CHANDAKHOLA BRIDGE) TO KACHUARKHASH PT-I | KACHUARKHASH | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  ROAD FORMATION DAMAGED AT 1ST KM ON DURAHATI TISTARPAR ROAD TO DURAHATI BUND CUM ROAD | DURAHATI TISTARPAR | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SID EBERM AND SIDE SLOPES DAMAGED AT 1ST KM IN STRETCHES ON VELAKOBA DURAHATI PWD ROAD TO NAMAGAON ROAD | VELAKOBA DURAHATI | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SID EBERM AND SIDE SLOPES DAMAGED AT 1ST & ND KM IN STRETCHES ON PATAMARI BSF CAMP TO PATAMARI BAZAR | PATAMARI | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPES DAMAGED AT 1ST KM IN STRETCHES ON KISMATHASDAHA SILGHAGRI ROAD TO DHARMASALA MARKET | KISMATHASDAHA SILGHAGRI ROAD TO DHARMASALA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  ROAD FORMATION AND SIDE BERM DAMAGED AT 1ST & 2ND KM IN STRETCHES ON HARIALI ROAD TO BALADOBA PT-II ROAD | BALADOBA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPE DAMAGED AT 1ST KM IN STRETCHES ON KISMATHASDAHA PT-I TO KACHUARKHASR PT—II ROAD | KISMATHASDAHA PT-I TO KACHUARKHASR PT—II | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPES DAMAGED AT 1ST KM IN STRETCHES ON DHUBRI BINNACHARA PWD ROAD TO CHAUDHURYPARA ROAD | BINNACHARA PWD ROAD TO CHAUDHURYPARA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPES DAMAGED AT 1ST & 2ND KM IN STRETCHES ON KISMATHASDAHA PT-IV TO DB ROAD | KISMATHASDAHA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPES DAMAGED AT 1ST KM IN STRETCHES ON TISTARPAR BOP ROAD TO TISTARPAR PT-I ROAD | TISTARPAR | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPES DAMAGED AT 1ST KM IN STRETCHES ON DHUBRI BINNACHARA ROAD TO ALIRGAON LP SCHOOL | DHUBRI BINNACHARA ROAD TO ALIRGAON | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  ROAD FORMATION DMAGED AND SUBMERGED AT 1ST & 2ND KM ON VELAKOBA DURAHATI PWD ROAD TO SINGIMARI PART-II ROAD IN STRETCHES | VELAKOBA DURAHATI PWD ROAD TO SINGIMARI PART-II | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPE DAMAGED AT 1ST KM OF MOTIRCHAR DHARMASALA ROAD IN STRETCHES | MOTIRCHAR DHARMASALA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM AND SIDE SLOPES DAMAGED AT 1ST KM IN STRETCHES OF I.G. ROAD | I.G. ROAD DHUBRI | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  ROAD FORMATION DAMAGED AT 3RD TO 5TH & 7TH TO 8TH KM IN STRETCHES OF DHUBRI GAURIPUR ROAD | DHUBRI GAURIPUR ROAD | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  ROAD FORMATION SUBMERGED AND DAMAGED FROM CH. 400.00 M TO CH. 600.00 M IN STRETCHES OF GHEWMARI BSF CAMP TO IBB FENCHING ROAD | GHEWMARI BSF CAMP TO IBB FENCHING ROAD | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE SLOPE AND SIDE BERM DAMAGED AT 1ST KM IN STRETCHES OF GASPARA BAZAR TO PANCHAYAT OFFICE ROAD | GASPARA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM & SIDE SLOPES DAMAGD AT 1ST KM ON MOULANI BHASANI ROAD | BHASANI | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),",23-06-2022
6,,,,"SIDE BERM & SIDE SLOPES DAMAGED AT 1ST & 2ND KM ON KACHARIHATI DURAHATI PWD ROAD TO BHELAKOWA SC PARA ROAD | KACHARIHATI DURAHATI PWD ROAD TO BHELAKOWA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM & SIDE SLOPES DAMAGED AT 1ST KM ON CHAR DURAHATI MASZID ROAD | DURAHATI | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM & CULVERT APPROCHES DAMAGED ON MOTIRCHAR DHARMASLA TO HAWRARPAR VILLAGE ROAD AT 1ST KM | MOTIRCHAR DHARMASLA TO HAWRARPAR | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM, SIDE SLOPE & CULVERT APPROACH DAMAGED ON DHARMASLA BUS STAND TO DHARMASALA PT-V AT 1ST & 2ND KM | DHARMASLA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGED ON MOTIRCHAR DHARMASALA ROAD TO DHARMASALA MANDIR AT 1ST KM | MOTIRCHAR DHARMASALA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM & SIDE SLOPES DAMAGED ON GASPARA NEAR DHARMASALA OUT POST ROAD TO VELAKOBA ROAD AT 1ST KM | VELAKOBA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  SIDE BERM & SIDE SLOEPS DMAGED ON DHUBRI PATAMARI ROAD TO JUNGLIA VILLAGE ROAD AT 1ST & 2ND KM | JUNGLIA | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  ROAD HAS BEEN SUBMERGED AND BADLY DAMAGED KANAIMORE TO BEGUNTOLI AT 1ST AND 2ND KM | BEGUNTOLI | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  ROAD HAS BEEN SUBMERGED AND BADLY DAMAGED BEGUNTOLI HINDUPARA TO BEGUNTOLI BUG BRIDGE AT 1ST KM | BEGUNTOLI | DATED-18-06-2022 TO 23-06-2022 | (Long - 0.000000, Lat - 0.000000),  Agamoni - SIDE BERM & HP CULVERT APPROACH OF CUL 1/1 DAMAGE ON KGT TO JINKATA Dt. 04/06/2022-15/06/2022 | KGT TO JINKATA | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGED ON KGT LINK ROAD TO SIMLABARI SATRA 1ST & 2ND KM Dt. 04/06/2022-15/06/2022 | KGT LINK ROAD TO SIMLABARI SATRA 1ST & 2ND KM | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGE ON POKALAGI SILGHAGRI ROAD AT 1ST & 2ND KM Dt. 04/06/2022-15/06/2022 | POKALAGI SILGHAGRI ROAD AT 1ST & 2ND KM | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGE ON SILKURIRPAR TO ROYPARA ROAD AT 1ST KM (.) Dt. 04/06/2022-15/06/2022 | SILKURIRPAR TO ROYPARA ROAD AT 1ST KM (.) | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGE ON KHERBARI BAUSERKUTI ROAD AT 3RD & 4TH KM Dt. 04/06/2022-15/06/2022 | KHERBARI BAUSERKUTI ROAD AT 3RD & 4TH KM | | (Long - 0.000000, Lat - 0.000000),  SIDE BERM DAMAGED AT 1ST & 2ND KM ON KALDOBA SINDURAI ROAD Dt. 04/06/2022-15/06/2022 | 1ST & 2ND KM ON KALDOBA SINDURAI ROAD | | (Long - 0.000000, Lat - 0.000000)",23-06-2022
7,,Goalpara,1,"Lakhipur - Nikaripara Road | At Nikaripara | As per report of PWD Roads Department, Nikaripara Road has been damaged due to strong current of flood water and the damage road is verified on 22.06.2022. | (Long - 90.306457, Lat - 26.047190)",23-06-2022
8,,Kamrup,2,"Rangia - Old N.T Road | Vill- Rangia Town | The Old N.T Road was damaged by the flood waters as per report of AEE, PWD, NKT, Roads, Rangia on 20.6.2022 | (Long - 91.609246, Lat - 26.439255),  Chamaria - Howli to Howlitary | Howlitary | Road submerged of the road namely Howli to Howlitary had taken place on dated 23.06.2022 and the same has been reported by AEE, PWD, Boko territorial road sub-division on dated 23.06.2022 | (Long - 91.036878, Lat - 26.285753)",23-06-2022
9,,Kamrup (M),1,"Chandrapur - dhamkhunda Maloi basti dighalihati to dhipujijan pam road (PMGSY Pkg NO. AS 11 663) Submerged from ch 1200.0 m to 2500.00 m, 2600.0 m to 3350. m, 3410.0 m 4200.0 m. avg. Deprth of submergence = .06m lat: 26.22935 long: 91.988395 | dhamkhunda Maloi basti dighalihati to dhipujijan pam road (PMGSY Pkg NO. AS 11 663) Submerged from ch 1200.0 m to 2500.00 m, 2600.0 m to 3350. m, 3410.0 m 4200.0 m. avg. Deprth of submergence = .06m lat: 26.22935 long: 91.988395 Date-23/06/2022 | | (Long - 0.000000, Lat - 0.000000)",23-06-2022
