EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"1,00,000",Yes,percentage,2.0%,EE Dhansiri Project Weir Divn. Irrigation,Bhairabkundo,1.0,DD - Demand Draft,Construction of Field Channel,Brick Lined and Earthen F C,Please refer to Bidding Document ,NA ,"50,00,000",Civil Works,NA ,Tender,180.0,90.0,"Udalguri, Bhairabkundo",784509.0,NA ,NA ,NA ,"CMD LACADA, Chandmari,Ghy-3",No ,No,1.0,IFB 3.III AND IFB 4,Other,,21-Dec-2017 05:00 PM,08-Jan-2018 03:00 PM,21-Dec-2017 05:00 PM,08-Jan-2018 02:00 PM,NA ,NA ,22-Dec-2017 10:00 AM,08-Jan-2018 02:00 PM,29-Jan-2018 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,CMD LACADA,"CMD LACADA, Chandmari,Ghy-3",Irrigation Department,CMD/CAD/LA/T/7/2016/29,2017_ID_4571_26,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,000",EE Dhansiri Project Weir Divn. Irrigation,Bhairabkundo,No,AOC,1.0,25129.0,KAMAL DAIMARI,INR,1000000.0,B MALAKAR,Internal,P DEKA D SAIKIA H K MILI C M DAS R GOGOI,Chan Mohan Das,29-Jan-2018 04:48 PM,29-Jan-2018 05:00 PM,techsummary_7310.pdf (1566.03 KB),1,25204,BABUL KHAKHLARI,08-Jan-2018 02:11 AM,Accepted-AOC,Awarded,26-Feb-2018 05:32 PM,Irrigation Department,2017_ID_4571_26,CMD/CAD/LA/T/7/2016/29,Construction of Field Channel,B Malakar,Internal,P DEKA D SAIKIA H K MILI C M DAS R GOGOI,Ram Pravesh Chauhan,23-Feb-2018 04:06 PM,finsummary_7310.pdf (706.10 KB),Technical,Technical Bid has been opened,Chan Mohan Das,29-Jan-2018 02:50 PM,technical_7310.pdf,26-Feb-2018,INR 5000000.0,90.0,Ram Pravesh Chauhan,26-Feb-2018 05:32 PM,24.pdf (630.00 KB),Works are allotted to six nos of Bidder,Finance,Technical Bid has been opened,Ram Pravesh Chauhan,23-Feb-2018 12:49 PM,finance_7310.pdf,BOQ Comparative Chart,AOC
,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Prequalification Details,,,,,,,,,,,,,,,,,,,,,AOC,2.0,25169.0,SUCHENDRA NATH DAS,INR,1000000.0,,,,,,,,2,25129,KAMAL DAIMARI,06-Jan-2018 07:31 PM,Accepted-AOC,Awarded,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,AOC,3.0,25186.0,ROBIN DAIMARY,INR,500000.0,,,,,,,,3,24950,M/s B.S.P.VERMA,08-Jan-2018 01:55 AM,Rejected-AOC,Works are awarded in other group,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ/Price Bid,,,,,,,,,,,,,,,,,,,,,AOC,4.0,25204.0,BABUL KHAKHLARI,INR,500000.0,,,,,,,,4,25355,PARIMAL DEV NATH,08-Jan-2018 11:12 AM,Rejected-AOC,Works are awarded in other group,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,AOC,5.0,25217.0,Sanjay Debnath,INR,1000000.0,,,,,,,,5,25108,PHUNGKHA BASUMATARY,06-Jan-2018 03:32 PM,Rejected-AOC,Works are awarded in other group,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,25257.0,SAILENDRA DAS,INR,500000.0,,,,,,,,6,25186,ROBIN DAIMARY,07-Jan-2018 09:19 AM,Accepted-AOC,Awarded,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,25257,SAILENDRA DAS,07-Jan-2018 09:03 PM,Accepted-AOC,Awarded,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,25217,Sanjay Debnath,07-Jan-2018 05:23 PM,Accepted-AOC,Awarded,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,25154,SRI PROCHIT CH. BASUMATARY,06-Jan-2018 08:55 PM,Rejected-AOC,Works are awarded in other group,26-Feb-2018 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,25074,Sri Somla Daimary,07-Jan-2018 11:36 PM,Rejected-Technical,S D wrongly pledged,29-Jan-2018 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
