S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,DD - Demand Draft,21-Dec-2017 05:00 PM,08-Jan-2018 03:00 PM,21-Dec-2017 05:00 PM,08-Jan-2018 02:00 PM,NA ,NA ,22-Dec-2017 10:00 AM,08-Jan-2018 02:00 PM,29-Jan-2018 02:45 PM,Irrigation Department,CMD/CAD/LA/T/7/2016/29,2017_ID_4571_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,CMD LACADA,"CMD LACADA, Chandmari,Ghy-3",Construction of Field Channel,Brick Lined and Earthen F C,Please refer to Bidding Document ,NA ,"1,70,00,000",Civil Works,NA ,Tender,180.0,90.0,"Udalguri, Bhairabkundo",784509.0,NA ,NA ,NA ,"CMD LACADA, Chandmari,Ghy-3",No ,No,"1,000",EE Dhansiri Project Weir Divn. Irrigation,Bhairabkundo,No,"3,40,000",Yes,percentage,2.0%,EE Dhansiri Project Weir Divn. Irrigation,Bhairabkundo,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1.0,IFB 3.III AND IFB 4,Other,,AOC,1.0,25225.0,M/S BIMOL NARZARI,INR,2500000.0,B Malakar,Internal,P DEKA D SAIKIA H K MILI C M DAS R GOGOI,Ram Pravesh Chauhan,23-Feb-2018 12:27 PM,finsummary_7287.pdf (706.10 KB),Irrigation Department,2017_ID_4571_6,CMD/CAD/LA/T/7/2016/29,Construction of Field Channel,Finance,Financial Bid has been opened,Ram Pravesh Chauhan,23-Feb-2018 12:20 PM,finance_7287.pdf,BOQ Comparative Chart,1,25298,AJOY KUMAR BRAHMA,08-Jan-2018 01:34 AM,Accepted-AOC,Awarded,26-Feb-2018 04:10 PM,B MALAKAR,Internal,P DEKA D SAIKIA H K MILI C M DAS R GOGOI,Chan Mohan Das,29-Jan-2018 02:29 PM,29-Jan-2018 02:45 PM,techsummary_7287.pdf (1566.03 KB),Technical,Technical Bid has been opened,Chan Mohan Das,29-Jan-2018 02:16 PM,technical_7287.pdf,26-Feb-2018,INR 1.7E+7,90.0,Ram Pravesh Chauhan,26-Feb-2018 04:10 PM,16.pdf (688.00 KB),Works are alloted,AOC
2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Prequalification Details,,,,,AOC,2.0,25258.0,Sri Roshan Chetri,INR,1500000.0,,,,,,,,,,,,,,,,,2,25237,BINOD DAIMARI,07-Jan-2018 07:20 PM,Rejected-AOC,Works are award in other group,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,AOC,3.0,25271.0,MANI RAM DAIMARI,INR,1000000.0,,,,,,,,,,,,,,,,,3,25332,Budha Choudhury,08-Jan-2018 03:39 AM,Accepted-AOC,Awarded,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ/Price Bid,,,,,AOC,4.0,25298.0,AJOY KUMAR BRAHMA,INR,1500000.0,,,,,,,,,,,,,,,,,4,25292,INDRA MOHAN BASUMATARY,07-Jan-2018 11:44 PM,Rejected-AOC,Works are award in other group,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,AOC,5.0,25309.0,SAMAR WARRI,INR,4300000.0,,,,,,,,,,,,,,,,,5,25304,JIMBARAM BASUMATARY,08-Jan-2018 01:05 AM,Rejected-AOC,Works are award in other group,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,25332.0,Budha Choudhury,INR,4500000.0,,,,,,,,,,,,,,,,,6,25375,KISHAN KUMAR HARLALKA,08-Jan-2018 12:33 PM,Rejected-AOC,Works are award in other group,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,25271,MANI RAM DAIMARI,07-Jan-2018 10:47 PM,Accepted-AOC,Awarded,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,25092,Md Gafur,07-Jan-2018 11:52 AM,Rejected-AOC,Works are award in other group,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,25225,M/S BIMOL NARZARI,07-Jan-2018 05:51 PM,Accepted-AOC,Awarded,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,25309,SAMAR WARRI,08-Jan-2018 01:26 AM,Accepted-AOC,Awarded,26-Feb-2018 04:10 PM,,,,,,,,,,,,,,,,,,,,AOC
