Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
14-Jul-2017 01:00 PM,24-Jul-2017 03:00 PM,14-Jul-2017 01:00 PM,24-Jul-2017 02:00 PM,NA ,NA ,14-Jul-2017 01:00 PM,24-Jul-2017 02:00 PM,03-Aug-2017 11:55 AM,1.0,Fee/PreQual/Technical,.pdf,Pre Qualification,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,No.DDP/VI/11/2017/1 Dt.07/07/2017,2017_ID_2729_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,DIFFERENT WORKS UNDER DHANSIRI IRRIGATION PROJECT UNDER NABARD LTIF UNDER DHANSIRI PROJECT WEIR DIVISION IRRIGATION BHAIRABKUNDA DHANSIRI PROJECT CANAL I DIVISION UDALGURI DHANSIRI PROJECT CANAL II DIVISION UDALGURI GROUP 14,Reshaping Regrading at various reaches of canal K1D2B1M from ch 0m 11120 m of canal K2D2B1M from ch 700m to 3500m,Please refer Tender documents. ,NA ,"1,33,72,000",Civil Works - Others,NA ,Rate Contract,180.0,180.0,Dhansiri,784509.0,NA ,NA ,NA ,"O/o the Chief Engineer, Irrigation, Assam, Ghy-03",No ,No,"2,67,440",Yes,percentage,2.0%,"E.E Dhansiri Project Div(I), Canal I",Udalguri,"O/o the Chief Engineer, Irrigation, Assam, Ghy-03","Chief Engineer, Irrigation, Assam, Ghy-03","1,000","Chief Engineer, Irrigation, Assam, Ghy-03",Guwahati,No,AOC,1,14974,ABDUL BASIR,23-Jul-2017 12:03 AM,Accepted-AOC,AOC,22-Feb-2018 03:02 PM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2017_ID_2729_1,No.DDP/VI/11/2017/1 Dt.07/07/2017,DIFFERENT WORKS UNDER DHANSIRI IRRIGATION PROJECT UNDER NABARD LTIF UNDER DHANSIRI PROJECT WEIR DIVISION IRRIGATION BHAIRABKUNDA DHANSIRI PROJECT CANAL I DIVISION UDALGURI DHANSIRI PROJECT CANAL II DIVISION UDALGURI GROUP 14,AOC
,,,,,,,,,,,.pdf,Bid documents,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,15024,Abong Brahma,23-Jul-2017 10:04 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Aug-2017 11:42 AM,,,,,AOC
,,,,,,,,,,,.pdf,Cost of Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,14977,ASHOK KUMAR BAJAJ,23-Jul-2017 12:12 AM,Rejected-Finance,Rejected,15-Feb-2018 12:44 PM,,,,,AOC
,,,,,,,,,,,.pdf,Earnest money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,15037,Babul Baglary,23-Jul-2017 01:46 PM,Accepted-AOC,AOC,22-Feb-2018 03:02 PM,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,15021,Bharati Das Boro,23-Jul-2017 09:16 AM,Rejected-Finance,Rejected,15-Feb-2018 12:44 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,14829,chand mahammad,21-Jul-2017 06:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Aug-2017 11:42 AM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,14766,CHITTARANJAN BISWAS,20-Jul-2017 04:13 PM,Rejected-Finance,Rejected,15-Feb-2018 12:44 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,14865,JATIN RAJBONGSHI,22-Jul-2017 01:34 PM,Rejected-Finance,Rejected,15-Feb-2018 12:44 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,15104,KHOURANGSA DAIMARI,24-Jul-2017 10:27 AM,Accepted-AOC,AOC,22-Feb-2018 03:02 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,15105,Md. Muslim Uddin Ahmed,24-Jul-2017 10:45 AM,Accepted-AOC,AOC,22-Feb-2018 03:02 PM,,,,,AOC
