Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2017_ID_2714_1,No.DDP/VI/11/2017/1 Dt.07/07/2017,DIFFERENT WORKS UNDER DHANSIRI IRRIGATION PROJECT UNDER NABARD LTIF UNDER DHANSIRI PROJECT WEIR DIVISION IRRIGATION BHAIRABKUNDA DHANSIRI PROJECT CANAL I DIVISION UDALGURI DHANSIRI PROJECT CANAL II DIVISION UDALGURI Group 7,1.0,14969.0,ASHOK KUMAR BAJAJ,INR,3793100.0,"Chief Engineer, Irrigation",Internal,"Chief Engineer, Irrigation, Chief Engineer (M.I), Director Design(I), Director Design(M.I)",Amit Singha,01-Aug-2017 02:00 PM,01-Aug-2017 02:05 PM,techsummary_4346.pdf (112.32 KB),Technical,"Budha Choudhury, Sri Barnali Talukdar, Pranab Hazarika, Brikendra Basumatary not accepted due to non-compliance of technical specification and others all provisionally accepted.",Amit Singha,01-Aug-2017 01:57 PM,technical_4346.pdf,1,14969,ASHOK KUMAR BAJAJ,22-Jul-2017 11:42 PM,Accepted-AOC,Awarded,03-Feb-2018 03:10 PM,03-Feb-2018,INR 2.20972E+7,180.0,Amit Singha,03-Feb-2018 03:10 PM,Gr7.pdf (307.00 KB),AOC,"Chief Engineer(I),Assam, Ghy-03",Internal,"Chief Engineer(I),Assam, Ghy-03, Chief Engineer(MI),Assam, Ghy-03, Director Design(I), Director Design(MI)",Amit Singha,03-Feb-2018 03:07 PM,finsummary_4346.pdf (348.84 KB),Finance,Provisionally Admitted,Amit Singha,29-Jan-2018 02:22 PM,finance_4346.pdf,BOQ Comparative Chart,AOC,14-Jul-2017 01:00 PM,24-Jul-2017 03:00 PM,14-Jul-2017 01:00 PM,24-Jul-2017 02:00 PM,NA ,NA ,14-Jul-2017 01:00 PM,24-Jul-2017 02:00 PM,01-Aug-2017 02:05 PM,"3,48,652",Yes,percentage,2.0%,"E.E Dhansiri Project Div(I), Canal II",Udalguri,1.0,DD - Demand Draft,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,No.DDP/VI/11/2017/1 Dt.07/07/2017,2017_ID_2714_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Pre Qualification,"Chief Engineer, Irrigation,Ghy 3","O/o the Chief Engineer, Irrigation,Ghy 3","1,000","Chief Engineer, Irrigation,Assam",Guwahati,No,DIFFERENT WORKS UNDER DHANSIRI IRRIGATION PROJECT UNDER NABARD LTIF UNDER DHANSIRI PROJECT WEIR DIVISION IRRIGATION BHAIRABKUNDA DHANSIRI PROJECT CANAL I DIVISION UDALGURI DHANSIRI PROJECT CANAL II DIVISION UDALGURI Group 7,"Reshaping and Regrading of B5M canal at various reaches from ch. 500m-13570m including straightning of river Lakhi at ch. 8550m including protection work, Construction of Outlet( 15 nos) , Cattle crossing at various chainages of B5M canal including",Please refer Tender documents. ,NA ,"1,74,32,600",Civil Works - Others,NA ,Rate Contract,180.0,180.0,Dhansiri,784509.0,NA ,NA ,NA ,"O/o the Chief Engineer, Irrigation,Ghy 3",No ,No,AOC
,,,,2.0,15012.0,BINOD DAIMARI,INR,3386900.0,,,,,,,,,,,,,2,15012,BINOD DAIMARI,24-Jul-2017 01:55 PM,Accepted-AOC,Awarded,03-Feb-2018 03:10 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,.pdf,Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3.0,15058.0,Sri Diganta Rabha,INR,5795300.0,,,,,,,,,,,,,3,14990,binod daimary,23-Jul-2017 04:41 AM,Rejected-Finance,Rejected,03-Feb-2018 03:07 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid Documents,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4.0,15060.0,Sri Roshan Chetri,INR,4789900.0,,,,,,,,,,,,,4,14957,BRIKENDRA BASUMATARY,22-Jul-2017 10:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Aug-2017 01:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,14718,Budha Choudhury,19-Jul-2017 04:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Aug-2017 01:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,15083,KAMAL KUMAR GOEL,24-Jul-2017 12:46 AM,Rejected-Finance,Rejected,03-Feb-2018 03:07 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,15089,M/S AGH CONSTRUCTIONS,24-Jul-2017 12:05 PM,Rejected-Finance,Rejected,03-Feb-2018 03:07 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,15086,PRANAB HAZARIKA,24-Jul-2017 11:58 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Aug-2017 01:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,14939,SOHANLAL PATWARY,23-Jul-2017 02:34 AM,Rejected-Finance,Rejected,03-Feb-2018 03:07 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,15111,Sri Barnali Talukdar,24-Jul-2017 11:13 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Aug-2017 01:57 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
