Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Irrigation Department,2017_ID_4571_19,CMD/CAD/LA/T/7/2016/29,Construction of Field Channel,B Malakar,Internal,P DEKA D SAIKIA H K MILI C M DAS R GOGOI,Ram Pravesh Chauhan,23-Feb-2018 04:26 PM,finsummary_7301.pdf (706.10 KB),27-Feb-2018,INR 1.6805E+7,90.0,Ram Pravesh Chauhan,27-Feb-2018 12:01 PM,20.pdf (757.00 KB),Works are awarded to seven nos of Bidders,1.0,24821.0,Iftikar Hussain,INR,1500000.0,1,25221,BINU RAM BORO,07-Jan-2018 07:55 PM,Accepted-AOC,Awarded,27-Feb-2018 12:01 PM,Technical,Technical Bid has been opened,Chan Mohan Das,29-Jan-2018 03:09 PM,technical_7301.pdf,B MALAKAR,Internal,P DEKA D SAIKIA H K MILI C M DAS R GOGOI,Chan Mohan Das,29-Jan-2018 03:23 PM,29-Jan-2018 04:30 PM,techsummary_7301.pdf (1566.03 KB),Finance,Financial Bid has been opened,Ram Pravesh Chauhan,23-Feb-2018 12:37 PM,finance_7301.pdf,BOQ Comparative Chart,AOC,Construction of Field Channel,Brick Lined and Earthen F C,Please refer to Bidding Document ,NA ,"1,68,05,000",Civil Works,NA ,Tender,180.0,90.0,"Udalguri, Bhairabkundo",784509.0,NA ,NA ,NA ,"CMD LACADA, Chandmari,Ghy-3",No ,No,1.0,DD - Demand Draft,"1,000",EE Dhansiri Project Weir Divn. Irrigation,Bhairabkundo,No,CMD LACADA,"CMD LACADA, Chandmari,Ghy-3",1.0,IFB 3.III AND IFB 4,Other,,21-Dec-2017 05:00 PM,08-Jan-2018 03:00 PM,21-Dec-2017 05:00 PM,08-Jan-2018 02:00 PM,NA ,NA ,22-Dec-2017 10:00 AM,08-Jan-2018 02:00 PM,29-Jan-2018 04:30 PM,Irrigation Department,CMD/CAD/LA/T/7/2016/29,2017_ID_4571_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"3,36,100",Yes,percentage,2.0%,EE Dhansiri Project Weir Divn. Irrigation,Bhairabkundo,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,AOC
,,,,,,,,,,,,,,,,,2.0,24879.0,JINAS DAIMARI,INR,3000000.0,2,25260,BIPUL MEDHI,08-Jan-2018 11:08 AM,Rejected-AOC,Works are awarded in other group,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Prequalification Details,AOC
,,,,,,,,,,,,,,,,,3.0,25130.0,MAINAO DAIMARI,INR,3000000.0,3,25173,BRAJEN DAS,07-Jan-2018 01:01 AM,Accepted-AOC,Awarded,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,AOC
,,,,,,,,,,,,,,,,,4.0,25173.0,BRAJEN DAS,INR,1000000.0,4,25325,DHRUBA JYOTI OJAH,08-Jan-2018 03:17 AM,Rejected-AOC,Works are awarded in other group,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ/Price Bid,AOC
,,,,,,,,,,,,,,,,,5.0,25221.0,BINU RAM BORO,INR,1000000.0,5,24821,Iftikar Hussain,04-Jan-2018 06:29 PM,Accepted-AOC,Awarded,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,AOC
,,,,,,,,,,,,,,,,,6.0,25318.0,MS JAGADISHA CONSTRUCTIONS,INR,2000000.0,6,25003,Jainur Haque,05-Jan-2018 08:44 PM,Rejected-AOC,Works are awarded in other group,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,7.0,25329.0,Sri Sarbananda Ojha,INR,3500000.0,7,24879,JINAS DAIMARI,06-Jan-2018 08:07 PM,Accepted-AOC,Awarded,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,25341,KAMAL KUMAR GOEL,08-Jan-2018 05:03 AM,Rejected-AOC,Works are awarded in other group,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,25083,Khitish Ojha,07-Jan-2018 12:14 PM,Rejected-AOC,Works are awarded in other group,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,25130,MAINAO DAIMARI,06-Jan-2018 06:26 PM,Accepted-AOC,Awarded,27-Feb-2018 12:01 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
