Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Providing protection work on Chamba Jhumar via Luddu road Km. 0/0 to 8/955 C/o Breast wall at various Rds,Providing protection work on Chamba Jhumar via Luddu road Km. 0/0 to 8/955 C/o Breast wall at various Rds,Please refer Tender documents. ,NA ,"9,46,038",Civil Works - Roads,NA ,Tender,90.0,90.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,06-Mar-2020 05:00 PM,21-Mar-2020 11:30 AM,06-Mar-2020 05:00 PM,20-Mar-2020 05:00 PM,NA ,NA ,06-Mar-2020 05:00 PM,20-Mar-2020 05:00 PM,23-May-2020 11:30 AM,PWD,PWC-WA-II/Contract/ 16690-789 dated 25.2.20,2020_PWD_35982_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"18,950",No,fixed,,Executive Engineer Chamba Division HPPWD Chamba,Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form ( as per schedule F ),350.0,Executive Engineer Chamba Division HPPWD Chamba,Chamba,No,AOC,1,155906,D,19-Mar-2020 07:17 PM,Rejected-Technical,Non-Responsive,19-May-2020 06:53 PM,Technical,Bid opening Summary,Jeet Singh Thakur,19-May-2020 06:45 PM,technical_52950.pdf,Finance,Bid opening Summary,Jeet Singh Thakur,24-Jun-2020 05:09 PM,finance_52950.pdf,BOQ Comparative Chart,1.0,156062.0,Om Parkash,INR,"1,421,196",PWD,2020_PWD_35982_1,PWC-WA-II/Contract/ 16690-789 dated 25.2.20,Providing protection work on Chamba Jhumar via Luddu road Km. 0/0 to 8/955 C/o Breast wall at various Rds,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,19-May-2020 06:53 PM,23-May-2020 11:30 AM,techsummary_52950.pdf (566.43 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,24-Jun-2020 05:16 PM,finsummary_52950.pdf (203.30 KB),24-Jun-2020,"INR 946,038",90.0,Jeet Singh Thakur,24-Jun-2020 05:19 PM,3.AOC2806.pdf (524.00 KB),Providing protection work on Chamba Jhumar via Luddu road Km. 0/0 to 8/955 C/o Breast wall at various Rds,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Earnest Money ( as per schedule F ),,,,,AOC,2,155224,Dheeraj Badyal Govt Contractor,16-Mar-2020 05:06 PM,Rejected-AOC,L6,24-Jun-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,AOC,3,155698,GHANSHYAM,18-Mar-2020 07:06 PM,Rejected-Technical,Non-Responsive,19-May-2020 06:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,AOC,4,156002,KIRAN KUMAR,20-Mar-2020 04:28 PM,Rejected-AOC,l4,24-Jun-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit regarding information furnished with the bid is correct in all respect,,,,,AOC,5,155396,Nagesh Deor,17-Mar-2020 04:43 PM,Rejected-AOC,l2,24-Jun-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan ( Permanent Account No.),,,,,AOC,6,156062,Om Parkash,20-Mar-2020 03:49 PM,Accepted-AOC,l1,24-Jun-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed by the contractor,,,,,AOC,7,155598,Rakesh Kumar,18-Mar-2020 03:06 PM,Rejected-AOC,l7,24-Jun-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,8,155942,Tahir Malik Allied Services,20-Mar-2020 12:03 AM,Rejected-AOC,l3,24-Jun-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,155864,UMESH KUMAR MAHAJAN,19-Mar-2020 04:40 PM,Rejected-Technical,Non-Responsive,19-May-2020 06:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,155790,VISHAL KUMAR,19-Mar-2020 02:05 PM,Rejected-AOC,l5,24-Jun-2020 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
