Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
23-Jun-2020,"INR 130,470,133",545.0,Suresh Kumar Walia,30-Jun-2020 04:36 PM,Award.pdf (718.00 KB),Award,Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,12-Dec-2019 11:15 AM,finsummary_46764.pdf (191.01 KB),Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,07-Dec-2019 12:51 PM,07-Dec-2019 02:45 PM,techsummary_46764.pdf (1064.90 KB),PWD,2019_PWD_32510_1,PWD Civil Work -3215-40Tanda,Construction of new 120 Nos Type-III Qtrs for Nurses staff in Dr. R.P. Govt. Medical College at Tanda in Distt Kangra (HP) Deposit Work,Finance,Sum,Suresh Kumar Walia,12-Dec-2019 11:11 AM,finance_46764.pdf,BOQ Comparative Chart,1.0,137804.0,M/s Kulwinder Singh and Co.,INR,"130,470,133",Technical,Sum,Suresh Kumar Walia,07-Dec-2019 12:47 PM,technical_46764.pdf,1.0,137569.0,Kumar,27-Nov-2019 04:56 PM,Rejected-AOC,Lowest 3,30-Jun-2020 04:36 PM,AOC,PWD,PWD Civil Work -3215-40Tanda,2019_PWD_32510_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,08-Nov-2019 05:30 PM,29-Nov-2019 11:30 AM,08-Nov-2019 05:30 PM,28-Nov-2019 05:00 PM,NA ,NA ,08-Nov-2019 05:30 PM,28-Nov-2019 05:00 PM,07-Dec-2019 02:45 PM,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"5,000",EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,Construction of new 120 Nos Type-III Qtrs for Nurses staff in Dr. R.P. Govt. Medical College at Tanda in Distt Kangra (HP) Deposit Work,"Construction of 72 Nos. Type-III Qtrs (12 Nos. block) civil work including water Supply AND Sanitary Installation, Rain Water Harvesting System and Septic Tank etcetera",Please refer Tender documents. ,NA ,"13,08,02,790",Civil Works - Buildings,NA ,Tender,120.0,545.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,"5,00,000",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,137804.0,M/s Kulwinder Singh and Co.,28-Nov-2019 02:26 PM,Accepted-AOC,Lowest 1,30-Jun-2020 04:36 PM,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,137866.0,M/s Surindera Traders,28-Nov-2019 03:31 PM,Rejected-AOC,Lowest 5,30-Jun-2020 04:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,137759.0,Om Parkash Sharma And Sons,28-Nov-2019 03:37 PM,Rejected-AOC,Lowest 6,30-Jun-2020 04:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,137838.0,Pawan Kumar,28-Nov-2019 01:24 PM,Rejected-AOC,Lowest 2,30-Jun-2020 04:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,137850.0,Ujjawal Singh,28-Nov-2019 04:20 PM,Rejected-AOC,Lowest 4,30-Jun-2020 04:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity a/w Balance sheets for the last 5 year duly signed by C.A,AOC
