Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
23-Jun-2020,"INR 1,366,715",91.0,Jitender Kumar,25-Jun-2020 11:20 AM,AOC37732.PDF (155.00 KB),AOC,Er. J.K. Gupta,Internal,AE Padhar DAO Supdt. HDM,Jitender Kumar,22-Jun-2020 10:25 AM,finsummary_55577.pdf (144.15 KB),Er. J.K. Gupta,Internal,AE Padhar DAO Supdt. HDM,Jitender Kumar,18-Jun-2020 02:06 PM,19-Jun-2020 11:00 AM,techsummary_55577.pdf (191.00 KB),PWD,2020_PWD_37732_1,PW-MDI-Tender-NIT- 986-1021 dated 15.05.2020,Construction of Drang Basahi road Km 8/0 to 22/0 under SCSP,1.0,161407.0,Rajender Pal,INR,"1,366,715",Finance,fbosummary,Jitender Kumar,22-Jun-2020 10:21 AM,finance_55577.pdf,BOQ Comparative Chart,Technical,summary,Jitender Kumar,18-Jun-2020 02:02 PM,technical_55577.pdf,1.0,161752.0,HEM RAJ,08-Jun-2020 08:23 PM,Rejected-Finance,L-2,22-Jun-2020 10:25 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"22,600",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,Construction of Drang Basahi road Km 8/0 to 22/0 under SCSP,Construction of wire crated retaining wall at R.D. 10/900 to10/980,As per bid documents ,NA ,"11,30,725",Civil Works - Roads,NA ,Tender,120.0,91.0,Padhar,175012.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,PWD,PW-MDI-Tender-NIT- 986-1021 dated 15.05.2020,2020_PWD_37732_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",02-Jun-2020 10:00 AM,10-Jun-2020 11:30 AM,02-Jun-2020 10:00 AM,09-Jun-2020 05:00 PM,NA ,NA ,02-Jun-2020 10:00 AM,09-Jun-2020 05:00 PM,19-Jun-2020 11:00 AM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,161855.0,MANDEEP CONTRACTOR,09-Jun-2020 02:32 PM,Rejected-Finance,L-3,22-Jun-2020 10:25 AM,AOC,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,161805.0,PREM SINGH GULERIA,09-Jun-2020 12:52 PM,Rejected-Finance,L-4,22-Jun-2020 10:25 AM,AOC,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,161407.0,Rajender Pal,09-Jun-2020 02:45 PM,Accepted-AOC,AOC,25-Jun-2020 11:20 AM,AOC,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
