Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
24-Jun-2020,"INR 10,854,709",365.0,Rakesh Chander Negi,24-Jun-2020 11:33 AM,917.PDF (1967.00 KB),Er. Rahul Sood XEN,Internal,HDM DAO Supdt. Gr-II,Rakesh Chander Negi,24-Jun-2020 11:31 AM,finsummary_46725.pdf (870.28 KB),XEN Rahul Sood,Internal,HDM Superintendemt Gr-II,Pramod Kumar,27-Nov-2019 02:47 PM,27-Nov-2019 03:00 PM,techsummary_46725.pdf (870.40 KB),PWD,2019_PWD_32476_1,BHNR -EA-Tender/2019- 7077-85 dated 16.10.2019,C.O Stadium at Kilba in District Kinnaur (SH. C.O stage 2 No Green room and sitting tiers providing and fixing W.S. and S.I. septic tank and rain water harvesting tank etc.),Technical,opening summary,Pramod Kumar,27-Nov-2019 02:40 PM,technical_46725.pdf,1.0,136423.0,Bhagwan singh Negi,16-Nov-2019 12:56 PM,Rejected-Finance,Not lowest,24-Jun-2020 11:31 AM,1.0,136473.0,Surender Thakur,INR,"15,815,668",Finance,summary,Pramod Kumar,13-Mar-2020 04:42 PM,finance_46725.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Karchham Division HPPWD Bhabanagar,"5,000",EE Bhabangar,Bhabanagar/Sungra,Yes,C.O Stadium at Kilba in District Kinnaur (SH. C.O stage 2 No Green room and sitting tiers providing and fixing W.S. and S.I. septic tank and rain water harvesting tank etc.),C.O Stadium at Kilba in District Kinnaur (SH. C.O stage 2 No Green room and sitting tiers providing and fixing W.S. and S.I. septic tank and rain water harvesting tank etc.),Please refer Tender documents. ,NA ,"1,08,54,709",Civil Works,NA ,Tender,120.0,365.0,Kilba,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"1,41,000",Yes,fixed,,EE Bhabanagar,Bhabanagar/Sungra,1.0,DD - Demand Draft,06-Nov-2019 04:00 PM,18-Nov-2019 11:00 AM,06-Nov-2019 04:15 PM,16-Nov-2019 05:00 PM,NA ,NA ,06-Nov-2019 04:15 PM,16-Nov-2019 05:00 PM,27-Nov-2019 03:00 PM,PWD,BHNR -EA-Tender/2019- 7077-85 dated 16.10.2019,2019_PWD_32476_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,136318.0,KAILASH THAKUR,14-Nov-2019 07:19 PM,Rejected-Technical,Non Respnsive,27-Nov-2019 02:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,136464.0,PRATAP SINGH VERMA GOVT CONTRACTOR,16-Nov-2019 02:25 PM,Rejected-Technical,Non Respnsive,27-Nov-2019 02:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,136465.0,Shakti Singh,16-Nov-2019 02:17 PM,Rejected-Finance,Not lowest,24-Jun-2020 11:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,136473.0,Surender Thakur,16-Nov-2019 04:23 PM,Accepted-AOC,Awarded,24-Jun-2020 11:33 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,136453.0,Vidya Infrastructure and Developers,16-Nov-2019 03:14 PM,Rejected-Finance,Not lowest,24-Jun-2020 11:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,136372.0,Vinod Kumar,15-Nov-2019 04:28 PM,Rejected-Finance,Not lowest,24-Jun-2020 11:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
