S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,"15,166",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",A/R and M/O Nahan Dadahu Haripurdhar road km 36/00 to 87/00,C/O RCC Retaining wall from km 79/040 to 79/055),Please refer Tender documents. ,NA ,"7,58,294",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,PWD,24-74 DATED 22.04.2020,2020_PWD_37007_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum,Date,,08-May-2020 05:00 PM,02-Jun-2020 11:30 AM,08-May-2020 05:00 PM,01-Jun-2020 05:00 PM,NA ,NA ,08-May-2020 05:00 PM,01-Jun-2020 05:00 PM,09-Jun-2020 11:30 AM,AOC,PWD,2020_PWD_37007_7,24-74 DATED 22.04.2020,A/R and M/O Nahan Dadahu Haripurdhar road km 36/00 to 87/00,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,09-Jun-2020 11:00 AM,09-Jun-2020 11:30 AM,techsummary_54617.pdf (759.97 KB),Executive Engineer,Internal,Tender Assistant DHD DAO Superintendent G-II,Rattan Kumar Sharma,20-Jun-2020 11:52 AM,finsummary_54617.pdf (230.04 KB),20-Jun-2020,"INR 758,294",60.0,Rattan Kumar Sharma,20-Jun-2020 11:54 AM,11.pdf (2821.00 KB),AOC,1.0,160309.0,Avtar Singh,01-Jun-2020 04:41 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:52 AM,Technical,SUMMARY,Rattan Kumar Sharma,03-Jun-2020 03:11 PM,technical_54617.pdf,Finance,SUMMARY,Rattan Kumar Sharma,12-Jun-2020 10:25 AM,finance_54617.pdf,BOQ Comparative Chart,1.0,160254.0,surjan singh,INR,"833,759",AOC
2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,159910.0,BALBIR SINGH,01-Jun-2020 08:27 AM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:52 AM,,,,,,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,159844.0,DESH RAJ,01-Jun-2020 03:15 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:52 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,160221.0,RANDEEP SINGH,01-Jun-2020 12:52 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:52 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,160254.0,surjan singh,01-Jun-2020 02:55 PM,Accepted-AOC,AOC,20-Jun-2020 11:54 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. FORM NO 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,159943.0,vijay singh thakur,30-May-2020 10:57 AM,Rejected-Technical,Not Qualified,09-Jun-2020 11:00 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7.0,159780.0,virender singh,28-May-2020 07:39 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:52 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
