S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,158789.0,HYDRAULIC ENGINEERING COMPANY,18-May-2020 05:19 PM,Rejected-Finance,Reject,24-Jun-2020 12:45 PM,Dr. Mandeep Gupta EE,Internal,HDM DAO TA Supdt EE,Mandeep Gupta,28-May-2020 01:31 PM,28-May-2020 01:35 PM,techsummary_54571.pdf (273.18 KB),Technical,Technical Bid Opening Summary,Mandeep Gupta,28-May-2020 01:28 PM,technical_54571.pdf,Finance,Financial Bid OPening Summary,Mandeep Gupta,28-May-2020 03:06 PM,finance_54571.pdf,BOQ Comparative Chart,24-Jun-2020,"INR 299,180",365.0,Mandeep Gupta,24-Jun-2020 12:47 PM,AOC.pdf (684.00 KB),Award to Contractor,1.0,158369.0,Jyoti Trading Company,INR,"250,025","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_36980_2,NHN-SMROO-722-2019-20 301-80 dt 29-4-20,"Operation, Running and Maintenance of District Water Testing Laboratory at Nahan in District Sirmour HP",Dr. Mandeep Gupta EE,Internal,HDM DGTMan EE,Mandeep Gupta,24-Jun-2020 12:45 PM,finsummary_54571.pdf (683.89 KB),AOC,"6,000",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,06-May-2020 09:00 AM,19-May-2020 11:30 AM,06-May-2020 09:00 AM,19-May-2020 11:00 AM,NA ,NA ,06-May-2020 09:00 AM,19-May-2020 11:00 AM,28-May-2020 01:35 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest money as mentioned in NIT,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722-2019-20 301-80 dt 29-4-20,2020_HPIPH_36980_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Operation, Running and Maintenance of District Water Testing Laboratory at Nahan in District Sirmour HP",As Above,Please refer Tender documents. ,NA ,"2,99,180",Miscellaneous Works,NA ,Tender,120.0,365.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,AOC
2.0,158369.0,Jyoti Trading Company,14-May-2020 12:54 PM,Accepted-AOC,AOC,24-Jun-2020 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,158565.0,Vinod Kumar,17-May-2020 07:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-May-2020 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HP Jal Shakti Vibhag as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. and GST No. as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefuly study all terms and condition as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
