S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,key dates revised,Date,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",06-Apr-2020 10:00 AM,20-Apr-2020 11:00 AM,06-Apr-2020 10:00 AM,18-Apr-2020 05:00 PM,NA ,NA ,06-Apr-2020 10:00 AM,18-Apr-2020 05:00 PM,28-Apr-2020 12:05 PM,1.0,DD - Demand Draft,500.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"24,000",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/19-20-9573-79 dt 20.03.20,2020_PWD_36558_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","Providing and fixing new AHU pre air filters in place of old damaged filter in Hospital, Administrative Block and Medical College at Shri Lal Bahadur Shastri Government Medical College and Hospital Nerchowk District Mandi HP","Providing and fixing new AHU pre air filters in place of old damaged filter in Hospital, Administrative Block and Medical College at Shri Lal Bahadur Shastri Government Medical College and Hospital Nerchowk District Mandi HP",Please refer to bid document ,NA ,"11,53,988",Electrical Works,NA ,Tender,120.0,90.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,1.0,156827.0,Krishan Pal,16-Apr-2020 09:30 AM,Rejected-Finance,Rejected being L2 firm,28-Apr-2020 02:13 PM,Technical,technical bid summary,Dalip singh Patial,28-Apr-2020 11:56 AM,technical_53960.pdf,1.0,156811.0,SHARMA ELECTRICAL CO.,INR,"1,134,810",Finance,Financial bid summary,Dalip singh Patial,28-Apr-2020 02:01 PM,finance_53960.pdf,BOQ Comparative Chart,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Ram Singh JDM Sh Manish Kumar clerk,Dalip singh Patial,28-Apr-2020 12:03 PM,28-Apr-2020 12:05 PM,techsummary_53960.pdf (402.81 KB),PWD,2020_PWD_36558_1,PW/MED/TA/NIT/ e-notice/19-20-9573-79 dt 20.03.20,"Providing and fixing new AHU pre air filters in place of old damaged filter in Hospital, Administrative Block and Medical College at Shri Lal Bahadur Shastri Government Medical College and Hospital Nerchowk District Mandi HP",27-May-2020,"INR 1,134,810",90.0,Dalip singh Patial,23-Jun-2020 11:34 AM,AOC.pdf (585.00 KB),work awarded to M/s Sharma Electrical Company being L1 firm,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Ram Singh JDM Sh Manish Kumar clerk,Dalip singh Patial,28-Apr-2020 02:13 PM,finsummary_53960.pdf (333.11 KB),AOC
2.0,Change of TQC,Other,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,2.0,156812.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,15-Apr-2020 11:16 AM,Rejected-Finance,Rejected being L2 firm,28-Apr-2020 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Approved OEM (HVAC) or auth. agency of approved OEM (HVAC) or firm auth for exec specialized job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,3.0,156811.0,SHARMA ELECTRICAL CO.,15-Apr-2020 10:37 AM,Accepted-AOC,work awarded being L1 firm,23-Jun-2020 11:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
