Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,Periodical Maintenance of road from Alampur Dehru Shakoh Talwar Kaluhi Lambagaon Jaisinghpur Dalu Khalta Harsipattan Road under AMP 2019-20 MDR101,Providing and laying 30mm thick Bitumen concrete including profile correction laying with paver finisher in Km 22/0 to 23/0,Please refer Tender documents. ,NA ,"8,28,452",Civil Works - Roads,NA ,Tender,120.0,30.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,14-Oct-2019 03:00 PM,31-Oct-2019 11:00 AM,14-Oct-2019 03:00 PM,30-Oct-2019 05:00 PM,NA ,NA ,14-Oct-2019 03:00 PM,30-Oct-2019 05:00 PM,19-Nov-2019 11:00 AM,"16,600",Yes,fixed,,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,PWD,Periodical Maintenance of road from Alampur-Dehru,2019_PWD_32117_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,Yes,AOC,1.0,135151.0,Kulvinder,INR,"1,076,625",Finance,Summary,Virender Kumar,22-Nov-2019 12:59 PM,finance_46176.pdf,BOQ Comparative Chart,1.0,135319.0,G.P.ACHARYA,30-Oct-2019 04:11 PM,Rejected-Technical,Non responsive,18-Nov-2019 12:31 PM,Technical,Summary,Virender Kumar,18-Nov-2019 12:29 PM,technical_46176.pdf,PWD,2019_PWD_32117_1,Periodical Maintenance of road from Alampur-Dehru,Periodical Maintenance of road from Alampur Dehru Shakoh Talwar Kaluhi Lambagaon Jaisinghpur Dalu Khalta Harsipattan Road under AMP 2019-20 MDR101,Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,18-Nov-2019 12:31 PM,19-Nov-2019 11:00 AM,techsummary_46176.pdf (275.04 KB),Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,22-Nov-2019 01:01 PM,finsummary_46176.pdf (183.50 KB),03-Jun-2020,"INR 828,452",30.0,Virender Kumar Bhardwaj,03-Jun-2020 02:45 PM,Award.pdf (533.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,135151.0,Kulvinder,28-Oct-2019 01:02 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,03-Jun-2020 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,135164.0,Sanjeev Sood,28-Oct-2019 01:47 PM,Rejected-Technical,Non responsive,18-Nov-2019 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,135218.0,VINOD KUMAR,29-Oct-2019 02:08 PM,Rejected-Technical,Non responsive,18-Nov-2019 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in the shape of National saving NSC/TDA in any of the post office in HP Nationalized bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
