Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
09-Jun-2020,"INR 644,314",60.0,Sanjiv Kumar,09-Jun-2020 12:02 PM,AwardDeoltatwani01.pdf (247.00 KB),ER SK Sood,Internal,HDM SupdtG-II Sr. DAO AE Baijnath,Sanjiv Kumar,09-Jun-2020 12:00 PM,finsummary_48515.pdf (92.15 KB),Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,24-Jan-2020 12:28 PM,28-Jan-2020 11:00 AM,techsummary_48515.pdf (532.84 KB),PWD,2019_PWD_33670_1,PWD-BD-NIT-2019-20/18627-80,Periodic Maintenance Deol Tatwani Road DRRP No. HP407VR0022 (Under AMP 2019-20 PMGSY Road),1.0,144600.0,Shalabh Awasthi,INR,"920,326",Finance,Financial Bid Open Successfully,Sanjiv Kumar,09-Jun-2020 11:58 AM,finance_48515.pdf,BOQ Comparative Chart,Technical,three bidders participated in this work and two bidders found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,24-Jan-2020 12:27 PM,technical_48515.pdf,1.0,144633.0,Sanjay Kapoor,12-Jan-2020 06:23 PM,Rejected-AOC,Higher Side,09-Jun-2020 12:02 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,Periodic Maintenance Deol Tatwani Road DRRP No. HP407VR0022 (Under AMP 2019-20 PMGSY Road),Providing and Laying built up spray grout single layer 2cm thick premix carpet with seal coat at Km 0/0 to 1/0,Please refer Tender documents. ,NA ,"6,44,314",Civil Works - Roads,NA ,Tender,120.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,PWD,PWD-BD-NIT-2019-20/18627-80,2019_PWD_33670_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,350.0,EE Baijnath,Baijanth,No,"13,000",No,fixed,,EE Baijnath,Baijnath,27-Dec-2019 10:00 AM,13-Jan-2020 11:00 AM,27-Dec-2019 11:00 AM,13-Jan-2020 10:30 AM,NA ,NA ,27-Dec-2019 11:00 AM,13-Jan-2020 10:30 AM,28-Jan-2020 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,144646.0,satish abrol,13-Jan-2020 08:08 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Jan-2020 12:27 PM,AOC,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,144600.0,Shalabh Awasthi,11-Jan-2020 06:52 PM,Accepted-AOC,Lower side,09-Jun-2020 12:02 PM,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Valid GST Registration and PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking that no arbitration / litigation case with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum civil work done amount not less than 40 percent of the estimated cost (without LD) in last 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
