Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er. Rahul Sood XEN,Internal,HDM DAO Supdt. Gr-II,Rakesh Chander Negi,24-Jun-2020 11:08 AM,finsummary_43988.pdf (855.04 KB),24-Jun-2020,"INR 1,450,900",360.0,Rakesh Chander Negi,24-Jun-2020 11:21 AM,925.PDF (1853.00 KB),PWD,2019_PWD_30546_4,PW-BHNR-EA-Tender /2019- 4796-4801 dated 18.07.201,C.O Veterinary Dispensary building Ground floor at Rakchham SH C.O building portion i.c WS and S.I and septic tank,XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,29-Aug-2019 03:28 PM,29-Aug-2019 04:00 PM,techsummary_43988.pdf (856.71 KB),Technical,opening summary,Rahul Sood,29-Aug-2019 01:26 PM,technical_43988.pdf,1.0,127240.0,BIRBAL KUMAR CONTRCATOR,09-Aug-2019 02:05 PM,Rejected-Technical,Non Responsive,29-Aug-2019 03:28 PM,Finance,summary,Pramod Kumar,13-Mar-2020 05:09 PM,finance_43988.pdf,BOQ Comparative Chart,1.0,127130.0,JAGAT SINGH MEHTA,INR,"2,274,236",AOC,1.0,DD - Demand Draft,C.O Veterinary Dispensary building Ground floor at Rakchham SH C.O building portion i.c WS and S.I and septic tank,C.O Veterinary Dispensary building Ground floor at Rakchham SH C.O building portion i.c WS and S.I and septic tank,Please refer Tender documents. ,NA ,"14,50,900",Civil Works,NA ,Tender,120.0,360.0,Rakchham,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,"29,000",Yes,fixed,,EE Bhabanagar,Sungra/Bhabanagar,500.0,EE Bhabanagar,Sungra/Bhabanagar,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,Executvie Engineer,Karchham Division HPPWD Bhabanagar,PWD,PW-BHNR-EA-Tender /2019- 4796-4801 dated 18.07.201,2019_PWD_30546_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,30-Jul-2019 10:00 AM,13-Aug-2019 11:00 AM,30-Jul-2019 10:30 AM,09-Aug-2019 05:00 PM,NA ,NA ,30-Jul-2019 10:30 AM,09-Aug-2019 05:00 PM,29-Aug-2019 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127130.0,JAGAT SINGH MEHTA,08-Aug-2019 11:30 AM,Accepted-AOC,Awarded,24-Jun-2020 11:21 AM,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127269.0,KHEM SINGH CONTRACTOR,09-Aug-2019 04:57 PM,Rejected-Technical,Non Responsive,29-Aug-2019 03:28 PM,,,,,,,,,,,,AOC,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,127262.0,M/S BAL KRISHAN CONTRACTOR,09-Aug-2019 03:44 PM,Rejected-Technical,Non Responsive,29-Aug-2019 03:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand (,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
