S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,138130.0,Anil Kumar Mahajan,INR,"4,804,531","HP Irrigation and Public Health||Chamba Circle,Irrigation and Public Health,HP||Dalhousie,Irrigation and Public Health,HP",2019_HPIPH_32722_1,IPHD-DLU-EA-I-E-Tender/2019- 11589-11638,Remodelling of Flow Irrigation Scheme Bhujjal Trimbal in G.P. Khargatta in Tehsil Sihunta Distt. Chamba (H.P.),Er. Rohit Dubey,Internal,Er. Hemant Puri EE (D) Er. Amit Dogra EE Er. Kewal Sharma AE (D) Sh. Tek Chand HDM Sh. Ashwani Kumar Supdt Sh. Pankaj Kumar DA,Amit Dogra,19-Jun-2020 02:41 PM,finsummary_47188.pdf (1611.78 KB),Technical,Technical evaluation eligibility criteria attached,Amit Dogra,23-Jan-2020 10:04 PM,technical_47188.pdf,Finance,Proceeding of Negotiation of the subject cited work,Amit Dogra,19-Jun-2020 02:37 PM,None,BOQ Comparative Chart,19-Jun-2020,"INR 4,804,530",365.0,Amit Dogra,19-Jun-2020 02:43 PM,awardletterbhujjal.pdf (1313.00 KB),Sh. Anil Kumar Contractor found lowest and accepted,1.0,138130.0,Anil Kumar Mahajan,03-Dec-2019 01:42 PM,Accepted-AOC,Accepted,19-Jun-2020 02:43 PM,Amit Dogra,Internal,Detail Attached,Amit Dogra,23-Jan-2020 10:06 PM,24-Jan-2020 11:00 AM,techsummary_47188.pdf (435.80 KB),AOC,"HP Irrigation and Public Health||Chamba Circle,Irrigation and Public Health,HP||Dalhousie,Irrigation and Public Health,HP",IPHD-DLU-EA-I-E-Tender/2019- 11589-11638,2019_HPIPH_32722_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"77,692",Yes,fixed,,"EE IPH Division, Dalhousie",Dalhousie,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and Earnest Money through online mode only and copy of deposit receipt,Remodelling of Flow Irrigation Scheme Bhujjal Trimbal in G.P. Khargatta in Tehsil Sihunta Distt. Chamba (H.P.),Remodelling of Flow Irrigation Scheme Bhujjal Trimbal in G.P. Khargatta in Tehsil Sihunta Distt. Chamba (H.P.),Remodelling of Flow Irrigation Scheme Bhujjal Trimbal in G.P. Khargatta in Tehsil Sihunta Distt. Chamba (H.P.)  ,NA ,"46,79,463",Civil Works,NA ,Tender,120.0,365.0,Sihunta,176207.0,NA ,NA ,NA ,Dalhousie,No ,No,20-Nov-2019 10:00 AM,04-Dec-2019 12:30 PM,20-Nov-2019 10:00 AM,03-Dec-2019 05:00 PM,20-Nov-2019 10:00 AM ,03-Dec-2019 05:00 PM ,20-Nov-2019 10:00 AM,03-Dec-2019 05:00 PM,24-Jan-2020 11:00 AM,1.0,ICICI BANK,800.0,"EE IPH Division, Dalhousie",Dalhousie,Yes,Executive Engineer,"IPH Division, Dalhousie",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,138242.0,SATISH KUMAR DHIMAN,03-Dec-2019 04:27 PM,Rejected-Finance,Rejected,19-Jun-2020 02:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scaned copy certificate of registration with IPH Department in appropriate class and latest renewal,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Income Tax/GST/EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking from contractor/firm that he has not two uncompleted work in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking from contractor that he has personally visit site and is aware of the site conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor/Firm must have experience of executing work of similar nature and scaned copy of work don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Undertaking from contractor that has carefully studied all conditions of form PWD-6, PWD-8 and BOQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,If contractor uploads exemption of EMD he has to give undertaking that he not used it more than its,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,form6 dulysigned by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
