Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
05-Jun-2020,"INR 917,466",90.0,Sushil Kumar Dhadwal,05-Jun-2020 03:47 PM,33382_1.pdf (949.00 KB),Shri Kapil Sharma,Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 06:37 PM,finsummary_48112.pdf (470.33 KB),Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,06-Jan-2020 03:02 PM,06-Jan-2020 03:05 PM,techsummary_48112.pdf (789.80 KB),PWD,2019_PWD_33382_1,7233-60,"Construction of Dhuna and Rain Shelter at Bhagsu Nag Temple in Distt. Kangra, HP (Deposit work)",Technical,As per document attached,Tarlok Dhiman,02-Jan-2020 12:11 PM,technical_48112.pdf,1.0,143022.0,BITTHAL BHARDWAJ,30-Dec-2019 03:34 PM,Rejected-Finance,L2,04-Jun-2020 06:37 PM,Finance,As per document attached,Tarlok Dhiman,06-Jan-2020 03:17 PM,finance_48112.pdf,BOQ Comparative Chart,1.0,142974.0,Kapil Sharma,INR,"917,466",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),1.0,DD - Demand Draft,"Construction of Dhuna and Rain Shelter at Bhagsu Nag Temple in Distt. Kangra, HP (Deposit work)",SH- C/O Dhuna and Rain Shelter,Please refer Tender documents. ,NA ,"7,75,989",Civil Works - Buildings,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,PWD,7233-60,2019_PWD_33382_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"15,600",No,fixed,,EE Dharamshala,Dharamshala,16-Dec-2019 10:00 AM,31-Dec-2019 11:30 AM,16-Dec-2019 10:00 AM,30-Dec-2019 05:00 PM,NA ,NA ,16-Dec-2019 10:00 AM,30-Dec-2019 05:00 PM,06-Jan-2020 03:05 PM,350.0,EE Dharamshala,Dharamshala,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,142974.0,Kapil Sharma,30-Dec-2019 12:05 PM,Accepted-AOC,L1,05-Jun-2020 03:47 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money (Indicated in schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,142330.0,Rana,24-Dec-2019 05:45 PM,Rejected-Finance,L3,04-Jun-2020 06:37 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with name of work iscorrect dulyattested by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of staff and machinery including Hot Mix plant with proof i.e RCs etc. for tarring work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that contractor do not have more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
