S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,EMD,"Chief Engineer, PWD (Roads), Assam","O/o the Chief Engineer, PWD (Roads), Assam, Chandmari, 781003","2,27,020",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,Public Works Roads Department,CESTBRNAB/RIDFXXV/17/19-20/Pt4,2019_PWD_15241_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"3,500","Empowered Officer, ASRB",GUWAHATI,No,MLCSNA/RIDF-XXV/Kamrup(R)/06,MLCSNA/RIDF-XXV/Kamrup(R)/06 Construction of RCC Bridge No. 4/2 on Bihdia Jayantipur Road under Mahavir Lachit Chilarai Setu Nirman Abhijan under RIDF-XXV of NABARD for the year 2019-20 under Rangia Rural Road Division,Please refer Tender documents. ,NA ,"1,13,51,000",Civil Works,NA ,Tender,180.0,365.0,Kamrup Rural,781003.0,NA ,NA ,NA ,"O/o the Chief Engineer, PWD (Roads), Assam",No ,No,07-Dec-2019 01:30 PM,31-Dec-2019 11:00 AM,09-Dec-2019 10:30 AM,30-Dec-2019 02:00 PM,09-Dec-2019 10:10 AM ,30-Dec-2019 02:00 PM ,09-Dec-2019 10:30 AM,30-Dec-2019 02:00 PM,29-Jan-2020 06:20 PM,AOC,Technical,Verified,GAURI KANTA BARMAN,29-Jan-2020 06:17 PM,,Bibhuti Saikia,Internal,,GAURI KANTA BARMAN,29-Jan-2020 06:18 PM,29-Jan-2020 06:20 PM,techsummary_23125.pdf (622.44 KB),1,70240,Abdur Rekib,30-Dec-2019 10:30 AM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,Public Works Roads Department,2019_PWD_15241_16,CESTBRNAB/RIDFXXV/17/19-20/Pt4,MLCSNA/RIDF-XXV/Kamrup(R)/06,AOC
2.0,BC - Bankers Cheque,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,70211,AKHILANANDA BHATTACHARJYA,30-Dec-2019 11:13 AM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,,,,,AOC
3.0,BG - Bank Guarantee Irrevocable,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,70089,dhaneswar kalita,28-Dec-2019 03:09 PM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,,,,,AOC
4.0,FDR - Fixed Deposit Receipt,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,70190,Dipak Singha Lahkar,29-Dec-2019 08:48 PM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,70111,Jehirul Islam,28-Dec-2019 09:41 PM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,,,,,AOC
,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,70295,Jiten Kalita,30-Dec-2019 01:35 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jan-2020 06:17 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,70273,Kanakjyoti Bhagawati,30-Dec-2019 12:31 PM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,70105,MD. IMDAD HUSSAIN,28-Dec-2019 05:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jan-2020 06:17 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,70241,M/S Kusumbar Construction,30-Dec-2019 01:53 PM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,70219,M/S N.N. CONSTRUCTION,30-Dec-2019 01:04 PM,Rejected-Finance,Verified,19-Jun-2020 02:24 PM,,,,,AOC
