Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
27-May-2020,"INR 912,000",180.0,Dalip singh Patial,23-Jun-2020 11:00 AM,AOC.pdf (552.00 KB),work awarded to L1 firm Sharma Electrical Co. Hamirpur,Er Dalip Singh Patial EE,Internal,Sh Kapil Dev Sr Asstt Sh Ram Singh JDM Sh Manish Kumar Clerk,Dalip singh Patial,03-Apr-2020 01:05 PM,finsummary_53611.pdf (294.52 KB),Er D S Patial EE,Internal,Sh Kapil Dev Soni Sr Asstt Sh Ram Singh JDM Sh Manish Kumar clerk,Dalip singh Patial,31-Mar-2020 12:30 PM,31-Mar-2020 12:35 PM,techsummary_53611.pdf (347.50 KB),PWD,2020_PWD_36358_1,PW/MED/TA/NIT/ e-notice/19-20-8840-44 dt 26.02.20,Running Operation and minor maintenance of HVAC System Chiller plant of Carrier make installed in the campus of Shri Lal Bahadur Shastri Medical College and Hospital Mandi at Ner Chowk Distt Mandi for six months in summer,Technical,Technical bid summary,Dalip singh Patial,31-Mar-2020 12:29 PM,technical_53611.pdf,1.0,156476.0,CHILL POINT ENGINEERS PVT LTD,26-Mar-2020 11:43 AM,Rejected-Finance,Rejected being L2 firm,03-Apr-2020 01:05 PM,Finance,Financial bid summary,Dalip singh Patial,03-Apr-2020 01:00 PM,finance_53611.pdf,BOQ Comparative Chart,1.0,156419.0,SHARMA ELECTRICAL CO.,INR,"912,000",AOC,1.0,DD - Demand Draft,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/19-20-8840-44 dt 26.02.20,2020_PWD_36358_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,19-Mar-2020 10:00 AM,28-Mar-2020 11:00 AM,19-Mar-2020 10:00 AM,27-Mar-2020 06:00 PM,NA ,NA ,19-Mar-2020 10:00 AM,27-Mar-2020 06:00 PM,31-Mar-2020 12:35 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",Running Operation and minor maintenance of HVAC System Chiller plant of Carrier make installed in the campus of Shri Lal Bahadur Shastri Medical College and Hospital Mandi at Ner Chowk Distt Mandi for six months in summer,Running Operation and minor maintenance of HVAC System Chiller plant of Carrier make installed in the campus of Shri Lal Bahadur Shastri Medical College and Hospital Mandi at Ner Chowk Distt Mandi for six months in summer,Please refer to bid document ,NA ,"9,14,500",Electrical Works,NA ,Tender,120.0,180.0,Nerchowk,175021.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"18,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156419.0,SHARMA ELECTRICAL CO.,26-Mar-2020 07:58 AM,Accepted-AOC,work awarded being L1,23-Jun-2020 11:00 AM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Approved OEM (HVAC) or auth. agency of OEM (HVAC) or firm auth for exec specl job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
