EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"24,100",No,fixed,,EE Dharamshala,Dharamshala,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in Schedule F),02-Dec-2019 10:30 AM,16-Dec-2019 11:30 AM,02-Dec-2019 10:30 AM,16-Dec-2019 11:00 AM,NA ,NA ,02-Dec-2019 10:30 AM,16-Dec-2019 11:00 AM,18-Dec-2019 04:05 PM,500.0,EE Dharamshala,Dharamshala,Yes,Periodic Maintenance of Sidhbari to Dudehr Road km 0/000 to 7/660 under Performance based Financial Incentive 2018-19 ( during the year 2019-20) PMGSY rural road in Distt. Kangra HP,SH- Providing and Laying 25mm thick Bituminous Concrete laying with Paver Finisher in km 1/000 to 2/000,Please refer Tender documents. ,NA ,"12,04,407",Civil Works - Roads,NA ,Tender,120.0,60.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,PWD,6801-04,2019_PWD_33022_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er. Sushil Dhadwal,Internal,Shri Vikramjit Senior DAO Shri Ashok Kumar Superintendent Shri Suresh Kapoor HDM and Shri Vipan Kumar Senior Assistant,Sushil Kumar Dhadwal,18-Dec-2019 03:58 PM,18-Dec-2019 04:05 PM,techsummary_47595.pdf (830.19 KB),PWD,2019_PWD_33022_6,6801-04,Periodic Maintenance of Sidhbari to Dudehr Road km 0/000 to 7/660 under Performance based Financial Incentive 2018-19 ( during the year 2019-20) PMGSY rural road in Distt. Kangra HP,06-Jun-2020,"INR 1,561,650",60.0,Sushil Kumar Dhadwal,07-Jun-2020 01:48 PM,33022_6.pdf (1387.00 KB),SHRI V.P. SHARMA,Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 06:06 PM,finsummary_47595.pdf (308.32 KB),1.0,140104.0,Navneet Thakur,15-Dec-2019 02:52 PM,Rejected-Finance,L3,04-Jun-2020 06:06 PM,Technical,As per document attached,Sushil Kumar Dhadwal,16-Dec-2019 06:42 PM,None,Finance,As per document attached,Sushil Kumar Dhadwal,18-Dec-2019 05:45 PM,finance_47595.pdf,BOQ Comparative Chart,1.0,140264.0,VP SHARMA,INR,"1,561,650",AOC
,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,140236.0,pritam singh thkur,15-Dec-2019 06:08 PM,Rejected-Finance,L2,04-Jun-2020 06:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,140264.0,VP SHARMA,16-Dec-2019 09:03 AM,Accepted-AOC,L1,07-Jun-2020 01:48 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work iscorrect dulyattested by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof of ownership i.e RCs etc. and staff (indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
